name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999
BasicAverageShares,"158,500,000","158,000,000","157,000,000","150,000,000","147,000,000","147,000,000","147,000,000","146,000,000","146,788,000","144,826,000","135,553,000","125,076,000","122,999,000","123,399,000","123,581,000","123,154,000","116,855,000","108,308,000","89,002,000","80,294,000","71,690,000","63,850,000","61,780,000","59,496,000","27,114,000","2,820,450"
DilutedAverageShares,"158,500,000","158,000,000","157,000,000","151,000,000","148,000,000","149,000,000","149,000,000","148,000,000","148,040,000","149,069,000","148,977,000","139,936,000","133,693,000","138,937,000","143,433,000","137,096,000","133,607,000","108,308,000","97,508,000","80,294,000","71,690,000","63,850,000","61,780,000","59,496,000","27,114,000","2,820,450"
TotalOperatingIncomeAsReported,"-2,666,000,000","-1,069,000,000","-4,179,000,000","-123,000,000","580,000,000","985,000,000","883,000,000","606,000,000","587,000,000","613,000,000","514,711,000","134,107,000","200,752,000","199,461,000","211,654,000","125,597,000","80,457,000","-301,210,000","37,812,000","-21,447,000","-5,513,000","-26,622,000","-41,855,000","-30,319,000","-23,235,000","-5,918,409"
TotalExpenses,"4,359,000,000","4,726,000,000","4,230,000,000","4,649,000,000","2,659,000,000","2,558,000,000","2,450,000,000","2,146,000,000","1,820,000,000","1,588,000,000","1,417,986,000","1,167,074,000","892,004,000","805,193,000","699,602,000","540,727,000","464,039,000","364,609,000","146,774,000","79,148,000","56,096,000","54,657,000","51,895,000","32,805,000","24,544,000","6,392,435"
NetIncomeFromContinuingAndDiscontinuedOperation,"-3,044,000,000","-1,161,000,000","-4,404,000,000","762,000,000","656,000,000","1,002,000,000","826,000,000","726,000,000","463,000,000","462,000,000","353,351,000","125,308,000","151,254,000","86,628,000","124,891,000","72,281,000","39,416,000","-278,359,000","39,968,000","-20,874,000","-6,225,000","-27,063,000","-40,331,000","-24,823,000","-18,606,000","-5,517,645"
NormalizedIncome,"-858,860,000","-468,170,000","-721,020,000","-150,858,000","656,000,000","1,002,000,000","826,000,000","726,000,000","456,133,000","464,352,000","293,723,158","171,457,680","157,941,471","119,751,531","126,100,156","71,510,213.783","56,841,200","66,654,442.61","39,968,000","-11,394,000","-8,745,600","-26,609,400","-35,499,800","-24,823,000","-18,606,000","-5,517,645"
InterestIncome,"49,000,000","58,000,000","11,000,000","0","41,000,000","75,000,000","44,000,000","19,000,000","10,000,000","5,000,000","3,901,000","4,887,000","16,208,000","7,052,000","8,378,000","11,029,000","12,519,000",,,,,,,,,
InterestExpense,"77,000,000","77,000,000","26,000,000","61,000,000","49,000,000","52,000,000","57,000,000","37,000,000","33,000,000","43,000,000","41,728,000","39,690,000","37,779,000","34,790,000","24,598,000","23,718,000","22,210,000",,,,,,,,,
NetInterestIncome,"-28,000,000","-19,000,000","-15,000,000","-61,000,000","-8,000,000","23,000,000","-13,000,000","-18,000,000","-23,000,000","-38,000,000","-37,827,000","-34,803,000","-21,571,000","-27,738,000","-16,220,000","-12,689,000","-9,691,000",,,,,,,,,
EBIT,"-2,959,000,000","-1,040,000,000","-4,310,000,000","945,000,000","905,000,000","1,170,000,000","951,000,000","1,080,000,000","594,000,000","626,000,000","490,486,000","199,004,000","260,387,000","167,835,000","209,977,000","137,843,000","94,897,000","2,190,000","37,812,000","-5,647,000","-5,513,000","-26,622,000","-41,855,000","-30,319,000","-23,235,000","-5,918,409"
EBITDA,"-2,529,000,000","-608,000,000","-3,916,000,000","1,196,000,000","1,092,000,000","1,358,000,000","1,130,000,000","1,236,000,000","735,000,000","753,000,000","603,060,000","296,929,000","325,706,000","237,027,000","251,986,000","169,027,000","122,620,000","18,014,000","43,520,000","-1,650,000","-515,000","-19,191,000","-32,355,000","-22,556,000","-16,040,000","-4,864,220"
ReconciledCostOfRevenue,"1,683,000,000","1,760,000,000","1,612,000,000","1,372,000,000","1,036,000,000","1,076,000,000","1,033,000,000","926,000,000","732,000,000","671,000,000","563,648,000","509,291,000","374,988,000","346,437,000","301,201,000","181,265,000","188,339,000","119,041,000","59,344,000","19,454,000","9,105,000","5,060,000","3,536,000","557,000","-398,000","-96,367"
ReconciledDepreciation,"430,000,000","432,000,000","394,000,000","251,000,000","187,000,000","188,000,000","179,000,000","156,000,000","141,000,000","127,000,000","112,574,000","97,925,000","65,319,000","69,192,000","42,009,000","31,184,000","27,723,000","15,824,000","5,708,000","3,997,000","4,998,000","7,431,000","9,500,000","7,763,000","7,195,000","1,054,189"
NetIncomeFromContinuingOperationNetMinorityInterest,"-3,044,000,000","-1,161,000,000","-4,404,000,000","762,000,000","656,000,000","1,002,000,000","826,000,000","726,000,000","463,000,000","462,000,000","353,351,000","125,308,000","151,254,000","86,628,000","124,891,000","72,281,000","39,416,000","-278,359,000","39,968,000","-20,874,000","-6,225,000","-27,063,000","-40,331,000","-24,823,000","-18,606,000","-5,517,645"
TotalUnusualItemsExcludingGoodwill,"-2,766,000,000","-877,000,000","-4,662,000,000","1,059,000,000",,,"0","0","9,000,000","-3,000,000","75,766,000","-58,640,000","-9,849,000","-50,881,000","-1,794,000","1,217,000","-26,808,000","-357,936,000",,"-15,800,000","4,201,000","-756,000","-8,052,000",,,
TotalUnusualItems,"-2,766,000,000","-877,000,000","-4,662,000,000","1,059,000,000",,,"0","0","9,000,000","-3,000,000","75,766,000","-58,640,000","-9,849,000","-50,881,000","-1,794,000","1,217,000","-26,808,000","-357,936,000",,"-15,800,000","4,201,000","-756,000","-8,052,000",,,
NormalizedEBITDA,"237,000,000","269,000,000","746,000,000","137,000,000","1,092,000,000","1,358,000,000","1,130,000,000","1,236,000,000","726,000,000","756,000,000","527,294,000","355,569,000","335,555,000","287,908,000","253,780,000","167,810,000","149,428,000","375,950,000","43,520,000","14,150,000","-4,716,000","-18,435,000","-24,303,000","-22,556,000","-16,040,000","-4,864,220"
TaxRateForCalcs,"0.21","0.21","0.21","0.138","0.233","0.114","0.125","0.35","0.237","0.216","0.213","0.213","0.321","0.349","0.326","0.367","0.35","0.036","0.062","0.4","0.4","0.4","0.4","0.4","0.4","0.4"
TaxEffectOfUnusualItems,"-580,860,000","-184,170,000","-979,020,000","146,142,000","0","0","0","0","2,133,000","-648,000","16,138,158","-12,490,320","-3,161,529","-17,757,469","-584,844","446,213.783","-9,382,800","-12,922,557.39","0","-6,320,000","1,680,400","-302,400","-3,220,800","0","0","0"
