name,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010,01/31/2009,01/31/2008,01/31/2007,01/31/2006,01/31/2005,01/31/2004,01/31/2003,01/31/2002,01/31/2001,01/31/2000,01/31/1999,01/31/1998,01/31/1997,01/31/1996,01/31/1995,01/31/1994
			CurrentDebt,,,,,,,,,,,,,,,,,,,,,,,,,,"100,000",,,,,
			CurrentCapitalLeaseObligation,"226,645,000","232,672,000","236,315,000","254,703,000","221,593,000","0",,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,"69,187,000","65,697,000","58,147,000","48,171,000","44,906,000","42,480,000","56,210,000","55,144,000","51,549,000","47,943,000","44,311,000","36,687,000","34,331,000","30,866,000",,,,,,,,,,,,,,,,,
			CurrentDeferredRevenue,"69,187,000","65,697,000","58,147,000","48,171,000","44,906,000","42,480,000","56,210,000","55,144,000","51,549,000","47,943,000","44,311,000","36,687,000","34,331,000","30,866,000",,,,,,,,,,,,,,,,,
		OtherCurrentLiabilities,"130,476,000","97,725,000","97,700,000","88,546,000","49,514,000","44,542,000","48,362,000","30,982,000","54,637,000","42,887,000","48,141,000","32,382,000","22,249,000","17,997,000",,"44,410,000","47,325,000","44,030,000",,,"9,611,000","8,006,000",,"13,931,000","11,312,000","9,200,000","3,300,000","2,900,000","3,200,000","4,300,000","3,800,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"1,004,464,000","999,855,000","1,064,134,000","1,162,855,000","1,221,508,000","284,773,000","291,663,000","236,625,000","366,843,000","207,032,000","195,214,000","192,428,000","183,974,000","171,749,000","150,769,000","134,084,000","121,982,000","88,650,000","74,817,000","56,169,000","36,610,000","10,539,000","8,384,000","5,786,000","4,513,000","4,063,000","3,000,000","2,400,000","1,500,000","1,300,000","1,000,000"
		LongTermDebtAndCapitalLeaseObligation,"851,853,000","884,696,000","951,080,000","1,074,009,000","1,137,495,000","0",,,"150,000,000",,,,,,,,,,,,,,,,,"200,000",,,,,
			LongTermDebt,,,,,,,,,"150,000,000",,,,,,,,,,,,,,,,,"200,000",,,,,
			LongTermCapitalLeaseObligation,"851,853,000","884,696,000","951,080,000","1,074,009,000","1,137,495,000","0",,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredLiabilities,,"115,159,000","113,054,000","88,846,000","84,013,000","284,773,000","291,663,000","236,625,000","216,843,000","207,032,000","195,214,000","192,428,000","183,974,000","171,749,000","150,769,000","134,084,000",,,,,,,,,,,,,,,
