name,ttm,05/31/2024,05/31/2023,05/31/2022,05/31/2021,05/31/2020,05/31/2019,05/31/2018,05/31/2017,05/31/2016,05/31/2015,05/31/2014,05/31/2013,05/31/2012,05/31/2011,05/31/2010,05/31/2009,05/31/2008,05/31/2007,05/31/2006,05/31/2005,05/31/2004,05/31/2003,05/31/2002,05/31/2001,05/31/2000,05/31/1999,05/31/1998,05/31/1997,05/31/1996,05/31/1995,05/31/1994,05/31/1993,05/31/1992,05/31/1991,05/31/1990,05/31/1989
			ChangeInPayablesAndAccruedExpense,"397,000,000","397,000,000","-225,000,000","1,365,000,000","1,326,000,000","24,000,000","1,525,000,000","1,515,000,000","-158,000,000","-586,000,000","1,237,000,000","525,000,000","27,000,000","425,000,000","151,000,000","297,000,000","-220,000,000","330,900,000","85,100,000","279,400,000","112,400,000","255,600,000","30,100,000","175,400,000","-179,400,000","178,400,000","-170,400,000","-70,100,000","365,300,000","332,500,000","172,600,000","40,800,000","-32,100,000","-2,600,000","86,100,000","58,400,000","56,900,000"
				ChangeInPayable,"397,000,000","397,000,000","-225,000,000","1,365,000,000","1,326,000,000","24,000,000","1,525,000,000","1,515,000,000",,,,,,"470,000,000","151,000,000","297,000,000",,,,,,,,,,,,,,,,,,,,,
					ChangeInAccountPayable,"397,000,000","397,000,000","-225,000,000","1,365,000,000","1,326,000,000","24,000,000","1,525,000,000","1,515,000,000",,,,,,"470,000,000","151,000,000","297,000,000",,,,,,,,,,,,,,,,,,,,,
			ChangeInOtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,"60,900,000","16,900,000","78,000,000","61,200,000","53,700,000","-12,600,000","-56,900,000","-20,100,000","-10,300,000","6,900,000","-5,100,000","-6,200,000","-6,300,000","-5,000,000","-2,100,000"
			ChangeInOtherCurrentLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,800,000",,,,
InvestingCashFlow,"894,000,000","894,000,000","564,000,000","-1,524,000,000","-3,800,000,000","-1,028,000,000","-264,000,000","276,000,000","-1,008,000,000","-1,034,000,000","-175,000,000","-1,207,000,000","-940,000,000","586,000,000","-1,021,000,000","-1,268,000,000","-798,100,000","-489,800,000","92,900,000","-1,276,600,000","-360,400,000","-950,600,000","-215,600,000","-302,800,000","-342,300,000","-440,000,000","-416,500,000","-595,000,000","-496,300,000","-230,000,000","-581,400,000","-91,600,000","-172,900,000","-109,900,000","-211,200,000","-89,400,000","-40,500,000"
	CashFlowFromContinuingInvestingActivities,"894,000,000","894,000,000","564,000,000","-1,524,000,000","-3,800,000,000","-1,028,000,000","-264,000,000","276,000,000","-1,008,000,000","-1,034,000,000","-175,000,000","-1,207,000,000","-940,000,000","586,000,000","-1,021,000,000","-1,268,000,000","-798,100,000","-489,800,000","92,900,000","-1,276,600,000","-360,400,000","-950,600,000","-215,600,000","-302,800,000","-342,300,000","-440,000,000","-416,500,000","-595,000,000","-496,300,000","-230,000,000","-581,400,000","-91,600,000","-172,900,000","-109,900,000","-211,200,000","-89,400,000","-40,500,000"
		NetPPEPurchaseAndSale,"-812,000,000","-812,000,000","-969,000,000","-758,000,000","-695,000,000","-1,086,000,000","-1,119,000,000","-1,028,000,000","-1,092,000,000","-1,133,000,000","-960,000,000","-877,000,000","-584,000,000","-561,000,000","-431,000,000","-325,000,000","-423,700,000","-447,300,000","-285,200,000","-332,100,000","-249,900,000","-203,200,000","-171,100,000","-267,200,000","-304,900,000","-394,600,000","-356,900,000","-489,100,000","-441,600,000","-203,600,000","-145,100,000","-82,600,000","-92,000,000","-102,400,000","-163,100,000","-86,400,000","-39,400,000"
			PurchaseOfPPE,"-812,000,000","-812,000,000","-969,000,000","-758,000,000","-695,000,000","-1,086,000,000","-1,119,000,000","-1,028,000,000","-1,105,000,000","-1,143,000,000","-963,000,000","-880,000,000","-598,000,000","-563,000,000","-432,000,000","-335,000,000","-455,700,000","-449,200,000","-313,500,000","-333,700,000","-257,100,000","-214,800,000","-185,900,000","-282,800,000","-317,600,000","-419,900,000","-384,100,000","-505,900,000","-465,900,000","-216,400,000","-154,100,000","-95,300,000","-97,000,000","-106,500,000","-164,800,000","-87,200,000","-42,000,000"
			SaleOfPPE,,,,,,,"5,000,000","3,000,000","13,000,000","10,000,000","3,000,000","3,000,000","14,000,000","2,000,000","1,000,000","10,000,000","32,000,000","1,900,000","28,300,000","1,600,000","7,200,000","11,600,000","14,800,000","15,600,000","12,700,000","25,300,000","27,200,000","16,800,000","24,300,000","12,800,000","9,000,000","12,700,000","5,000,000","4,100,000","1,700,000","800,000","2,600,000"
		NetBusinessPurchaseAndSale,,,,,,,,,,,"0","0","786,000,000","0","0","0","0","-325,100,000",,,"-47,200,000","-289,100,000","0","0",,,,,,,,,,,,,
			PurchaseOfBusiness,,,,,,,,,,,,,,,,,"0","-571,100,000",,,,"-289,100,000","0","0",,,,,,,,,,,,,
			SaleOfBusiness,,,,,,,,,,,"0","0","786,000,000","0","0",,,"246,000,000",,,,,,,,,,,,,,,,,,,
		NetInvestmentPurchaseAndSale,"1,721,000,000","1,721,000,000","1,481,000,000","-747,000,000","-3,276,000,000","27,000,000","850,000,000","1,326,000,000","118,000,000","93,000,000","785,000,000","-328,000,000","-1,140,000,000","1,161,000,000","-560,000,000","-932,000,000","-327,400,000","304,400,000","382,400,000","-909,900,000","-35,300,000","-400,800,000","0","0",,,,,,,,,,,,,
			PurchaseOfInvestment,"-4,767,000,000","-4,767,000,000","-6,059,000,000","-12,913,000,000","-9,961,000,000","-2,426,000,000","-2,937,000,000","-4,783,000,000","-5,928,000,000","-5,217,000,000","-5,086,000,000","-5,386,000,000","-4,133,000,000","-3,245,000,000","-7,616,000,000","-3,724,000,000","-2,908,700,000","-1,941,600,000","-2,133,800,000","-2,619,700,000","-1,527,200,000","-400,800,000","0","0",,,,,,,,,,,,,
			SaleOfInvestment,"6,488,000,000","6,488,000,000","7,540,000,000","12,166,000,000","6,685,000,000","2,453,000,000","3,787,000,000","6,109,000,000","6,046,000,000","5,310,000,000","5,871,000,000","5,058,000,000","2,993,000,000","4,406,000,000","7,056,000,000","2,792,000,000","2,581,300,000","2,246,000,000","2,516,200,000","1,709,800,000","1,491,900,000",,,,,,,,,,,,,,,,
		NetOtherInvestingChanges,"-15,000,000","-15,000,000","52,000,000","-19,000,000","171,000,000","31,000,000","5,000,000","-22,000,000","-34,000,000","6,000,000",,"-2,000,000","-2,000,000","-14,000,000","-30,000,000","-11,000,000","-47,000,000","-21,800,000","-4,300,000","-34,600,000","-28,000,000","-57,500,000","-44,500,000","-35,600,000","-37,400,000","-45,400,000","-59,600,000","-105,900,000","-54,700,000","-26,400,000","-436,300,000","-9,000,000","-80,900,000","-7,500,000","-48,100,000","-3,000,000","-1,100,000"
FinancingCashFlow,"-5,888,000,000","-5,888,000,000","-7,447,000,000","-4,836,000,000","-1,459,000,000","2,491,000,000","-5,293,000,000","-4,835,000,000","-2,148,000,000","-2,974,000,000","-2,790,000,000","-2,914,000,000","-1,045,000,000","-2,100,000,000","-1,972,000,000","-1,061,000,000","-733,900,000","-1,226,100,000","-1,111,500,000","-850,900,000","-657,000,000","-398,500,000","-606,500,000","-479,800,000","-349,900,000","-252,100,000","-444,100,000","-271,400,000","313,600,000","-53,800,000","24,900,000","-250,000,000","-52,300,000","-192,600,000","228,500,000","-35,700,000","-118,100,000"
	CashFlowFromContinuingFinancingActivities,"-5,888,000,000","-5,888,000,000","-7,447,000,000","-4,836,000,000","-1,459,000,000","2,491,000,000","-5,293,000,000","-4,835,000,000","-2,148,000,000","-2,974,000,000","-2,790,000,000","-2,914,000,000","-1,045,000,000","-2,100,000,000","-1,972,000,000","-1,061,000,000","-733,900,000","-1,226,100,000","-1,111,500,000","-850,900,000","-657,000,000","-398,500,000","-606,500,000","-479,800,000","-349,900,000","-252,100,000","-444,100,000","-271,400,000","313,600,000","-53,800,000","24,900,000","-250,000,000","-52,300,000","-192,600,000","228,500,000","-35,700,000","-118,100,000"
		NetIssuancePaymentsOfDebt,"0","0","-504,000,000","15,000,000","-249,000,000","6,177,000,000","-331,000,000","13,000,000","1,748,000,000","801,000,000","-89,000,000","-2,000,000","947,000,000","-250,000,000","33,000,000","-237,000,000","170,300,000","28,500,000","-161,300,000","-24,200,000","-90,900,000","-53,100,000","-316,600,000","-183,500,000","-119,200,000","503,400,000","-62,500,000","26,000,000","388,200,000","22,600,000","227,000,000","-53,900,000","-6,300,000","-152,200,000","-4,900,000","-9,300,000","-100,100,000"
			NetLongTermDebtIssuance,"0","0","-500,000,000","0","-197,000,000","6,128,000,000","-6,000,000","0","1,421,000,000","868,000,000","-26,000,000","-77,000,000","937,000,000","-203,000,000","-8,000,000","-32,000,000","-6,800,000","-35,200,000",,,,"-53,100,000","-316,600,000","-183,500,000",,,,,,,,,,,,,
				LongTermDebtIssuance,,,,"0","0","6,134,000,000","0","0","1,482,000,000","981,000,000","0","0","986,000,000","0","0",,"0",,,,,"153,800,000","90,400,000","329,900,000",,,,,,,,,,,,,
				LongTermDebtPayments,"0","0","-500,000,000","0","-197,000,000","-6,000,000","-6,000,000","-29,000,000","-61,000,000","-113,000,000","-26,000,000","-77,000,000","-49,000,000","-203,000,000","-8,000,000","-32,000,000","-6,800,000","-35,200,000",,,,"-206,900,000","-407,000,000","-513,400,000",,,,,,,,,,,,,
			NetShortTermDebtIssuance,"0","0","-4,000,000","15,000,000","-52,000,000","49,000,000","-325,000,000","13,000,000","327,000,000","-67,000,000","-63,000,000","75,000,000","10,000,000","-47,000,000","41,000,000","-205,000,000","177,100,000","63,700,000",,,,,,,,,,,,,,,,,,,
				ShortTermDebtIssuance,,,,,,,,,,,,,,,,,"177,100,000",,,,,,,,,,,,,,,,,,,,
