name,ttm,02/29/2024,02/28/2023,02/28/2022,02/28/2021,02/29/2020,02/28/2019,02/28/2018,02/28/2017,02/29/2016,02/28/2015,02/28/2014,02/28/2013,02/29/2012,02/28/2011,02/28/2010,02/28/2009
OperatingCashFlow,"427,449,000","306,172,000","7,358,000","-939,184,000","954,732,000","855,850,000","194,361,000","685,293,000","379,019,000","197,154,860","147,577,987","101,558,366","65,409,745","73,397,671","53,822,623","27,175,273","23,467,385"
	CashFlowFromContinuingOperatingActivities,,"306,172,000","7,358,000","-939,184,000","954,732,000","855,850,000","194,361,000","685,293,000","379,019,000","197,154,860","147,577,987","101,558,366","65,409,745","73,397,671","54,032,961","27,097,771","23,467,385"
		NetIncomeFromContinuingOperations,,"-4,138,000","-131,978,000","-1,164,335,000","-143,050,000","-127,651,000","364,514,000","194,663,000","112,490,000","102,756,200","67,144,021","60,605,772","33,440,066","24,313,653","24,375,545","14,203,637","7,280,669"
		OperatingGainsLosses,,"-13,145,000","-14,204,000","2,331,000","-9,902,000","-16,398,000","-82,481,000","-1,300,000","8,055,000","-51,833,670","776,959","-321,461","20,754","70,637","-133,159",,"-731,092"
			GainLossOnSaleOfBusiness,,"0","-9,550,000","0","966,000","0","0","0","0","-50,377,126","0","0",,"0",,,
			GainLossOnSaleOfPPE,,"-1,615,000","546,000","23,139,000","1,427,000","934,000","187,000","48,000","30,000","-313","47,148","28,617","20,754","70,637","0",,
			GainLossOnInvestmentSecurities,,"-17,772,000","-7,448,000","-10,021,000","-619,000","-25,002,000","-98,854,000","-9,026,000","1,247,000","-211,818","-1,202,000","-350,078",,,,,
			EarningsLossesFromEquityInvestments,,"6,242,000","2,248,000","-10,787,000","-11,676,000","7,670,000","16,186,000","7,678,000","8,025,000","663,256","729,811","0","0",,,,
		DepreciationAmortizationDepletion,,"29,872,000","40,704,000","189,859,000","165,335,000","117,992,000","88,835,000","59,214,000","33,561,000","19,183,024","12,465,780","10,011,334","7,367,332","5,694,730","3,465,578","2,062,123","1,017,309"
			DepreciationAndAmortization,,"29,872,000","40,704,000","189,859,000","165,335,000","117,992,000","88,835,000","59,214,000","33,561,000","19,183,024","12,465,780","10,011,334","7,367,332","5,694,730","3,465,578","2,062,123","1,017,309"
				Depreciation,,"23,748,000","35,289,000","171,354,000","136,960,000","99,511,000","76,669,000","50,907,000","28,934,000","18,156,263","11,728,577","9,549,852","7,023,754","5,203,847","2,786,645","1,271,274","452,009"
				AmortizationCashFlow,,"6,124,000","5,415,000","18,505,000","28,375,000","18,481,000","12,166,000","8,307,000","4,627,000","1,026,761","737,203","461,482","343,578","490,883","678,933","790,849","565,300"
					AmortizationOfIntangibles,,"6,124,000","5,415,000","18,505,000","28,375,000","18,481,000","12,166,000","8,307,000","4,627,000","1,026,761","737,203","461,482","343,578","490,883","678,933","790,849","565,300"
		AssetImpairmentCharge,,"42,130,000","8,443,000","1,173,804,000","179,308,000","217,390,000","60,660,000","2,914,000","8,075,000","7,819,858","0","0","594,162","375,057","0","0","1,978,123"
		ProvisionandWriteOffofAssets,,,,,,,,,"0","315,914","0","0",,,,,
		UnrealizedGainLossOnInvestmentSecurities,,"-21,747,000","68,500,000","-7,028,000","-9,471,000","104,239,000","-16,394,000","-937,000","1,247,000","-1,265,852","-1,202,000","0","0",,,,
		StockBasedCompensation,,"88,898,000","108,571,000","174,832,000","204,945,000","117,943,000","77,277,000","47,150,000","36,115,000","25,847,497","18,441,076","8,345,290","8,283,900","7,901,243","5,306,472","0",
		OtherNonCashItems,,,,,"-3,855,000",,"-26,397,000",,"-25,226,000","-971,681",,,,,,,
		ChangeInWorkingCapital,,"182,996,000","-72,678,000","-1,312,009,000","571,422,000","442,335,000","-271,653,000","383,589,000","204,702,000","95,619,484","49,952,151","22,917,431","15,703,531","35,042,351","21,018,525","10,832,011","13,922,376"
			ChangeInReceivables,,"5,077,000","14,644,000","-4,295,000","-3,345,000","-5,933,000","7,199,000","-12,479,000","-4,532,000","2,489,984","6,601,804","-9,824,333","0","0","0","92,247","-91,458"
			ChangeInInventory,,"-34,845,000","-20,431,000","5,115,000","-16,998,000","-18,333,000","-2,368,000","-2,498,000","-2,223,000","207,006","-362,326","228,408","-186,556","-105,784","9,510","-120,688","3,603"
			ChangeInPrepaidAssets,,"-39,887,000","692,000","275,549,000","-235,702,000","-41,568,000","-43,329,000","-61,968,000","-25,999,000","-3,554,011","-11,984,799","-7,525,939","-2,292,188","-5,992,525","-3,306,842","-835,110","-802,788"
			ChangeInPayablesAndAccruedExpense,,"70,375,000","-112,863,000","-658,447,000","529,710,000","213,375,000","192,748,000","132,498,000","48,120,000","31,968,151","13,162,014","11,194,291","1,898,910","6,654,892","3,786,572","2,118,690","4,054,993"
				ChangeInPayable,,"24,436,000","-3,038,000","-256,217,000","228,137,000","9,023,000","74,952,000","27,266,000","4,351,000","19,084,971","2,814,116","2,661,926","558,364","-658,531","2,270,293","-1,093,703","2,249,083"
					ChangeInTaxPayable,,,,"-15,881,000","18,488,000","7,906,000","25,056,000","-6,845,000","3,079,000","11,050,640","1,617,006","1,741,502","2,141,003","-2,240,585","2,359,117","-2,087,861","2,285,218"
						ChangeInIncomeTaxPayable,,,,"-15,881,000","18,488,000","7,906,000","25,056,000","-6,845,000","3,079,000","11,050,640","1,617,006","1,741,502","2,141,003","-2,240,585","2,359,117","-2,087,861","2,285,218"
					ChangeInAccountPayable,,"24,440,000","-2,933,000","-252,934,000","229,003,000","693,000","49,286,000","30,978,000","5,357,000","3,778,512","1,988,729","106,728","-1,582,639","1,582,054","-60,198","987,204","0"
				ChangeInAccruedExpense,,"45,939,000","-109,825,000","-402,230,000","301,573,000","204,352,000","117,796,000","105,232,000","43,769,000","12,883,180","10,347,898","8,532,365","1,340,546","7,313,423","1,516,279","3,212,393","1,805,910"
			ChangeInOtherCurrentAssets,,"-91,489,000","73,360,000","1,329,748,000","-308,624,000","-218,573,000","1,033,000","-195,000","-544,000","-1,147,644","-296,149","0","0",,,,
			ChangeInOtherCurrentLiabilities,,"81,496,000","-82,622,000","-1,334,142,000","319,573,000","228,151,000","0","0",,,,,,"34,916,007","21,202,797","11,349,755","11,995,607"
			ChangeInOtherWorkingCapital,,"192,269,000","54,542,000","-925,537,000","286,808,000","285,216,000","-426,936,000","328,231,000","189,880,000","65,655,998","42,831,607","28,845,004","16,283,365","34,485,768","20,529,285","-1,772,883","-1,237,581"
