name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007
InterestExpense,"159,000,000","145,000,000","150,000,000","163,000,000","128,000,000","75,000,000","76,000,000","80,000,000","76,000,000","68,000,000","71,000,000","65,000,000","70,000,000","57,000,000","54,000,000","56,000,000","75,000,000","43,000,000"
NetInterestIncome,"-71,000,000","-71,000,000","-106,000,000","-135,000,000","-98,000,000","-50,000,000","-48,000,000","30,000,000","-48,000,000","-60,000,000","-60,000,000","-48,000,000","-47,000,000","-34,000,000","-33,000,000","-56,000,000","-75,000,000","-43,000,000"
EBIT,"1,272,000,000","455,000,000","513,000,000","207,000,000","-832,000,000","1,081,000,000","1,027,000,000","802,000,000","358,000,000","262,000,000","596,000,000","386,000,000","165,000,000","140,000,000","142,000,000","5,000,000","279,000,000","517,000,000"
EBITDA,"1,690,000,000","894,000,000","974,000,000","544,000,000","-491,000,000","1,445,000,000","1,354,000,000","1,150,000,000","684,000,000","582,000,000","950,000,000","731,000,000","518,000,000","445,000,000","421,000,000","274,000,000","528,000,000","731,000,000"
ReconciledCostOfRevenue,"5,351,000,000","5,308,000,000","4,568,000,000","2,576,000,000","2,036,000,000","4,042,000,000","3,475,000,000","3,477,000,000","3,356,000,000","3,377,000,000","3,433,000,000","3,283,000,000","3,121,000,000","2,957,000,000","2,864,000,000","2,751,000,000","2,934,000,000","2,847,000,000"
ReconciledDepreciation,"418,000,000","439,000,000","461,000,000","337,000,000","341,000,000","364,000,000","327,000,000","348,000,000","326,000,000","320,000,000","354,000,000","345,000,000","353,000,000","305,000,000","279,000,000","269,000,000","249,000,000","214,000,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"975,000,000","220,000,000","455,000,000","-222,000,000","-703,000,000","766,000,000","769,000,000","389,000,000","206,000,000","124,000,000","344,000,000","207,000,000","88,000,000","113,000,000","62,000,000","-40,000,000","112,000,000","267,000,000"
TotalUnusualItemsExcludingGoodwill,"788,000,000","61,000,000","44,000,000","435,000,000","-129,000,000","863,000,000","669,000,000","259,000,000","26,000,000","6,000,000","292,000,000","146,000,000","9,000,000","-29,000,000","54,000,000","-31,000,000","-99,000,000","121,000,000"
TotalUnusualItems,"788,000,000","61,000,000","44,000,000","435,000,000","-129,000,000","863,000,000","669,000,000","259,000,000","26,000,000","6,000,000","292,000,000","146,000,000","9,000,000","-29,000,000","54,000,000","-31,000,000","-99,000,000","121,000,000"
NormalizedEBITDA,"902,000,000","833,000,000","930,000,000","109,000,000","-362,000,000","582,000,000","685,000,000","891,000,000","658,000,000","576,000,000","658,000,000","585,000,000","509,000,000","474,000,000","367,000,000","305,000,000","627,000,000","610,000,000"
TaxRateForCalcs,"0.124","0.289","0.21","0.27","0.268","0.239","0.029","0.4","0.27","0.362","0.341","0.362","0.083","0.35","0.35","0.157","0.35","0.35"
TaxEffectOfUnusualItems,"97,703,504.043","17,629,000","9,240,000","117,450,000","-34,572,000","206,257,000","19,401,000","103,600,000","7,020,000","2,172,000","99,572,000","52,852,000","747,000","-10,150,000","18,900,000","-4,862,745.098","-34,650,000","42,350,000"
