name,ttm,07/31/2023,07/31/2022,07/31/2021,07/31/2020,07/31/2019,07/31/2018
MarketCap,"482,022,396","579,065,736","645,779,227","5,776,375,459","2,272,313,656","2,631,023,710","2,831,604,015"
EnterpriseValue,"369,423,396","499,961,736","587,057,227","5,707,039,459","2,196,363,656","2,339,415,710","2,544,347,015"
PeRatio,,,,,,"54.333","76.642"
PsRatio,"0.327","0.33","0.299","2.866","1.336","3.057","2.4"
PbRatio,"2.308","2.282","1.675","13.557","5.377","7.014","9.875"
EnterprisesValueRevenueRatio,"0.259","0.287","0.272","2.892","1.292","1.598","2.181"
EnterprisesValueEBITDARatio,"-1.953","-3.717","-3.436","-170.706","-75.614","54.339","56.678"
