name,ttm,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015
MarketCap,"513,741,743","297,790,902","294,612,780","604,615,050","900,472,540","377,250,300","576,588,373","539,237,714","491,650,660","696,778,529","1,108,571,713"
EnterpriseValue,"777,514,743","631,844,902","703,601,780","927,385,050","1,306,313,540","863,462,300","954,056,373","933,521,714","851,110,660","1,093,917,529","1,510,272,713"
PeRatio,"74.606",,,"13.187","54.137","37.581","16.273",,,"13.12","12.794"
ForwardPeRatio,"48.544",,,,,,,,,,"16.129"
PegRatio,,,,,,,,,,,"0.807"
PsRatio,"0.36","0.206","0.19","0.379","0.624","0.271","0.395","0.398","0.364","0.482","0.701"
PbRatio,"2.268","1.187","0.764","1.517","2.611","1.177","1.895","2.05","1.345","1.632","2.965"
EnterprisesValueRevenueRatio,"0.539","0.425","0.445","0.573","0.908","0.616","0.654","0.689","0.63","0.754","0.955"
EnterprisesValueEBITDARatio,"14.122","-14.022","10.279","6.706","16.293","12.431","16.439","18.202","-6.293","8.488","8.645"
