name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997
			NetShortTermDebtIssuance,"152,000,000","546,000,000","-182,000,000","150,000,000","-2,290,000,000","951,000,000",,,,,,,,,"-425,000,000","-544,000,000","384,000,000",,,,,,,,,,,
				ShortTermDebtIssuance,,,,,,,,,,,,,,,,,"384,000,000",,,,,,,,,,,
				ShortTermDebtPayments,,,,,,,,,,,,,,,"-425,000,000","-544,000,000",,,,,,,,,,,,
		NetCommonStockIssuance,"-4,001,000,000","-3,924,000,000","-2,566,000,000","2,000,000","-150,000,000","-2,253,000,000","-2,846,000,000","-3,007,000,000","-534,000,000","-1,877,000,000","-1,332,000,000","-635,000,000","-966,000,000","-1,301,000,000","141,000,000","27,000,000","-383,000,000","-1,554,000,000","-1,168,000,000","-1,519,000,000","-458,000,000","-271,000,000","-217,000,000","-159,000,000","-282,000,000","-311,000,000","-383,000,000",
			CommonStockIssuance,"62,000,000","29,000,000","0","2,000,000","0","7,000,000","4,000,000","6,000,000","34,000,000","40,000,000","178,000,000","199,000,000","179,000,000","124,000,000","198,000,000","27,000,000","51,000,000","203,000,000","378,000,000","125,000,000","206,000,000","102,000,000","35,000,000","76,000,000","58,000,000","43,000,000","15,000,000",
			CommonStockPayments,"-4,063,000,000","-3,953,000,000","-2,566,000,000","0","-150,000,000","-2,260,000,000","-2,850,000,000","-3,013,000,000","-568,000,000","-1,917,000,000","-1,510,000,000","-834,000,000","-1,145,000,000","-1,425,000,000","-57,000,000","0","-434,000,000","-1,757,000,000","-1,546,000,000","-1,644,000,000","-664,000,000","-373,000,000","-252,000,000","-235,000,000","-340,000,000","-354,000,000","-398,000,000",
		CashDividendsPaid,"-636,000,000","-587,000,000","-321,000,000","0","-156,000,000","-612,000,000","-543,000,000","-482,000,000","-374,000,000","-253,000,000","-223,000,000","-196,000,000","-191,000,000","-134,000,000","-43,000,000","-63,000,000","-115,000,000","-105,000,000","-93,000,000","-84,000,000","-73,000,000","-68,000,000","-65,000,000","-61,000,000","-55,000,000","-52,000,000","-37,000,000",
			CommonStockDividendPaid,"-636,000,000","-587,000,000","-321,000,000","0","-156,000,000","-612,000,000","-543,000,000","-482,000,000","-374,000,000","-253,000,000","-223,000,000","-196,000,000","-191,000,000","-134,000,000","-43,000,000",,,,,,,,,,,,,
		NetOtherFinancingCharges,"-155,000,000","-133,000,000","-72,000,000","-234,000,000","-111,000,000","-156,000,000","-105,000,000","-157,000,000","-124,000,000","-85,000,000",,"-1,000,000","-11,000,000","11,000,000",,,"16,000,000","-28,000,000","15,000,000","-3,000,000","35,000,000","17,000,000",,,"46,000,000","235,000,000","326,000,000","576,000,000"
EndCashPosition,"370,000,000","366,000,000","525,000,000","1,421,000,000","894,000,000","253,000,000","360,000,000","429,000,000","887,000,000","96,000,000","104,000,000","126,000,000","88,000,000","102,000,000","505,000,000","115,000,000","134,000,000","332,000,000","193,000,000","201,000,000","770,000,000","229,000,000","198,000,000","812,000,000","326,000,000","489,000,000","390,000,000","289,000,000"
	ChangesInCash,"-209,000,000","-159,000,000","-896,000,000","527,000,000","641,000,000","-107,000,000","-69,000,000","-458,000,000","770,000,000","-8,000,000","-22,000,000","38,000,000","-14,000,000","-403,000,000","390,000,000","-19,000,000","-198,000,000","141,000,000","-10,000,000","-564,000,000","541,000,000","31,000,000","-614,000,000","486,000,000","-149,000,000","99,000,000","182,000,000","50,000,000"
	BeginningCashPosition,"579,000,000","525,000,000","1,421,000,000","894,000,000","253,000,000","360,000,000","429,000,000","887,000,000","117,000,000","104,000,000","126,000,000","88,000,000","102,000,000","505,000,000","115,000,000","134,000,000","332,000,000","191,000,000","203,000,000","765,000,000","229,000,000","198,000,000","812,000,000","326,000,000","475,000,000","390,000,000","208,000,000","239,000,000"
	OtherCashAdjustmentOutsideChangeinCash,,,,,,,,,,,,,,,,,,,,,,,,,,,"-390,000,000",
CapitalExpenditure,"-492,000,000","-452,000,000","-332,000,000","-183,000,000","-135,000,000","-653,000,000","-556,000,000","-240,000,000","-199,000,000","-305,000,000","-411,000,000","-296,000,000","-437,000,000","-183,000,000","-363,000,000","-186,000,000","-490,000,000","-671,000,000","-529,000,000","-780,000,000","-181,000,000","-210,000,000","-292,000,000","-560,000,000","-1,095,000,000","-990,000,000","-985,000,000","-520,000,000"
IssuanceOfCapitalStock,"62,000,000","29,000,000","0","2,000,000","0","7,000,000","4,000,000","6,000,000","34,000,000","40,000,000","178,000,000","199,000,000","179,000,000","124,000,000","198,000,000","27,000,000","51,000,000","203,000,000","378,000,000","125,000,000","206,000,000","102,000,000","35,000,000","76,000,000","58,000,000","43,000,000","15,000,000",
IssuanceOfDebt,"2,603,000,000","1,918,000,000","983,000,000","1,793,000,000","3,561,000,000","1,397,000,000","1,646,000,000","60,000,000","2,855,000,000","650,000,000","629,000,000","656,000,000","1,120,000,000","443,000,000","215,000,000","0","401,000,000",,,,,,,,,,,"16,000,000"
RepaymentOfDebt,"-908,000,000","-684,000,000","-804,000,000","-2,174,000,000","-1,887,000,000","-835,000,000","-526,000,000","-310,000,000","-326,000,000","-325,000,000","-7,000,000","-407,000,000","-370,000,000","-264,000,000","-810,000,000","-782,000,000","-275,000,000",,,,,,,,,,,"-15,000,000"
RepurchaseOfCapitalStock,"-4,063,000,000","-3,953,000,000","-2,566,000,000","0","-150,000,000","-2,260,000,000","-2,850,000,000","-3,013,000,000","-568,000,000","-1,917,000,000","-1,510,000,000","-834,000,000","-1,145,000,000","-1,425,000,000","-57,000,000","0","-434,000,000","-1,757,000,000","-1,546,000,000","-1,644,000,000","-664,000,000","-373,000,000","-252,000,000","-235,000,000","-340,000,000","-354,000,000","-398,000,000",
FreeCashFlow,"2,691,000,000","2,718,000,000","2,031,000,000","994,000,000","1,504,000,000","1,032,000,000","1,801,000,000","1,987,000,000","1,420,000,000","1,210,000,000","813,000,000","844,000,000","552,000,000","906,000,000","788,000,000","682,000,000","151,000,000","107,000,000","441,000,000","60,000,000","710,000,000","193,000,000","224,000,000","-157,000,000","-239,000,000","-279,000,000","-380,000,000","1,000,000"
