name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008
TotalAssets,"273,064,000,000","264,037,000,000","244,718,000,000","235,194,000,000","228,037,000,000","227,339,000,000","212,482,000,000","221,690,000,000","194,338,000,000","177,501,000,000","166,344,000,000","149,422,000,000","144,603,000,000","138,898,000,000","136,295,000,000","91,039,000,000"
	CurrentAssets,"101,618,000,000","100,451,000,000","82,103,000,000","80,924,000,000","74,992,000,000","75,293,000,000","68,744,000,000","76,203,000,000","69,408,000,000","83,626,000,000","81,501,000,000","69,996,000,000","64,923,000,000","53,053,000,000","59,247,000,000","44,267,000,000"
		CashCashEquivalentsAndShortTermInvestments,"26,466,000,000","31,303,000,000","28,676,000,000","29,038,000,000","23,243,000,000","26,810,000,000","23,825,000,000","24,415,000,000","23,401,000,000","28,176,000,000","28,993,000,000","27,410,000,000","32,219,000,000","26,616,000,000","22,813,000,000","14,194,000,000"
			CashAndCashEquivalents,"18,853,000,000","19,153,000,000","20,067,000,000","19,992,000,000","19,069,000,000","20,844,000,000","15,512,000,000","12,574,000,000","15,238,000,000","18,954,000,000","20,021,000,000","18,422,000,000","16,071,000,000","21,061,000,000","22,679,000,000","14,053,000,000"
				CashFinancial,"8,977,000,000","8,921,000,000","7,881,000,000","8,010,000,000","6,828,000,000","7,254,000,000","6,962,000,000","5,692,000,000","7,730,000,000","7,633,000,000","9,184,000,000","7,803,000,000",,,,
				CashEquivalents,"9,875,000,000","10,231,000,000","12,186,000,000","11,982,000,000","12,241,000,000","13,590,000,000","8,550,000,000","6,882,000,000","7,508,000,000","11,321,000,000","10,837,000,000","10,619,000,000",,,,
			OtherShortTermInvestments,"7,613,000,000","12,150,000,000","8,609,000,000","9,046,000,000","4,174,000,000","5,966,000,000","8,313,000,000","11,841,000,000","8,163,000,000","9,222,000,000","8,972,000,000","8,988,000,000","16,148,000,000","5,555,000,000","134,000,000","141,000,000"
		Receivables,"51,454,000,000","46,956,000,000","34,043,000,000","34,244,000,000","33,398,000,000","33,399,000,000","28,685,000,000","24,827,000,000","26,388,000,000","25,606,000,000","22,813,000,000","14,439,000,000","13,215,000,000","8,699,000,000","7,518,000,000","7,918,000,000"
			AccountsReceivable,"51,454,000,000","46,956,000,000","34,043,000,000","34,244,000,000","33,398,000,000","33,399,000,000","28,685,000,000","24,827,000,000","26,388,000,000","25,606,000,000","22,813,000,000","14,439,000,000","13,215,000,000","8,699,000,000","7,518,000,000","8,340,000,000"
				GrossAccountsReceivable,"52,658,000,000","48,085,000,000","34,938,000,000","35,470,000,000","33,599,000,000","33,610,000,000","28,963,000,000","25,039,000,000","26,715,000,000","25,946,000,000","23,157,000,000","14,750,000,000","13,546,000,000",,,
