name,03/31/2024,03/31/2023,03/31/2022,03/31/2021,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006
			CommonStock,"1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","481,000","485,000","485,000","486,000","486,000","0"
		AdditionalPaidInCapital,"397,999,000,000","416,880,000,000","410,506,000,000","394,308,000,000","343,707,000,000","231,783,000,000","186,764,000,000","164,585,000,000","132,206,000,000","117,142,000,000","27,043,000,000","21,655,000,000","20,778,000,000",,,,,"2,893,132,000","0"
		RetainedEarnings,"597,897,000,000","599,028,000,000","563,557,000,000","554,924,000,000","406,287,000,000","257,886,000,000","172,353,000,000","108,558,000,000","78,752,000,000","24,842,000,000","1,183,000,000","-20,491,000,000","12,552,000,000",,,,,"635,278,000","-271,125,000"
		TreasuryStock,"27,684,000,000","28,763,000,000","2,221,000,000","0","0","0","2,233,000,000","2,823,000,000","0","0","0","0","0",,,,,,
		GainsLossesNotAffectingRetainedEarnings,"18,331,000,000","2,560,000,000","-23,318,000,000","-11,716,000,000","5,457,000,000","2,636,000,000","9,100,000,000","8,541,000,000","6,200,000,000","3,865,000,000","1,651,000,000","-337,000,000","-1,024,000,000","7,417,299,000","5,752,764,000","4,976,605,000","4,906,575,000","3,612,595,000","416,693,000"
			UnrealizedGainLoss,"-37,000,000","59,000,000","27,000,000","-133,000,000","-256,000,000","257,000,000","8,677,000,000","8,703,000,000","4,894,000,000","3,397,000,000","321,000,000","-8,000,000","1,000,000",,,,,,
			ForeignCurrencyTranslationAdjustments,"3,635,000,000","-10,476,000,000","-33,184,000,000","-18,930,000,000","-387,000,000","-2,592,000,000","-3,594,000,000","-3,618,000,000","-1,050,000,000","-1,095,000,000","-1,144,000,000","-1,666,000,000","-2,121,000,000",,,,,"20,357,000","3,937,000"
			OtherEquityAdjustments,"14,733,000,000","12,977,000,000","9,839,000,000","7,347,000,000","6,100,000,000","4,971,000,000","4,017,000,000","3,456,000,000","2,356,000,000","1,563,000,000","2,474,000,000","1,337,000,000","1,096,000,000",,,,,"63,828,000","412,756,000"
		OtherEquityInterest,,"-49,000,000","-46,000,000","-47,000,000","-51,000,000","-49,000,000","-163,000,000","-63,000,000","-172,000,000","-411,000,000","-540,000,000","-852,000,000","-819,000,000",,,,,"486,000",
	MinorityInterest,"126,055,000,000","133,264,000,000","133,714,000,000","146,164,000,000","124,250,000,000","123,145,000,000","73,617,000,000","45,322,000,000","32,902,000,000","12,632,000,000","1,079,000,000","537,000,000","2,895,000,000","102,392,000","49,816,000","41,059,000","0",,
TotalCapitalization,"1,128,319,000,000","1,138,745,000,000","1,080,982,000,000","1,073,186,000,000","875,677,000,000","604,091,000,000","485,347,000,000","355,634,000,000","270,249,000,000","196,042,000,000","70,333,000,000","32,885,000,000","31,488,000,000","7,417,780,000","5,753,249,000","4,977,090,000","4,907,061,000","3,613,081,000","145,568,000"
PreferredStockEquity,,,,,,,,,,,"10,284,000,000","10,447,000,000",,,,,,,
CommonStockEquity,"986,544,000,000","989,657,000,000","948,479,000,000","937,470,000,000","755,401,000,000","492,257,000,000","365,822,000,000","278,799,000,000","216,987,000,000","145,439,000,000","29,338,000,000","-24,000,000","31,488,000,000","7,417,780,000","5,753,249,000","4,977,090,000","4,907,061,000","3,613,081,000","145,568,000"
CapitalLeaseObligations,"34,838,000,000","34,215,000,000","35,253,000,000","32,286,000,000","21,857,000,000","0",,,,,,,,,,,,,
NetTangibleAssets,"687,842,000,000","665,748,000,000","607,242,000,000","564,517,000,000","405,652,000,000","145,422,000,000","161,217,000,000","132,941,000,000","127,096,000,000","93,826,000,000","24,263,000,000","-3,100,000,000","17,996,000,000","6,738,625,000","5,153,927,000","4,608,953,000","4,900,446,000","3,613,081,000","145,568,000"
WorkingCapital,"331,357,000,000","312,615,000,000","254,751,000,000","266,002,000,000","221,051,000,000","62,604,000,000","121,045,000,000","88,300,000,000","81,996,000,000","102,437,000,000","30,449,000,000","19,167,000,000","16,148,000,000","6,279,983,000","4,655,406,000","4,045,829,000","4,234,401,000","3,197,050,000","-147,453,000"
InvestedCapital,"1,157,320,000,000","1,151,011,000,000","1,089,823,000,000","1,086,623,000,000","880,831,000,000","626,557,000,000","491,375,000,000","370,531,000,000","274,553,000,000","198,032,000,000","70,413,000,000","27,886,000,000","32,771,000,000","8,704,269,000","5,845,967,000","4,977,090,000","4,907,061,000","3,613,081,000","145,568,000"
TangibleBookValue,"687,842,000,000","665,748,000,000","607,242,000,000","564,517,000,000","405,652,000,000","145,422,000,000","161,217,000,000","132,941,000,000","127,096,000,000","93,826,000,000","13,979,000,000","-13,547,000,000","17,996,000,000","6,738,625,000","5,153,927,000","4,608,953,000","4,900,446,000","3,613,081,000","145,568,000"
TotalDebt,"205,614,000,000","195,569,000,000","176,597,000,000","181,439,000,000","147,287,000,000","134,300,000,000","125,553,000,000","91,732,000,000","57,566,000,000","52,593,000,000","41,075,000,000","27,910,000,000","1,283,000,000","1,286,489,000","92,718,000",,,,
NetDebt,,,,,,,,,,,"8,030,000,000",,,,,,,,
ShareIssued,"19,469,126,956","20,526,017,712","21,357,323,112","21,699,031,448","21,491,994,944","20,696,476,576","20,575,438,744","20,234,913,512","19,791,422,872","19,963,992,288","19,885,498,432",,,,,,"5,052,356,500","5,052,356,500","19,720,047,728"
OrdinarySharesNumber,"19,469,126,956","20,526,017,712","21,357,323,112","21,699,031,448","21,491,994,944","20,696,476,576","20,575,438,744","20,234,913,512","19,791,422,872","19,963,992,288","19,885,498,432",,,,,,"5,052,356,500","5,052,356,500","19,720,047,728"
