name,ttm,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010,01/31/2009,01/31/2008,01/31/2007,01/31/2006,01/31/2005,01/31/2004,01/31/2003,01/31/2002,01/31/2001,01/31/2000,01/31/1999,01/31/1998,01/31/1997,01/31/1996,01/31/1995,01/31/1994,01/31/1993
EBIT,"47,980,000","60,699,000","122,423,000","118,021,000","-140,423,000","58,433,000","62,504,000","43,652,000","52,918,000","70,234,000","71,653,000","69,354,000","49,490,000","34,509,000","-11,778,000","-21,404,000","6,203,000","50,777,000","52,319,000","48,037,000","35,076,000","34,781,000","317,760,000","26,273,000","34,132,000","15,769,000","32,600,000","25,905,000","20,400,000","18,100,000","15,800,000","14,200,000","12,600,000"
EBITDA,"57,167,000","70,343,000","133,232,000","130,484,000","-126,311,000","74,814,000","76,669,000","57,109,000","64,425,000","83,390,000","84,122,000","81,587,000","60,098,000","45,917,000","1,927,000","-5,976,000","24,660,000","67,461,000","68,899,000","64,817,000","47,679,000","44,754,000","326,129,000","33,823,000","40,473,000","20,958,000","38,000,000","30,005,000","24,300,000","21,000,000","18,900,000","16,600,000","14,800,000"
ReconciledCostOfRevenue,"302,305,000","302,207,000","318,003,000","313,328,000","235,898,000","326,077,000","310,209,000","269,875,000","257,935,000","277,993,000","276,998,000","264,994,000","227,596,000","211,772,000","199,188,000","184,043,000","175,913,000","222,868,000","209,922,000","184,621,000","168,818,000","129,908,000","115,907,000","115,653,000","117,051,000","121,478,000","106,400,000","93,400,000","91,100,000","80,600,000","72,800,000","68,600,000","66,100,000"
ReconciledDepreciation,"9,187,000","9,644,000","10,809,000","12,463,000","14,112,000","16,381,000","14,165,000","13,457,000","11,507,000","13,156,000","12,469,000","12,233,000","10,608,000","11,408,000","13,705,000","15,428,000","18,457,000","16,684,000","16,580,000","16,780,000","12,603,000","9,973,000","8,369,000","7,550,000","6,341,000","5,189,000","5,400,000","4,100,000","3,900,000","2,900,000","3,100,000","2,400,000","2,200,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"36,146,000","46,711,000","94,528,000","91,599,000","-111,518,000","42,699,000","61,624,000","-15,225,000","35,061,000","45,094,000","51,776,000","50,877,000","57,083,000","31,995,000","-23,482,000","-39,716,000","2,315,000","60,805,000","50,138,000","26,617,000","26,307,000","22,851,000","20,059,000","17,123,000","20,767,000","13,721,000","21,000,000","15,800,000","11,700,000","9,700,000","13,900,000","6,800,000","3,300,000"
TotalUnusualItemsExcludingGoodwill,,,"0","0","-154,602,000","15,356,000","0","0","-1,282,000",,"0","1,526,000","0","747,000","0","0","681,000",,"1,347,000","1,008,000","1,444,000",,,,,"4,752,000",,,,,,,
TotalUnusualItems,,,"0","0","-154,602,000","15,356,000","0","0","-1,282,000",,"0","1,526,000","0","747,000","0","0","681,000",,"1,347,000","1,008,000","1,444,000",,,,,"4,752,000",,,,,,,
NormalizedEBITDA,"57,167,000","70,343,000","133,232,000","130,484,000","28,291,000","59,458,000","76,669,000","57,109,000","65,707,000","83,390,000","84,122,000","80,061,000","60,098,000","45,170,000","1,927,000","-5,976,000","23,979,000","67,461,000","67,552,000","63,809,000","46,235,000","44,754,000","326,129,000","33,823,000","40,473,000","16,206,000","38,000,000","30,005,000","24,300,000","21,000,000","18,900,000","16,600,000","14,800,000"
TaxRateForCalcs,"0.221","0.21","0.204","0.211","0.219","0.263","0.003","0.27","0.317","0.338","0.271","0.252","0.35","0.018","0.35","0.35","0.224","0.35","0.054","0.4","0.205","0.28","0.28","0.179","0.25","0.094","0.231","0.229","0.25","0.287","0.4","0.4","0.057"
TaxEffectOfUnusualItems,"0","0","0","0","-33,864,724.305","4,038,817.87","0","0","-406,394","0","0","384,552","0","13,576.914","0","0","152,437.956","0","73,227.178","403,200","296,000.363","0","0","0","0","447,940.854","0","0","0","0","0","0","0"
