name,ttm,02/29/2024,02/28/2023,02/28/2022,02/28/2021,02/29/2020,02/28/2019,02/28/2018,02/28/2017,02/29/2016,02/28/2015,02/28/2014,02/28/2013,02/29/2012,02/28/2011,02/28/2010,02/28/2009
			NetIncomeDiscontinuousOperations,,,,,,,,,,,,,"0","0","-334,395","41,322",
		MinorityInterests,"481,000","565,000","-3,634,000","28,220,000","27,060,000","17,456,000","2,722,000","3,777,000","4,390,000","122,318","12,554","0","0",,,,
	PreferredStockDividends,,,,,,,,,,,,,,,,,"4,113,035"
AverageDilutionEarnings,,,,,"0","27,000","162,000","2,465,000","7,540,000","7,499,323","0","0",,,,,
DilutedNIAvailtoComStockholders,"52,866,000","-3,573,000","-135,612,000","-1,136,115,000","-115,990,000","-110,195,000","367,398,000","200,905,000","124,420,000","110,377,841","67,156,575","60,605,772","33,440,066","24,313,653","24,041,150","14,244,959","3,167,634"
BasicEPS,"0.083","-0.007","-0.213","-1.763","-0.19","-0.187","0.643","0.377","0.237","0.213","0.14","0.13","0.07","0.053","0.06","0.037","0.009"
DilutedEPS,"0.083","-0.007","-0.213","-1.763","-0.19","-0.187","0.61","0.343","0.217","0.2","0.137","0.127","0.07","0.053","0.06","0.037","0.008"
BasicAverageShares,"602,659,867","609,975,230","637,789,610","644,540,864","610,871,260","594,612,571","569,911,920","524,991,221","487,645,482","480,327,507","475,144,725","470,180,981","466,822,373","462,000,654","395,734,614","360,000,000","370,052,493"
DilutedAverageShares,"605,521,637","609,975,230","637,789,610","644,540,864","610,871,260","594,612,571","600,734,875","583,052,220","565,525,257","549,168,764","490,768,947","478,334,782","469,893,267","467,623,141","409,336,904","375,000,000","385,052,493"
TotalOperatingIncomeAsReported,"-28,786,000","-69,229,000","-90,730,000","-614,516,000","-438,224,000","137,443,000","341,582,000","208,604,000","134,594,000","85,051,863","67,248,114","57,395,931","31,421,420","21,024,871","25,574,046","15,409,953","9,063,492"
TotalExpenses,"1,657,973,000","1,559,669,000","1,110,502,000","4,500,373,000","4,826,444,000","3,106,867,000","2,221,402,000","1,506,054,000","908,506,000","534,896,914","366,721,455","256,499,274","193,915,513","156,355,141","85,014,253","53,878,594","26,796,636"
NetIncomeFromContinuingAndDiscontinuedOperation,"52,866,000","-3,573,000","-135,612,000","-1,136,115,000","-115,990,000","-110,195,000","367,236,000","198,440,000","116,880,000","102,878,518","67,156,575","60,605,772","33,440,066","24,313,653","24,041,150","14,244,959","7,280,669"
NormalizedIncome,"93,867,495.454","31,663,500","-137,009,250","-550,423,500","-24,332,153.457","27,031,000","415,606,626.023","200,546,199.79","123,175,460.794","69,534,752.271","66,100,362.679","60,558,071.392","33,969,464.342","24,633,951.678","24,248,403.503","14,317,533.253","8,421,423.715"
InterestIncome,"84,469,000","84,928,000","61,564,000","103,179,000","114,232,000","72,991,000","59,614,000","39,837,000","18,133,000","17,732,879","16,613,656","9,438,263","5,343,445","3,499,926","1,346,284","323,801","119,922"
InterestExpense,,"0","0","7,871,000","16,946,000","11,820,000","17,628,000","16,640,000","13,145,000","7,499,323","5,811,288","0","0","0","59,212","40,643","42,967"
NetInterestIncome,"84,469,000","84,928,000","61,564,000","95,308,000","97,286,000","61,171,000","41,986,000","23,197,000","4,988,000","10,233,556","10,802,368","9,438,263","5,343,445","3,499,926","1,287,072","283,158","76,955"
EBIT,"57,926,000","17,483,000","-109,719,000","-770,259,000","-207,677,000","-38,833,000","474,832,000","263,634,000","167,726,000","144,401,523","83,053,661","67,285,526","37,541,158","21,164,531","27,062,847","15,608,915","9,341,889"
EBITDA,"57,926,000","47,355,000","-69,015,000","-580,400,000","-42,342,000","79,159,000","563,667,000","322,848,000","201,287,000","163,584,547","95,519,441","77,296,860","44,908,490","26,859,261","30,528,425","17,671,038","10,359,198"
ReconciledCostOfRevenue,"744,811,000","684,316,000","436,358,000","2,203,336,000","2,048,561,000","1,468,569,000","1,164,454,000","882,316,000","522,327,000","303,634,829","203,073,957","151,543,116","115,748,650","95,587,218","56,142,838","37,433,811","18,554,255"
ReconciledDepreciation,,"29,872,000","40,704,000","189,859,000","165,335,000","117,992,000","88,835,000","59,214,000","33,561,000","19,183,024","12,465,780","10,011,334","7,367,332","5,694,730","3,465,578","2,062,123","1,017,309"
NetIncomeFromContinuingOperationNetMinorityInterest,"52,866,000","-3,573,000","-135,612,000","-1,136,115,000","-115,990,000","-110,195,000","367,236,000","198,440,000","116,880,000","102,878,518","67,156,575","60,605,772","33,440,066","24,313,653","24,375,545","14,203,637","7,280,669"
TotalUnusualItemsExcludingGoodwill,"-50,749,000","-46,982,000","1,863,000","-780,922,000","-133,064,000","-182,968,000","-58,091,000","-2,571,000","-8,075,000","44,139,034","1,202,000","52,958","-594,162","-375,057","140,799","-124,839","-1,456,980"
TotalUnusualItems,"-50,749,000","-46,982,000","1,863,000","-780,922,000","-133,064,000","-182,968,000","-58,091,000","-2,571,000","-8,075,000","44,139,034","1,202,000","52,958","-594,162","-375,057","140,799","-124,839","-1,456,980"
NormalizedEBITDA,"108,675,000","94,337,000","-70,878,000","200,522,000","90,722,000","262,127,000","621,758,000","325,419,000","209,362,000","119,445,513","94,317,441","77,243,902","45,502,652","27,234,318","30,387,626","17,795,877","11,816,178"
TaxRateForCalcs,"0.192","0.25","0.25","0.25","0.311","0.25","0.167","0.181","0.22","0.245","0.121","0.099","0.109","0.146","0.097","0.088","0.217"
TaxEffectOfUnusualItems,"-9,747,504.546","-11,745,500","465,750","-195,230,500","-41,406,153.457","-45,742,000","-9,720,373.977","-464,800.21","-1,779,539.206","10,795,268.271","145,787.679","5,257.392","-64,763.658","-54,758.322","13,657.503","-10,942.747","-316,225.285"
