name,ttm,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2002,01/31/2001,01/31/2000,01/31/1999,01/31/1998,01/31/1997,01/31/1996,01/31/1995,01/31/1994,01/31/1993,01/31/1992,01/31/1991,01/31/1990,01/31/1989
OperatingCashFlow,"80,647,000","130,565,000","-36,367,000","70,569,000","91,633,000","27,289,000","48,200,000","28,437,000","24,089,000","36,336,000","211,121,000","114,919,000","96,248,000","14,510,000","73,505,000","60,564,000","122,878,000","74,260,000","-26,932,000","121,800,000","41,400,000","32,600,000","21,100,000","67,200,000","-13,300,000","51,200,000","9,500,000","25,600,000"
	CashFlowFromContinuingOperatingActivities,"80,647,000","130,565,000","-36,367,000","70,569,000","91,633,000","27,289,000","48,200,000","28,437,000","24,089,000","36,336,000","211,121,000","114,919,000","96,248,000","14,510,000","73,505,000","60,564,000","122,878,000","74,260,000","-26,932,000","121,800,000","41,400,000","32,600,000","21,100,000","67,200,000","-13,300,000","51,200,000","9,500,000","25,600,000"
		NetIncomeFromContinuingOperations,"-132,707,000","-130,684,000","-12,530,000","33,369,000","10,836,000","19,290,000","11,590,000","28,195,000","-109,782,000","-19,548,000","73,799,000","78,847,000","49,827,000","76,234,000","66,916,000","34,657,000","48,034,000","31,185,000","64,150,000","51,000,000","30,600,000","36,100,000","42,400,000","33,500,000","28,700,000","14,700,000","29,100,000","32,300,000"
		OperatingGainsLosses,"6,711,000","6,759,000","-530,000","741,000","1,303,000","-266,000","278,000","348,000","672,000","44,000","239,000","70,000","70,000","502,000","10,152,000","552,000","-690,000","13,839,000","-6,355,000","600,000","1,800,000","700,000","900,000","1,100,000","600,000","500,000","200,000",
			GainLossOnSaleOfPPE,"45,000","93,000","-530,000","741,000","1,303,000","-266,000","278,000","348,000","672,000","44,000","239,000","70,000","70,000","502,000",,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"37,318,000","38,465,000","38,741,000","39,166,000","37,343,000","31,136,000","27,558,000","24,910,000","19,003,000","17,399,000","19,703,000","21,599,000","23,121,000","22,686,000","-26,946,000","-23,432,000","-20,715,000","-18,731,000","-15,127,000","-13,600,000","-12,500,000","-10,300,000","-8,300,000","-7,900,000","-7,400,000","-7,000,000","-5,300,000","-3,900,000"
			DepreciationAndAmortization,"37,318,000","38,465,000","38,741,000","39,166,000","37,343,000","31,136,000","27,558,000","24,910,000","19,003,000","17,399,000","19,703,000","21,599,000","23,121,000","22,686,000","-26,946,000","-23,432,000","-20,715,000","-18,731,000","-15,127,000","-13,600,000","-12,500,000","-10,300,000","-8,300,000","-7,900,000","-7,400,000","-7,000,000","-5,300,000","-3,900,000"
				Depreciation,,,,,,,,,,,,,,,"-26,946,000","-23,432,000","-20,715,000","-18,731,000","-15,127,000","-13,600,000","-12,500,000","-10,300,000","-8,300,000","-7,900,000","-7,400,000","-7,000,000","-5,300,000","-3,900,000"
		DeferredTax,"-2,763,000","1,813,000","927,000","-782,000","-10,770,000","-456,000","223,000","-32,757,000","-67,253,000","-22,670,000","17,545,000","-4,961,000","3,066,000","-1,262,000","-6,661,000","5,138,000","8,270,000","-5,948,000","-1,158,000","1,000,000","-700,000","-2,600,000","-1,700,000","-600,000","-1,500,000","1,100,000","2,500,000","-1,900,000"
			DeferredIncomeTax,"-2,763,000","1,813,000","927,000","-782,000","-10,770,000","-456,000","223,000","-32,757,000","-67,253,000","-22,670,000","17,545,000","-4,961,000","3,066,000","-1,262,000","-6,661,000","5,138,000","8,270,000","-5,948,000","-1,158,000","1,000,000","-700,000","-2,600,000","-1,700,000","-600,000","-1,500,000","1,100,000","2,500,000","-1,900,000"
