name,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010,01/31/2009,01/31/2008,01/31/2007,01/31/2006,01/31/2005,01/31/2004,01/31/2003,01/31/2002,01/31/2001,01/31/2000,01/31/1999,01/31/1998,01/31/1997
		PayablesAndAccruedExpenses,"787,195,000","688,221,000","792,417,000","710,553,000","532,525,000","539,359,000","458,856,000","436,239,000","475,016,000","420,289,000","474,545,000","604,064,000","610,690,000","439,370,000","344,332,000","293,041,000","389,347,000","361,138,000","360,347,000","288,913,000","254,753,000","198,817,000","141,483,000","135,244,000","18,714,000","24,800,000","51,111,000","28,802,000"
			Payables,"350,540,000","274,918,000","396,602,000","314,188,000","268,645,000","284,270,000","216,317,000","226,957,000","227,366,000","209,118,000","238,323,000","309,098,000","357,424,000","251,288,000","192,270,000","129,597,000","108,437,000","100,919,000","145,313,000","83,760,000","91,364,000","79,291,000","31,897,000","33,942,000","18,714,000","24,800,000","15,968,000","6,414,000"
				AccountsPayable,"296,976,000","258,895,000","374,829,000","289,396,000","219,919,000","226,878,000","168,868,000","187,017,000","184,175,000","141,685,000","130,715,000","140,396,000","211,368,000","137,235,000","150,134,000","92,814,000","108,437,000","100,919,000","145,313,000","83,760,000","91,364,000","79,291,000","31,897,000","33,942,000","18,714,000","24,800,000","15,968,000","6,414,000"
				TotalTaxPayable,"53,564,000","16,023,000","21,773,000","24,792,000","48,726,000","57,392,000","47,449,000","39,940,000","43,191,000","67,433,000","107,608,000","168,702,000","146,056,000","114,053,000","42,136,000","36,783,000",,,,,,,,,,,,
					IncomeTaxPayable,"53,564,000","16,023,000","21,773,000","24,792,000","10,392,000","18,902,000","10,326,000","5,863,000","5,988,000","32,804,000","63,508,000","112,483,000","77,918,000","73,491,000","9,352,000","16,455,000",,,,,,,,,,,,
			CurrentAccruedExpenses,"436,655,000","413,303,000","395,815,000","396,365,000","263,880,000","255,089,000","242,539,000","209,282,000","247,650,000","211,171,000","236,222,000","294,966,000","253,266,000","188,082,000","152,062,000","163,444,000","280,910,000","260,219,000","215,034,000","205,153,000","163,389,000","119,526,000","109,586,000","101,302,000","85,373,000","63,882,000","35,143,000","22,388,000"
		CurrentProvisions,,,,,,,,,,,,,,"16,764,000","11,665,000",,,,,,,,,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,,,,,,,,,,,,,"57,633,000","71,456,000",,,,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"179,625,000","213,979,000","222,823,000","248,846,000","282,829,000",,,,,"2,102,000","15,000,000",,,,,,,,,,,,,,,,,
			CurrentDebt,,,,,,,,,,"2,102,000","15,000,000",,,,,,,,,,,,,,,,,
				OtherCurrentBorrowings,,,,,,,,,,"2,102,000","15,000,000",,,,,,,,,,,,,,,,,
			CurrentCapitalLeaseObligation,"179,625,000","213,979,000","222,823,000","248,846,000","282,829,000","0",,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,,,,,"0","19,558,000","48,690,000","49,761,000","59,687,000","63,565,000","78,677,000","86,737,000","88,716,000","41,538,000","93,375,000","99,817,000",,,,,,,,,,,,
			CurrentDeferredRevenue,,,,,,"26,062,000","28,939,000","29,685,000","36,384,000","36,936,000","42,512,000","47,683,000","47,669,000","47,098,000","49,778,000","57,459,000",,,,,,,,,,,,
		OtherCurrentLiabilities,,,,,,,,,,,,,,,"39,922,000","56,939,000","153,766,000","149,489,000","131,207,000","140,299,000","56,319,000","46,471,000","22,096,000","34,021,000","119,152,000","97,400,000","15,851,000","14,788,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"957,426,000","1,104,331,000","1,086,927,000","1,406,191,000","1,663,133,000","608,055,000","565,675,000","557,718,000","602,614,000","629,510,000","553,282,000","478,332,000","486,291,000","498,267,000","544,577,000","552,806,000","406,172,000","332,143,000","303,047,000","288,253,000","214,392,000","28,233,000","11,533,000","10,254,000","9,206,000","10,978,000","57,501,000","50,933,000"
		LongTermProvisions,,,,,,"37,493,000","37,164,000",,,,,,,,,,,,,,,,,,,,,
		LongTermDebtAndCapitalLeaseObligation,"868,743,000","1,010,213,000","1,000,838,000","1,301,498,000","1,484,597,000","296,776,000","300,339,000","309,389,000","333,675,000","341,831,000","180,726,000","63,942,000","57,851,000","68,566,000","71,213,000","100,000,000",,,,,,,,,,,"50,000,000","50,000,000"
			LongTermDebt,"222,119,000","296,852,000","303,574,000","343,910,000","231,963,000","250,439,000","249,686,000","262,992,000","286,235,000","291,310,000","120,000,000",,"57,851,000","68,566,000","71,213,000","100,000,000",,,,,,,,,,,"50,000,000","50,000,000"
			LongTermCapitalLeaseObligation,"646,624,000","713,361,000","697,264,000","957,588,000","1,252,634,000","46,337,000","50,653,000","46,397,000","47,440,000","50,521,000","60,726,000","63,942,000","57,851,000",,,,,,,,,,,,,,,
