name,ttm,05/31/2023,05/31/2022,05/31/2021,05/31/2020,05/31/2019,05/31/2018,05/31/2017,05/31/2016,05/31/2015,05/31/2014,05/31/2013,05/31/2012,05/31/2011,05/31/2010,05/31/2009,05/31/2008,05/31/2007,05/31/2006
	CashFlowFromContinuingFinancingActivities,,"-246,867,000","-230,858,000","1,654,084,000","-17,862,000","266,649,000","-74,881,000","4,792,000","-916,000","-44,297,000","-54,114,000","-70,849,000","945,000","6,432,000","-17,550,000","-30,125,000","-19,261,000","126,691,000","-20,008,000"
		NetIssuancePaymentsOfDebt,,"-48,764,000","-221,997,000","177,083,000","20,000,000","96,457,000","0","0",,,,,,"0","0","8,000","0","-24,209,000","-13,203,000"
			NetLongTermDebtIssuance,,"-48,764,000","-221,997,000","0","20,000,000","96,457,000","0","0",,,,,,,,"0","0",,"-8,409,000"
				LongTermDebtIssuance,,,"0","297,083,000","20,000,000","96,457,000","0","0",,,,,,,,,,,
				LongTermDebtPayments,,"-48,764,000","-221,997,000","0","0",,,,,,,,,,,"0","0",,"-8,409,000"
			NetShortTermDebtIssuance,,"0","0","177,083,000",,,,,,,,,,"0","0","8,000","0",,"-5,106,000"
				ShortTermDebtIssuance,,"0","0","297,083,000",,,,,,,,,,"0","0","8,000","0",,"5,106,000"
				ShortTermDebtPayments,,"0","0","-120,000,000",,,,,,,,,,,,"0","0",,"-10,212,000"
		NetCommonStockIssuance,,"-191,628,000","0","1,512,640,000","0","177,385,000","0","0",,"-59,420,000","-21,487,000","-28,511,000","0","0","-17,550,000","-30,133,000","-19,261,000","150,682,000","1,259,000"
			CommonStockIssuance,,"0","0","1,512,640,000","0","233,347,000","0","0",,,,,"945,000","6,432,000","12,446,000","5,322,000","8,274,000","150,682,000","1,259,000"
			CommonStockPayments,,"-191,628,000","0","0","0","-55,962,000","0","0",,"-59,420,000","-21,487,000","-28,511,000","0","0","-29,996,000","-35,455,000","-27,535,000",,
		CashDividendsPaid,,,,,"0","0","-71,153,000","0","-62,668,000","0","-54,476,000","-46,990,000","0","0",,,,,"-8,071,000"
			CommonStockDividendPaid,,,,,"0","0","-71,153,000","0","-62,668,000","0","-54,476,000","-46,990,000","0","0",,,,,
		ProceedsFromStockOptionExercised,,"12,878,000","175,000","1,929,000","3,629,000","0","1,000","542,000","2,176,000","11,332,000","21,849,000","4,652,000","945,000","6,432,000",,,,,
		NetOtherFinancingCharges,,"-19,353,000","-9,036,000","-37,568,000","-41,491,000","-7,193,000","-3,729,000","4,250,000","59,576,000","3,791,000",,,,,,,"-272,000","218,000","7,000"
EndCashPosition,"2,245,715,000","1,805,427,000","1,194,527,000","1,632,127,000","919,424,000","1,418,227,000","986,765,000","644,670,000","709,209,000","531,298,000","371,593,000","417,166,000","428,261,000","317,260,000","281,104,000","254,772,000","208,440,000","204,378,000","32,653,000"
	ChangesInCash,"814,714,000","686,730,000","-342,779,000","606,530,000","-469,777,000","497,585,000","299,103,000","-44,914,000","213,660,000","156,431,000","-37,146,000","-25,109,000","106,548,000","24,099,000","26,415,000","44,795,000","-2,328,000","175,260,000","-9,453,000"
