name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,08/31/1992,08/31/1991,08/31/1990,08/31/1989,08/31/1988,08/31/1987,08/31/1986,08/31/1985
DilutedNIAvailtoComStockholders,"121,218,000","64,195,000","394,974,000","287,739,000","158,440,000","146,509,000","148,551,000","132,884,000","129,671,000","74,345,000","62,266,000","50,119,000","37,340,000","30,059,000","28,034,000","-24,053,000","11,678,000","39,767,000","31,023,000","33,602,000","25,108,000","19,423,000","-14,598,000","8,934,000","1,547,000","17,200,000","15,200,000","12,000,000","13,400,000","7,800,000","5,500,000","5,600,000","1,600,000","3,800,000","1,700,000","-13,400,000","-1,300,000",,"1,500,000","-1,300,000","800,000"
BasicEPS,"4.79","2.54","15.57","11.39","6.3","5.86","5.9","5.31","5.26","3.06","2.6","2.15","1.66","1.35","1.27","-1.1","0.54","1.82","1.43","1.6","1.22","0.96","-0.745","0.46","0.075","0.755","0.68","0.61","0.625","0.395","0.315","0.3","0.085","0.2","0.095","-0.72","-0.07",,"0.075","-0.075","0.05"
DilutedEPS,"4.77","2.52","15.48","11.32","6.27","5.84","5.83","5.24","5.2","3.02","2.56","2.11","1.64","1.34","1.26","-1.1","0.53","1.8","1.42","1.56","1.18","0.94","-0.745","0.46","0.075","0.755","0.67","0.595","0.625","0.395","0.305","0.285","0.085","0.2","0.095","-0.72","-0.07",,"0.075","-0.075","0.05"
BasicAverageShares,"25,340,500","25,305,000","25,372,000","25,257,000","25,134,000","24,998,000","25,178,000","25,020,000","24,631,000","24,295,000","23,911,000","23,321,000","22,558,000","22,267,000","22,123,000","21,807,000","21,808,000","21,850,000","21,694,406","21,001,250","20,580,328","20,232,292","19,594,631","19,421,739","20,626,667","22,781,457","22,352,941","19,672,131","21,440,000","19,746,835","17,460,317","18,666,667","18,823,529","19,000,000","17,894,737","18,611,111","18,571,429","18,768,000","20,000,000","17,333,333","16,000,000"
DilutedAverageShares,"25,440,000","25,436,000","25,514,000","25,427,000","25,255,000","25,093,000","25,463,000","25,375,000","24,933,000","24,650,000","24,334,000","23,753,000","22,828,000","22,444,000","22,266,000","21,807,000","21,917,000","22,092,778","21,847,183","21,539,744","21,277,966","20,662,766","19,997,260","19,421,739","20,626,667","22,781,457","22,686,567","20,168,067","23,181,818","19,746,835","18,032,787","19,649,123","18,823,529","19,000,000","17,894,737","18,611,111","18,571,429","18,768,000","20,000,000","17,333,333","16,000,000"
TotalOperatingIncomeAsReported,"196,426,000","123,428,000","553,028,000","398,410,000","222,934,000","200,210,000","198,788,000","214,281,000","200,850,000","116,254,000","95,487,000","78,298,000","58,132,000","48,548,000","45,428,000","-35,581,000","19,898,000","65,959,000","55,295,000","57,729,000","43,996,000","34,277,000","29,213,000","20,345,000","17,067,000","32,000,000","28,900,000","21,800,000","22,400,000","12,800,000","9,200,000","7,900,000","1,000,000","5,500,000","3,700,000","4,700,000","3,300,000","1,900,000","4,300,000","4,000,000","1,300,000"
TotalExpenses,"3,623,006,000","3,661,380,000","4,654,115,000","4,074,287,000","2,573,232,000","2,171,272,000","2,277,019,000","1,933,489,000","1,478,048,000","1,283,096,000","1,093,341,000","937,278,000","842,991,000","632,618,000","527,327,000","388,380,000","485,121,000","602,666,000","673,937,000","611,418,000","486,874,000","318,839,000","296,218,000","234,425,000","236,062,000","292,500,000","301,700,000","186,600,000","145,800,000","87,300,000","73,800,000","122,900,000","36,100,000","104,100,000","88,900,000","87,500,000","119,600,000","96,900,000","83,700,000","68,600,000","52,000,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"121,218,000","64,195,000","394,974,000","287,739,000","158,440,000","146,509,000","148,551,000","132,884,000","129,671,000","74,345,000","62,266,000","50,119,000","37,340,000","30,059,000","28,034,000","-24,053,000","11,678,000","39,767,000","31,023,000","33,602,000","25,108,000","19,423,000","15,564,000","8,934,000","1,547,000","17,200,000","15,200,000","12,000,000","13,400,000","7,800,000","5,500,000","5,600,000","200,000","3,800,000","1,700,000","-13,400,000","-1,300,000",,"1,500,000","-1,300,000","800,000"
NormalizedIncome,"121,218,000","64,195,000","394,974,000","287,739,000","158,440,000","146,509,000","148,551,000","132,884,000","129,671,000","76,760,400","63,545,870","50,119,000","37,340,000","30,059,000","28,034,000","5,733,833.104","15,046,760.107","39,323,149.454","30,632,565.747","33,520,579.028","24,844,979.612","19,375,000","15,764,000","9,830,000","7,994,000","17,200,000","15,200,000","12,000,000","13,400,000","7,739,534.884","5,600,000","5,600,000","200,000","3,800,000","1,700,000","800,000","371,428.571",,"1,300,000","1,400,000","-60,000"
InterestExpense,"37,064,000","40,424,000","27,573,000","16,366,000","13,453,000","8,796,000","6,436,000","1,437,000","1,678,000","1,885,000","430,000","351,000","330,000","292,000","218,000","789,000","877,000",,,,,,,,,,,,,,,,,,,,,,,,
NetInterestIncome,"-37,064,000","-40,424,000","-27,573,000","-16,366,000","-13,453,000","-8,796,000","-6,436,000","-1,437,000","-1,678,000","-1,885,000","-430,000","-351,000","-330,000","-292,000","-218,000","-789,000","-877,000",,,,,,,,,,,,,,,,,,,,,,,,
EBIT,"196,426,000","123,428,000","553,028,000","398,410,000","222,934,000","200,210,000","198,788,000","214,281,000","200,850,000","116,254,000","95,487,000","78,298,000","58,132,000","48,548,000","45,428,000","9,459,000","19,898,000","65,959,000","55,295,000","57,729,000","43,996,000","34,277,000","29,213,000","20,345,000","17,067,000","32,000,000","28,900,000","21,800,000","22,400,000","12,800,000","9,200,000","7,900,000","1,000,000","5,500,000","3,700,000","4,700,000","3,300,000","1,900,000","4,300,000","4,000,000","1,300,000"
EBITDA,"327,373,000","255,196,000","682,240,000","510,730,000","320,914,000","275,568,000","266,314,000","269,008,000","247,017,000","157,878,000","128,083,000","105,798,000","83,797,000","69,070,000","62,515,000","27,927,000","36,976,000","83,516,000","70,964,000","69,674,000","53,296,000","42,140,000","36,545,000","28,879,000","26,021,000","40,100,000","35,700,000","24,800,000","24,100,000","13,600,000","9,900,000","9,800,000","1,600,000","7,100,000","5,300,000","6,500,000","5,700,000","4,200,000","6,500,000","5,700,000","2,300,000"
ReconciledCostOfRevenue,"2,957,082,000","3,008,618,000","3,933,854,000","3,429,662,000","2,090,076,000","1,832,280,000","1,955,463,000","1,654,656,000","1,249,995,000","1,097,064,000","935,859,000","802,467,000","732,464,000","541,445,000","446,585,000","319,129,000","403,000,000","510,200,000","575,156,000","519,000,000","414,491,000","266,435,000","246,844,000","194,309,000","197,723,000","241,000,000","255,900,000","159,100,000","123,700,000","71,800,000","59,800,000","94,700,000","27,600,000","80,700,000","69,300,000","66,000,000","96,300,000","76,200,000","63,500,000","51,200,000","37,000,000"
ReconciledDepreciation,"130,947,000","131,768,000","129,212,000","112,320,000","97,980,000","75,358,000","67,526,000","54,727,000","46,167,000","41,624,000","32,596,000","27,500,000","25,665,000","20,522,000","17,087,000","18,468,000","17,078,000","17,557,000","15,669,000","11,945,000","9,300,000","7,863,000","7,332,000","8,534,000","8,954,000","8,100,000","6,800,000","3,000,000","1,700,000","800,000","700,000","1,900,000","600,000","1,600,000","1,600,000","1,800,000","2,400,000","2,300,000","2,200,000","1,700,000","1,000,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"121,218,000","64,195,000","394,974,000","287,739,000","158,440,000","146,509,000","148,551,000","132,884,000","129,671,000","74,345,000","62,266,000","50,119,000","37,340,000","30,059,000","28,034,000","-24,053,000","11,678,000","39,767,000","31,023,000","33,602,000","25,108,000","19,375,000","15,764,000","9,830,000","7,994,000","17,200,000","15,200,000","12,000,000","13,400,000","7,800,000","5,600,000","5,600,000","200,000","3,800,000","1,700,000","800,000","-1,300,000",,"1,300,000","1,400,000","900,000"
TotalUnusualItemsExcludingGoodwill,,,,,,,,"0","0","-3,716,000","-1,954,000","0","0","0","0","-45,040,000","-5,487,000","707,000","638,000","131,000","428,000",,,,"-6,897,000",,,,,"100,000",,,,,,,"-1,800,000",,,,"1,600,000"
TotalUnusualItems,,,,,,,,"0","0","-3,716,000","-1,954,000","0","0","0","0","-45,040,000","-5,487,000","707,000","638,000","131,000","428,000",,,,"-6,897,000",,,,,"100,000",,,,,,,"-1,800,000",,,,"1,600,000"
NormalizedEBITDA,"327,373,000","255,196,000","682,240,000","510,730,000","320,914,000","275,568,000","266,314,000","269,008,000","247,017,000","161,594,000","130,037,000","105,798,000","83,797,000","69,070,000","62,515,000","72,967,000","42,463,000","82,809,000","70,326,000","69,543,000","52,868,000","42,140,000","36,545,000","28,879,000","26,021,000","40,100,000","35,700,000","24,800,000","24,100,000","13,500,000","9,900,000","9,800,000","1,600,000","7,100,000","5,300,000","6,500,000","7,500,000","4,200,000","6,500,000","5,700,000","700,000"
TaxRateForCalcs,"0.239","0.227","0.248","0.247","0.244","0.235","0.228","0.38","0.349","0.35","0.345","0.357","0.354","0.377","0.38","0.339","0.386","0.372","0.388","0.378","0.385","0.38","0.385","0.393","0.4","0.399","0.392","0.378","0.391","0.395","0.391","0.253","0.4","0.095","0.4","0.4","0.071",,"0.4","0.4","0.4"
TaxEffectOfUnusualItems,"0","0","0","0","0","0","0","0","0","-1,300,600","-674,130","0","0","0","0","-15,253,166.896","-2,118,239.893","263,149.454","247,565.747","49,579.028","164,979.612","0","0","0","0","0","0","0","0","39,534.884","0","0","0","0","0","0","-128,571.429",,"0","0","640,000"
