name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009
OperatingCashFlow,"45,834,000","-77,985,000","-135,987,000","-123,958,000","-63,598,000","71,283,000","190,855,000","128,127,000","118,422,000","262,499,000","304,804,000","218,432,000","266,834,000","290,447,000","86,885,000","7,510,000"
	CashFlowFromContinuingOperatingActivities,"45,834,000","-77,985,000","-135,987,000","-123,958,000","-63,598,000","71,283,000","190,855,000","130,545,000","130,245,000","316,413,000","268,477,000","218,432,000","266,834,000","290,447,000","86,885,000","7,510,000"
		NetIncomeFromContinuingOperations,"-33,235,000","-52,934,000","-234,380,000","120,348,000","-286,180,000","-11,695,000","1,988,000","26,627,000","-183,323,000","33,679,000","-63,919,000","-88,946,000","-51,031,000","-297,762,000","-413,386,000","-1,341,000"
		OperatingGainsLosses,"3,554,000","-5,105,000","10,934,000","-5,543,000","-22,351,000","-50,985,000",,"-24,773,000","-11,399,000","-13,710,000","459,000","44,000","9,925,000","26,652,000",,
			GainLossOnSaleOfBusiness,,,,,,,"0","0","-11,399,000","-13,710,000","0","0",,,,
			GainLossOnSaleOfPPE,,,,,,"0","0","-17,149,000","0",,,,,,,
			NetForeignCurrencyExchangeGainLoss,"8,714,000","-5,105,000","10,934,000","-5,543,000","-22,351,000","0",,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,"412,000",,"-7,624,000",,,,,,,,
			EarningsLossesFromEquityInvestments,,,,,"0","-51,397,000","0","0","0","0","459,000","44,000","9,925,000","26,652,000","0",
		DepreciationAmortizationDepletion,"41,087,000","51,218,000","62,663,000","72,819,000","87,522,000","105,765,000","115,828,000","137,827,000","135,909,000","129,382,000","115,041,000","89,449,000","55,801,000","32,055,000","12,952,000","80,000"
			DepreciationAndAmortization,"41,087,000","51,218,000","62,663,000","72,819,000","87,522,000","105,765,000","115,828,000","137,827,000","135,909,000","129,382,000","115,041,000","89,449,000","55,801,000","32,055,000","12,952,000","80,000"
				Depreciation,"35,252,000","43,401,000","54,170,000","63,925,000","77,792,000","91,410,000","101,330,000","114,795,000","116,961,000","111,072,000","94,145,000","67,823,000","35,891,000",,,
				AmortizationCashFlow,"5,835,000","7,817,000","8,493,000","8,894,000","9,730,000","14,355,000","14,498,000","23,032,000","18,948,000","18,310,000","20,896,000","21,626,000","19,910,000",,,
					AmortizationOfIntangibles,"5,835,000","7,817,000","8,493,000","8,894,000","9,730,000","14,355,000","14,498,000","23,032,000","18,948,000","18,310,000","20,896,000","21,626,000","19,910,000",,,
		DeferredTax,"5,827,000","1,735,000","49,099,000","-33,985,000","-7,101,000","-1,485,000","-5,000,000","603,000","-10,448,000","-11,042,000","-11,124,000","-18,055,000","-7,651,000","32,203,000","-7,349,000","0"
			DeferredIncomeTax,"5,827,000","1,735,000","49,099,000","-33,985,000","-7,101,000","-1,485,000","-5,000,000","603,000","-10,448,000","-11,042,000","-11,124,000","-18,055,000","-7,651,000","32,203,000","-7,349,000","0"
		AssetImpairmentCharge,"47,184,000","0","50,632,000","7,651,000","153,459,000","0","10,156,000","2,944,000","328,000","7,214,000","2,036,000","85,925,000","50,553,000","0","0",
		UnrealizedGainLossOnInvestmentSecurities,"-90,000","25,751,000","0","-95,623,000","8,089,000","31,061,000","9,064,000","-382,000","48,141,000","2,943,000","0","0",,,,
		StockBasedCompensation,"13,391,000","14,481,000","30,006,000","33,169,000","39,010,000","81,615,000","64,821,000","82,044,000","115,123,000","138,748,000","115,290,000","121,462,000","104,117,000","93,590,000","36,168,000","115,000"
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,,,,"-7,629,000","-15,980,000","-20,454,000","-27,023,000","-10,178,000","-32,000","-143,000"
