name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992
		OtherNonCashItems,"78,000,000","50,000,000","8,000,000","38,000,000","-69,000,000","-153,000,000","-22,000,000","27,000,000","-36,600,000","87,700,000","45,800,000","48,500,000","23,300,000","20,300,000","24,300,000","38,400,000","115,900,000","16,300,000","92,100,000",,,,,,,"7,800,000","6,300,000","-31,400,000","6,500,000","4,100,000","-24,000,000","-11,100,000","22,700,000"
		ChangeInWorkingCapital,"-174,000,000","-93,000,000","-152,000,000","-184,000,000","319,000,000","-149,000,000","-277,000,000","-145,000,000","-116,300,000","-181,500,000","-334,200,000","-272,500,000","-25,600,000","-200,100,000","-106,800,000","17,000,000","-94,300,000","48,000,000","-107,000,000","-67,500,000","-14,100,000","-78,500,000","-73,000,000","17,000,000","46,000,000","99,100,000","-65,300,000","-3,800,000","-1,900,000","-24,500,000","46,800,000","-15,200,000","-47,500,000"
			ChangeInReceivables,"-106,000,000","-482,000,000","-409,000,000","-55,000,000","27,000,000","19,000,000","-43,000,000","-168,000,000","-137,500,000","-81,800,000","-248,700,000","-91,700,000","43,800,000","-150,600,000","-239,000,000","-106,600,000","163,900,000","-6,200,000","-57,400,000","-79,600,000","-60,400,000","-90,400,000","-67,400,000","-49,000,000","19,000,000","41,100,000","-29,300,000","-13,600,000","4,000,000","6,900,000","2,100,000","-15,600,000","-40,500,000"
			ChangeInInventory,"-6,000,000","-72,000,000","-158,000,000","-179,000,000","-28,000,000","-36,000,000","-53,000,000","-85,000,000","-36,500,000","-52,900,000","-39,700,000","-14,800,000","-5,300,000","-38,600,000","-79,000,000","143,000,000","-26,300,000","-34,700,000","-32,700,000","-30,100,000","-12,700,000","-9,100,000","-29,300,000","10,000,000","-15,000,000","-19,000,000","-9,100,000","-8,900,000","-8,700,000","-6,500,000","-12,300,000","-3,800,000","1,500,000"
			ChangeInPrepaidAssets,"-15,000,000","-3,000,000","17,000,000","14,000,000","23,000,000","-18,000,000","-19,000,000","1,000,000","8,800,000","-9,400,000","12,700,000","-14,200,000","-15,400,000","-2,400,000","600,000","1,200,000","16,000,000","9,000,000","-25,200,000","19,900,000","-7,000,000","7,300,000","-3,400,000","100,000",,,,,,,,,
			ChangeInPayablesAndAccruedExpense,"22,000,000","375,000,000","433,000,000","-61,000,000","186,000,000","-123,000,000","-76,000,000","233,000,000","120,700,000","57,700,000","100,400,000","3,100,000","17,800,000","37,600,000","206,700,000","92,000,000","-218,600,000","94,200,000","-8,100,000","137,600,000","113,100,000","13,700,000","-14,700,000","23,000,000","7,000,000","57,900,000","3,000,000","-3,900,000","7,500,000","-28,600,000","57,600,000","-12,500,000","36,800,000"
				ChangeInPayable,,"375,000,000","433,000,000","-61,000,000",,,"-160,800,000","190,000,000","120,700,000","57,700,000","100,400,000","3,100,000","17,800,000","37,600,000","206,700,000","92,000,000","-218,600,000",,,,,,,,,,,,,,,,
					ChangeInTaxPayable,,,,,,,"-84,700,000","-42,800,000","-14,200,000","34,600,000","-28,700,000","-30,000,000","44,900,000","-15,400,000","37,300,000","-6,900,000","-23,000,000",,,,,,,,,,,,,,,,
						ChangeInIncomeTaxPayable,,,,,,,"-84,700,000","-42,800,000","-14,200,000","34,600,000","-28,700,000","-30,000,000","44,900,000","-15,400,000","37,300,000","-6,900,000","-23,000,000",,,,,,,,,,,,,,,,
					ChangeInAccountPayable,,"375,000,000","433,000,000","-61,000,000",,,"-76,100,000","232,800,000","134,900,000","23,100,000","129,100,000","33,100,000","-27,100,000","53,000,000","169,400,000",,,,,,,,,,,,,,,,,,
