name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012
		NetOtherInvestingChanges,,"36,000,000","30,000,000","44,000,000","23,000,000",,"-8,000,000","19,875,000","4,866,000","3,881,000","2,864,000","-166,000","-5,161,000"
	CashFromDiscontinuedInvestingActivities,,"0","386,000,000","-1,475,000,000","-5,000,000","0","0",,,,,,
FinancingCashFlow,"-454,000,000","-713,000,000","-1,282,000,000","-550,000,000","10,641,000,000","-712,000,000","1,044,000,000","1,351,101,000","-73,671,000","92,713,000","-14,228,000","-11,466,000","-11,381,000"
	CashFlowFromContinuingFinancingActivities,"-454,000,000","-713,000,000","-1,282,000,000","-1,141,000,000","10,641,000,000","-712,000,000","1,044,000,000","1,351,101,000","-73,671,000","92,713,000","-14,228,000","-11,466,000","-11,381,000"
		NetIssuancePaymentsOfDebt,"-299,000,000","-654,000,000","-1,241,000,000","-1,041,000,000","8,295,000,000","-703,000,000","1,091,000,000","1,411,625,000","-68,750,000","162,623,000","-13,750,000","-5,369,000","-7,352,000"
			NetLongTermDebtIssuance,"-299,000,000","-654,000,000","-1,241,000,000","-1,041,000,000","8,295,000,000","-703,000,000","1,091,000,000","1,411,625,000","-68,750,000","69,123,000","-13,750,000","-5,369,000","-7,352,000"
				LongTermDebtIssuance,"6,015,000,000","5,460,000,000","1,500,000,000","1,308,000,000","12,989,000,000","33,000,000","1,161,000,000","2,560,453,000","73,000,000","800,000,000","0",,
				LongTermDebtPayments,"-6,314,000,000","-6,114,000,000","-2,741,000,000","-2,349,000,000","-4,694,000,000","-736,000,000","-70,000,000","-1,148,828,000","-141,750,000","-730,877,000","-13,750,000","-5,369,000","-7,352,000"
			NetShortTermDebtIssuance,,,,,,,,"-29,000,000","-64,500,000","93,500,000","0",,
				ShortTermDebtIssuance,,,,,,,,"207,953,000","73,000,000","131,000,000","0",,
				ShortTermDebtPayments,,,,,,,,"-236,953,000","-137,500,000","-37,500,000","0",,
		NetCommonStockIssuance,,"-66,000,000","1,000,000","3,000,000","2,718,000,000","0","-9,000,000","0","0",,"-148,000",,"0"
			CommonStockIssuance,,"0","1,000,000","3,000,000","2,718,000,000","0","0",,,,,,
			CommonStockPayments,,"-66,000,000","0","0","0","0","-9,000,000","0","0",,"-148,000",,"0"
		CashDividendsPaid,,,,,,,,,"0","0","-575,000","-6,097,000","-4,135,000"
			CommonStockDividendPaid,,,,,,,,,"0",,"-575,000","-6,097,000","-4,135,000"
		ProceedsFromStockOptionExercised,,,,,,"0","154,000","2,900,000","385,000","0","245,000",,"0"
		NetOtherFinancingCharges,"-89,000,000","7,000,000","-42,000,000","-103,000,000","-372,000,000","-9,000,000","-38,000,000","-63,424,000","-5,306,000","-69,910,000","-148,000","-369,000","106,000"
	CashFromDiscontinuedFinancingActivities,,"0","0","591,000,000","0","0",,,,,,,
OtherCashAdjustmentInsideChangeinCash,,"0","0","10,000,000","-20,000,000","0","0",,,,,,
EndCashPosition,"959,000,000","1,143,000,000","1,303,000,000","2,021,000,000","4,280,000,000","217,000,000","247,000,000","147,749,000","63,443,000","78,278,000","87,604,000","29,813,000","25,303,000"
	ChangesInCash,"-368,000,000","-160,000,000","-689,000,000","-2,291,000,000","3,934,000,000","-30,000,000","99,000,000","84,306,000","-20,106,000","-9,326,000","57,791,000","4,510,000","-4,847,000"
	EffectOfExchangeRateChanges,,"0","-29,000,000","32,000,000","129,000,000","0","0",,,,,,
	BeginningCashPosition,"1,327,000,000","1,303,000,000","2,021,000,000","4,280,000,000","217,000,000","247,000,000","148,000,000","63,443,000","83,549,000","87,604,000","29,813,000","25,303,000","30,150,000"
	OtherCashAdjustmentOutsideChangeinCash,,,,,"-15,000,000","0","0",,,,,,
IncomeTaxPaidSupplementalData,"35,000,000","26,000,000","22,000,000","9,000,000",,"51,000,000",,"246,000","1,662,000","1,198,000","360,000",,"0"
InterestPaidSupplementalData,"2,276,000,000","2,132,000,000","2,010,000,000","1,923,000,000","892,000,000","277,000,000","166,000,000","84,604,000","47,696,000","78,378,000","14,848,000","14,827,000","15,125,000"
CapitalExpenditure,"-1,299,000,000","-1,294,000,000","-963,000,000","-832,000,000","-199,000,000","-171,000,000","-147,000,000","-83,161,000","-43,173,000","-36,762,000","-10,564,000","-7,413,000","-9,181,000"
IssuanceOfCapitalStock,,"0","1,000,000","3,000,000","2,718,000,000","0","0",,,,,,
IssuanceOfDebt,"6,015,000,000","5,460,000,000","1,500,000,000","1,308,000,000","12,989,000,000","33,000,000","1,161,000,000","2,560,453,000","73,000,000","931,000,000","0",,
RepaymentOfDebt,"-6,314,000,000","-6,114,000,000","-2,741,000,000","-2,349,000,000","-4,694,000,000","-736,000,000","-70,000,000","-1,148,828,000","-141,750,000","-768,377,000","-13,750,000","-5,369,000","-7,352,000"
RepurchaseOfCapitalStock,,"-66,000,000","0","0","0","0","-9,000,000","0","0",,"-148,000",,"0"
FreeCashFlow,"91,000,000","515,000,000","12,000,000","340,000,000","-781,000,000","142,000,000","176,000,000","46,725,000","52,199,000","19,953,000","21,042,000","16,123,000","19,185,000"
DomesticSales,,,,,,,,,,"719,784,000",,,
