name,ttm,03/31/2024,03/31/2023,03/31/2022,03/31/2021,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006
	EffectOfExchangeRateChanges,"729,000,000","4,389,000,000","3,530,000,000","-8,834,000,000","-7,187,000,000","4,100,000,000","3,245,000,000","-6,065,000,000","2,038,000,000","466,000,000","-112,000,000","-97,000,000","-76,000,000","-54,000,000","-5,358,000","-6,206,000","-222,000","-32,488,000","-50,825,000","-223,000"
	BeginningCashPosition,"267,094,000,000","229,510,000,000","227,353,000,000","356,469,000,000","345,982,000,000","198,494,000,000","202,726,000,000","146,391,000,000","108,164,000,000","108,193,000,000","33,045,000,000","30,396,000,000","16,857,000,000","7,286,000,000","3,086,165,000","2,748,690,000","2,688,951,000","4,321,170,000","437,804,000","698,335,000"
IncomeTaxPaidSupplementalData,,,"26,476,000,000","21,474,000,000","20,898,000,000","31,733,000,000",,,,,,,,,,,,,,
InterestPaidSupplementalData,,,"5,637,000,000","5,066,000,000","4,101,000,000","4,886,000,000",,,,,,,,,,,,,,
CapitalExpenditure,,"-32,929,000,000","-34,352,000,000","-53,324,000,000","-43,185,000,000","-45,386,000,000","-49,643,000,000","-29,836,000,000","-17,546,000,000","-10,845,000,000","-7,705,000,000","-4,776,000,000","-2,503,000,000","-2,168,000,000","-172,070,000","-294,479,000","-410,744,000","-275,680,000","-139,812,000","-96,690,000"
IssuanceOfCapitalStock,,"843,000,000","11,000,000","109,000,000","175,000,000","91,506,000,000","354,000,000","399,000,000","14,607,000,000","693,000,000","61,708,000,000","1,638,000,000","27,334,000,000","618,000,000","55,341,000","10,328,000","55,000","0","2,935,079,000","0"
IssuanceOfDebt,,"20,570,000,000","22,790,000,000","9,427,000,000","38,410,000,000","15,719,000,000","12,116,000,000","72,641,000,000","96,677,000,000","28,973,000,000","182,585,000,000","84,029,000,000","36,123,000,000","1,056,000,000","1,426,043,000","93,644,000","0",,,
RepaymentOfDebt,,"-18,105,000,000","-11,448,000,000","-16,713,000,000","-7,061,000,000","-31,741,000,000","-16,347,000,000","-39,016,000,000","-67,344,000,000","-26,495,000,000","-156,541,000,000","-71,240,000,000","-9,191,000,000","-935,000,000","-279,414,000","0",,,,
RepurchaseOfCapitalStock,,"-88,745,000,000","-74,746,000,000","-61,225,000,000","-773,000,000","0","-10,872,000,000","0","-13,182,000,000","-19,795,000,000","-270,000,000","-5,288,000,000","-55,245,000,000","-2,000,000","-417,696,000","-52,709,000","-69,804,000","-78,873,000","-112,249,000",
FreeCashFlow,"137,994,000,000","149,664,000,000","165,400,000,000","89,435,000,000","188,601,000,000","135,221,000,000","101,332,000,000","95,969,000,000","65,308,000,000","45,991,000,000","33,512,000,000","21,603,000,000","11,973,000,000","7,107,000,000","2,009,919,000","2,744,914,000","1,829,471,000","1,314,383,000","1,269,405,000","633,981,000"
