name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004
TotalRevenue,"9,086,200,000","8,549,924,000","4,843,760,000","647,986,000","1,279,908,000","6,462,376,000","6,055,126,000","5,396,175,000","4,874,340,000","4,345,048,000","3,125,881,000","2,570,294,000","2,276,246,000","2,219,324,000","2,012,128,000","1,855,204,000","2,106,401,000","2,172,815,000","1,976,309,000","1,629,723,000","1,338,286,000"
	OperatingRevenue,"9,086,200,000","8,549,924,000","4,843,760,000","647,986,000","1,279,908,000","6,462,376,000","6,055,126,000","5,396,175,000","4,874,340,000","4,345,048,000","3,125,881,000","2,570,294,000","2,276,246,000","2,219,324,000","2,012,128,000","1,855,204,000","2,106,401,000","2,172,815,000","1,976,309,000","1,629,723,000","1,338,286,000"
CostOfRevenue,"5,646,737,000","5,468,587,000","4,267,086,000","1,608,037,000","1,693,061,000","3,663,261,000","3,377,076,000","3,063,644,000","2,850,225,000","2,655,449,000","1,946,624,000","1,657,659,000","1,478,433,000","1,467,876,000","1,347,176,000","1,289,794,000","1,578,481,000","1,692,940,000","1,567,382,000","1,248,526,000","981,537,000"
GrossProfit,"3,439,463,000","3,081,337,000","576,674,000","-960,051,000","-413,153,000","2,799,115,000","2,678,050,000","2,332,531,000","2,024,115,000","1,689,599,000","1,179,257,000","912,635,000","797,813,000","751,448,000","664,952,000","565,410,000","527,920,000","479,875,000","408,927,000","381,197,000","356,749,000"
OperatingExpense,"2,231,860,000","2,150,426,000","2,128,431,000","1,592,297,000","1,463,185,000","1,621,038,000","1,458,989,000","1,283,712,000","1,098,651,000","987,113,000","676,316,000","516,748,000","440,720,000","435,336,000","434,343,000","394,315,000","462,392,000","435,096,000","368,347,000","310,855,000","291,957,000"
	SellingGeneralAndAdministration,"1,369,863,000","1,341,858,000","1,379,105,000","891,452,000","745,345,000","974,850,000","897,929,000","773,755,000","666,156,000","554,999,000","403,169,000","301,155,000","251,183,000","251,351,000","264,152,000","241,615,000","299,827,000","287,093,000","249,250,000","225,240,000","204,560,000"
		SellingAndMarketingExpense,,,,,,"974,850,000","897,929,000","773,755,000","666,156,000","554,999,000","403,169,000","301,155,000","251,183,000","251,351,000","264,152,000","241,615,000",,,,,
	DepreciationAmortizationDepletionIncomeStatement,"861,997,000","808,568,000","749,326,000","700,845,000","717,840,000","646,188,000","561,060,000","509,957,000","432,495,000","432,114,000","273,147,000","215,593,000","189,537,000","183,985,000","170,191,000","152,700,000","162,565,000","148,003,000","119,097,000","85,615,000","87,397,000"
		DepreciationAndAmortizationInIncomeStatement,"861,997,000","808,568,000","749,326,000","700,845,000","717,840,000","646,188,000","561,060,000","509,957,000","432,495,000","432,114,000","273,147,000","215,593,000","189,537,000","183,985,000","170,191,000","152,700,000","162,565,000","148,003,000","119,097,000","85,615,000","87,397,000"
OperatingIncome,"1,207,603,000","930,911,000","-1,551,757,000","-2,552,348,000","-1,876,338,000","1,178,077,000","1,219,061,000","1,048,819,000","925,464,000","702,486,000","502,941,000","395,887,000","357,093,000","316,112,000","230,609,000","171,095,000","65,528,000","44,779,000","40,580,000","70,342,000","64,792,000"
NetNonOperatingInterestIncomeExpense,"-775,231,000","-727,531,000","-801,512,000","-2,072,925,000","-482,313,000","-272,867,000","-270,404,000","-267,804,000","-276,859,000","-221,909,000","-151,754,000","-282,602,000","-189,930,000","-190,187,000","-173,672,000","-114,514,000","-149,568,000","-174,025,000","-133,086,000","-82,203,000","-47,452,000"
	InterestIncomeNonOperating,,,,,,,,,,,,,,"38,000","100,000","836,000","2,796,000","1,384,000","3,392,000","4,803,000","1,434,000"
	InterestExpenseNonOperating,"775,231,000","727,531,000","801,512,000","2,072,925,000","482,313,000","272,867,000","270,404,000","267,804,000","276,859,000","221,909,000","151,754,000","282,602,000","189,930,000","190,187,000","173,672,000","115,350,000","152,364,000","175,409,000","136,478,000","87,006,000","48,886,000"
	TotalOtherFinanceCost,,,,,"42,200,000","27,500,000","270,404,000","267,804,000","276,859,000","221,909,000","151,754,000","282,602,000","189,930,000","190,187,000","173,672,000",,,,,,
OtherIncomeExpense,"-3,173,000","-40,204,000","76,566,000","123,953,000","-1,641,396,000","6,155,000","20,653,000","-10,401,000","-8,302,000","-46,668,000","-10,853,000","1,403,000","2,099,000","2,634,000","-33,951,000","10,371,000","-127,763,000","-97,716,000","-38,393,000","28,096,000","-26,048,000"
	SpecialIncomeCharges,,,"0","0","-1,607,797,000","0","0",,,,,,,,"-33,952,000","10,373,000","-127,763,000","-97,716,000","-38,393,000","28,096,000","-26,048,000"
		ImpairmentOfCapitalAssets,,,"0","0","1,607,797,000","0","0",,,,,,,,"0","0","128,775,000","2,565,000","8,000,000","0","14,500,000"
		OtherSpecialCharges,,,,,"27,800,000","16,700,000",,,,,,,,,"33,952,000","-10,373,000","-1,012,000","95,151,000","30,393,000","-28,096,000","11,548,000"
	OtherNonOperatingIncomeExpenses,"-3,173,000","-40,204,000","76,566,000","123,953,000","-33,599,000","6,155,000","20,653,000","-10,401,000","-8,302,000","-46,668,000","-10,853,000","1,403,000","2,099,000","2,634,000","-33,951,000","10,371,000",,,,,
PretaxIncome,"429,199,000","163,176,000","-2,276,703,000","-4,501,320,000","-4,000,047,000","911,365,000","969,310,000","770,614,000","640,303,000","433,909,000","340,334,000","114,688,000","169,262,000","128,559,000","22,986,000","66,952,000",,,,,
TaxProvision,"9,027,000","-3,002,000","-6,794,000","5,267,000","12,467,000","-18,863,000","14,467,000","10,742,000","7,218,000","6,772,000","-2,267,000","11,802,000","706,000","1,700,000",,,,,,,
NetIncomeCommonStockholders,"420,172,000","166,178,000","-2,269,909,000","-4,506,587,000","-4,012,514,000","930,228,000","954,843,000","759,872,000","633,085,000","427,137,000","338,352,000","101,714,000","168,556,000","126,859,000","22,986,000","66,952,000","-211,803,000","-226,962,000","-130,899,000","16,235,000","-8,708,000"
