name,ttm,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,02/29/2012,02/28/2011,02/28/2010,02/28/2009,02/29/2008,02/28/2007,02/28/2006,02/28/2005,02/29/2004,02/28/2003,02/28/2002,02/28/2001,02/29/2000,02/28/1999,02/28/1998,02/28/1997,02/29/1996,02/28/1995,02/28/1994,02/28/1993,02/29/1992,02/28/1991,02/28/1990,03/31/1989,03/31/1988,03/31/1987,03/31/1986
MarketCap,"20,892,766,435","15,614,053,865","19,349,832,000","22,576,272,000","28,178,378,794","21,915,861,986","15,941,576,947","21,357,373,870","13,850,528,160","9,572,162,003","12,346,751,964","8,145,019,963","8,652,820,341","12,657,101,600","15,258,168,000","11,915,023,780","17,658,959,780","22,340,844,400","26,127,378,280","17,737,034,876","17,287,506,035","9,359,551,620","14,346,388,469","8,525,592,652","11,166,053,080","9,442,872,969","2,658,013,812","400,491,324","717,560,658","917,407,009","1,151,964,237","460,513,115","244,959,145","69,292,038","64,059,120","71,194,385","77,004,057","136,081,279","80,888,328"
EnterpriseValue,"23,601,766,435","19,007,053,865","22,429,832,000","23,096,272,000","27,225,378,794","24,807,861,986","15,963,576,947","19,346,373,870","12,099,528,160","7,864,162,003","10,843,751,964","7,644,019,963","9,661,820,341","13,241,101,600","16,482,168,000","14,647,023,780","16,972,959,780","19,197,844,400","22,991,378,280","14,989,034,876","16,310,506,035","8,274,551,620","13,311,388,469","8,074,662,652","10,445,980,080","9,148,572,969","2,816,013,812","676,191,324","955,060,658","1,095,407,009","1,322,964,237","596,813,115","244,059,145","77,892,038","75,559,120","110,194,385","121,304,057","144,481,279","82,688,328"
PeRatio,"16.805","12.52","13.281","9.611","16.665","15.15","15.654","18.543","13.826","11.541","12.096",,,"10.468","13.931","10.714","13.785","16.659","23.727","19.352","24.527","15.212","25.373","22","33.479","51.506","67.616","231.063","14.94","16.978","26.536","31.123","20.235","13.947","10.755","23.94","26.019","15.262","18.159"
ForwardPeRatio,"16.155","11.806","13.28","10.905","15.038","13.755","10.965","15.873","12.987","10.32","13.986","10.616","6.689","8.953",,,,,,,,,,,,,,,,,,,,,,,,,
PegRatio,"1.806","1.663","2.935","1.498","1.526","1.718","0.859","1.444","1.12","0.88","1.067","0.72","0.771","0.723",,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"0.497","0.366","0.425","0.485","0.629","0.53","0.391","0.568","0.369","0.247","0.297","0.17","0.178","0.267","0.325","0.28","0.487","0.642","0.881","0.662","0.754","0.451","0.739","0.568","0.928","1.086","0.335","0.051","0.099","0.193","0.379","0.379","0.175","0.094","0.12","0.099","0.166","0.491","0.658"
PbRatio,"6.724","5.553","6.465","5.277","6.845","7.013","5.293","5.144","3.251","1.945","2.708","2.177","1.982","1.736","2.496","2.613","3.938","3.603","4.97","3.987","5.73","3.428","5.691","4.679","10.188","10.246","5.598","0.914","1.663","2.439","3.699","2.735","1.609","1.222","0.968","1.179","1.323","2.443","5.617"
EnterprisesValueRevenueRatio,"0.555","0.437","0.468","0.441","0.598","0.574","0.368","0.48","0.306","0.196","0.26","0.151","0.191","0.263","0.344","0.335","0.424","0.534","0.745","0.546","0.707","0.395","0.679","0.527","0.836","0.966","0.359","0.087","0.132","0.216","0.44","0.443","0.303","0.117","0.147","0.218","0.276","0.603","0.731"
EnterprisesValueEBITDARatio,"9.12","7.202","7.708","5.565","8.532","8.569","6.156","7.572","4.998","3.734","6.095","3.602","4.553","4.213","5.416","5.315","6.192","7.655","10.948","7.885","10.695","6.269","10.683","8.599","16.101","24.507","16.507","5.635","5.384","6.825","13.283","15.382","9.534","4.165","4.041","6.482","8.665","8.499","9.396"
