name,ttm,04/30/2024,04/30/2023,04/30/2022,04/30/2021,04/30/2020,04/30/2019,04/30/2018,04/30/2017,04/30/2016,04/30/2015,04/30/2014,04/30/2013,04/30/2012,04/30/2011,04/30/2010,04/30/2009,04/30/2008,04/30/2007,04/30/2006,04/30/2005,04/30/2004,04/30/2003,04/30/2002,12/31/2000,12/31/1999
OperatingCashFlow,"35,294,000","106,739,000","16,732,000","137,814,000","315,334,000","94,736,000","57,099,000","61,643,000","123,576,000","168,557,000","114,807,000","90,206,000","98,098,000","37,372,000","38,359,000","23,092,000","53,063,000","6,003,942","15,812,981","11,192,596","6,399,444","979,061","-1,517,872","6,081,477","-1,735,085","-1,087,110"
	CashFlowFromContinuingOperatingActivities,"35,294,000","106,739,000","16,732,000","137,814,000","317,260,000","80,835,000","51,098,000","61,643,000","123,576,000","168,557,000","114,807,000","90,206,000","98,098,000","37,372,000","38,359,000","23,092,000","53,063,000","6,003,942","15,812,981","11,192,596","6,399,444","979,061","-1,517,872","6,081,477","-1,735,085","-1,087,110"
		NetIncomeFromContinuingOperations,"34,385,000","39,609,000","36,876,000","194,494,000","243,571,000","27,653,000","24,920,000","20,128,000","127,854,000","93,958,000","49,613,000","89,305,000","79,935,000","21,793,000","-82,769,000","32,510,000","-64,207,000","9,121,114","12,961,934","8,701,579","5,248,956","832,285","17,225,493","-10,778,215","-2,542,070","-1,243,040"
		OperatingGainsLosses,"-5,656,000","-5,595,000","-55,000","625,000","154,000","419,000","-460,000","44,000","99,000","256,000","267,000","150,000","-900,000","5,752,000","10,345,000","516,000","247,000","5,564","-8,946","61,295","-548,544","81,988","1,985,514","5,796,192",,
			GainLossOnSaleOfBusiness,,,,,,,,,,,"0","0","-1,215,000","5,467,000","10,143,000","0",,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,"516,000","247,000",,,,,,,,,
		DepreciationAmortizationDepletion,"31,353,000","32,558,000","31,436,000","30,073,000","31,575,000","31,972,000","29,046,000","52,075,000","50,213,000","41,237,000","30,893,000","21,704,000","16,730,000","15,487,000","13,230,000","13,623,000","12,670,000","12,549,741","7,473,027","4,366,840","2,756,915","1,705,514","987,674","1,262,986","44,538","7,740"
			DepreciationAndAmortization,"31,353,000","32,558,000","31,436,000","30,073,000","31,575,000","31,972,000","29,046,000","52,075,000","50,213,000","41,237,000","30,893,000","21,704,000","16,730,000","15,487,000","13,230,000","13,623,000","12,670,000","12,549,741","7,473,027","4,366,840","2,756,915","1,705,514","987,674","1,262,986","44,538","7,740"
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,"435,572","44,538","7,740"
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,"12,549,741","7,473,027","4,366,840",,,,"827,414",,
					AmortizationOfIntangibles,,,,,,,,,,,,,,,,,,"12,549,741","7,473,027","4,366,840",,,,"827,414",,
		DeferredTax,,"835,000","-6,864,000","-2,125,000","447,000","-260,000","409,000","-8,775,000","-7,840,000","-4,448,000","2,341,000","-1,463,000","4,009,000","-1,558,000","-480,000","6,927,000","-23,917,000","-3,601,831","-2,242,970","3,985,914","3,019,605","-488,578","-15,669,987",,,
			DeferredIncomeTax,,"835,000","-6,864,000","-2,125,000","447,000","-260,000","409,000","-8,775,000","-7,840,000","-4,448,000","2,341,000","-1,463,000","4,009,000","-1,558,000","-480,000","6,927,000","-23,917,000","-3,601,831","-2,242,970","3,985,914","3,019,605","-488,578","-15,669,987",,,
		AssetImpairmentCharge,"99,638,000","0","0","86,000","0","0","10,396,000","282,000","0","0",,,"0","0","90,503,000","0","98,243,000",,,,,,,,,
		ProvisionandWriteOffofAssets,"-12,000","-23,000","-27,000","689,000","-739,000","-585,000","1,027,000","991,000","1,546,000","511,000","122,000","-214,000","720,000","-465,000","1,379,000","-278,000",,,,,,,,,,
		StockBasedCompensation,"6,261,000","5,683,000","5,102,000","4,536,000","4,706,000","2,357,000","6,947,000","7,815,000","8,590,000","6,472,000","5,808,000","8,212,000","4,073,000","2,484,000","1,680,000","3,284,000","3,307,000",,,,,,,,,
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,,,,,,"0","0","-144,000","-739,000","-148,000",,,,,,,,,,
		OtherNonCashItems,"100,000",,,,,"100,000","-60,000","-1,640,000",,,,,,,"-3,060,000","-9,587,000","2,312,000","5,183,655","2,772,008","2,160,862","827,501","1,109,141",,,"783,003","137,458"
		ChangeInWorkingCapital,"-31,872,000","33,672,000","-49,736,000","-90,564,000","37,546,000","19,179,000","-10,791,000","-9,277,000","-56,886,000","30,571,000","25,763,000","-27,488,000","-6,469,000","-5,977,000","8,270,000","-23,755,000","24,408,000","-17,254,301","-5,142,072","-8,083,894","-4,904,989","-2,261,289","-6,046,566","9,800,514","-20,556","10,732"
			ChangeInReceivables,"-19,586,000","-3,896,000","7,569,000","4,058,000","-5,824,000","-198,000","-29,075,000","51,380,000","-40,709,000","-2,254,000","10,983,000","-9,588,000","1,505,000","9,893,000","-1,443,000","-14,872,000","8,227,000","-2,176,170","-15,984,448","-9,070,043","1,980,165","-5,321,455","-2,782,931","3,096,832",,
				ChangesInAccountReceivables,"-19,586,000","-3,896,000","7,569,000","4,058,000","-5,824,000","-198,000","-29,075,000","51,380,000","-40,709,000","-2,254,000","10,983,000","-9,588,000","1,505,000","5,089,000","-1,443,000","-14,872,000","3,619,000",,,,,,,,,
