name,03/31/2024,03/31/2023,03/31/2022,03/31/2021,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004,03/31/2003,03/31/2002,03/31/2001,03/31/2000,03/31/1999,03/31/1998,03/31/1997,03/31/1996,03/31/1995,06/30/1994,06/30/1993,06/30/1992,06/30/1991,06/30/1990,06/30/1989
				AllowanceForDoubtfulAccountsReceivable,,,,,"-23,944,000,000","-16,370,000,000","-25,925,000,000","-50,110,000,000","-83,969,000,000","-40,849,000,000","-18,780,000,000","-15,875,000,000","-13,004,000,000","-11,856,000,000",,,,,,,,,,,,,,,,,,,,,,
			LoansReceivable,,,,,,,,,,,,,,"4,136,805,000,000","4,209,496,000,000","3,891,406,000,000","4,301,142,000,000","4,036,641,983,520",,,,,,,,,,,,,,,,,,
			TaxesReceivable,"116,886,000,000","218,704,000,000","163,925,000,000","112,458,000,000","237,609,000,000","84,574,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,"1,149,679,000,000","870,398,000,000","716,558,000,000","688,352,000,000","559,884,000,000","569,762,000,000","489,338,000,000","436,867,000,000","451,406,000,000","420,708,000,000","351,182,000,000","432,693,000,000","408,547,000,000","306,201,000,000","360,379,000,000","332,722,000,000","523,533,000,000","486,244,460,640","3,913,135,652,700","3,450,431,736,220","2,978,628,177,050","2,963,133,366,740","2,523,159,453,360","2,026,079,564,820",,,,,,,,,,,,
			ReceivablesAdjustmentsAllowances,"-32,684,000,000","-41,679,000,000","-40,124,000,000","-31,586,000,000","-23,676,000,000","-16,493,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"4,605,368,000,000","4,255,614,000,000","3,821,356,000,000","2,888,028,000,000","2,533,892,000,000","2,731,040,000,000","2,539,789,000,000","2,388,617,000,000","2,061,511,000,000","2,137,618,000,000","1,894,704,000,000","1,715,786,000,000","1,622,282,000,000","1,304,242,000,000","1,422,373,000,000","1,459,394,000,000","1,825,716,000,000","1,804,064,739,840","1,620,762,736,500","1,307,383,029,120","1,068,598,887,500","1,006,783,459,480","959,342,864,220","891,848,293,440","765,104,794,800","755,984,272,200","727,137,488,175","560,627,818,192","530,809,466,058","480,374,303,619","398,907,317,879","389,720,544,675","421,972,315,263","405,263,098,272","338,325,491,145","334,897,581,150"
			RawMaterials,"1,312,066,000,000","1,407,556,000,000","1,261,303,000,000","788,305,000,000","436,835,000,000","586,006,000,000","551,166,000,000","526,407,000,000","472,464,000,000","501,687,000,000","476,809,000,000","472,651,000,000","419,634,000,000","370,635,000,000","338,101,000,000","331,794,000,000","374,210,000,000","290,427,088,800","221,751,415,800","189,373,230,760","153,044,211,400","132,955,818,940","152,314,619,340","112,616,024,610",,,,,,,,,,,,
			WorkInProcess,"496,471,000,000","530,915,000,000","547,810,000,000","350,308,000,000","482,987,000,000","326,012,000,000","304,929,000,000","309,387,000,000","265,570,000,000","270,113,000,000","258,133,000,000","235,476,000,000","221,036,000,000","218,335,000,000","199,267,000,000","251,670,000,000","239,937,000,000","236,347,561,920","239,877,593,100","179,722,273,360","163,365,312,850","130,950,274,200","112,840,411,710","128,379,745,860",,,,,,,,,,,,
			FinishedGoods,"2,796,831,000,000","2,317,143,000,000","2,012,243,000,000","1,749,415,000,000","1,614,070,000,000","1,819,022,000,000","1,683,694,000,000","1,552,823,000,000","1,323,477,000,000","1,365,818,000,000","1,159,762,000,000","1,007,659,000,000","981,612,000,000","715,272,000,000","885,005,000,000","875,930,000,000","1,211,569,000,000","1,202,120,724,960","1,099,340,883,000","888,853,176,540","707,464,590,300","698,283,489,180","652,321,249,320","612,515,152,890",,,,,,,,,,,,
			OtherInventories,,,,,,,,,,,,,,,,,"74,184,864,960","71,516,934,240","63,206,215,650","46,860,759,820","44,724,772,950","44,593,877,160","41,866,583,850","38,337,370,080",,,,,,,,,,,,
