name,ttm,03/31/2024,03/31/2023,03/31/2022,03/31/2021,03/31/2020,03/31/2019,03/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalRevenue,"10,275,632,000","10,454,667,000","11,612,475,000","11,841,840,000","9,238,830,000","10,488,556,000","10,266,887,000","3,045,446,000","8,394,684,000","11,026,147,000","10,996,393,000","11,881,730,000","11,419,648,000","10,879,855,000","9,459,232,000","7,702,589,000","7,220,286,000","7,642,600,000","7,219,359,000","6,215,794,000","5,654,155,000","5,218,066,000","5,207,459,000","5,083,523,000","5,220,417,000","5,403,123,000","5,551,600,000","5,478,800,000","5,222,200,000","5,137,200,000","5,062,300,000","4,971,700,000","4,320,400,000","3,824,400,000","2,952,400,000","2,612,600,000","2,532,700,000","2,516,100,000","2,573,800,000","1,544,600,000","1,481,200,000"
	OperatingRevenue,"10,275,632,000","10,454,667,000","11,612,475,000","11,841,840,000","9,238,830,000","10,488,556,000","10,266,887,000","3,045,446,000","8,394,684,000","11,026,147,000","10,996,393,000","11,881,730,000","11,419,648,000","10,879,855,000","9,459,232,000","7,702,589,000","7,220,286,000","7,642,600,000","7,219,359,000","6,215,794,000","5,654,155,000","5,218,066,000","5,207,459,000","5,083,523,000","5,220,417,000","5,403,123,000","5,551,600,000","5,478,800,000","5,222,200,000","5,137,200,000","5,062,300,000","4,971,700,000","4,320,400,000","3,824,400,000","2,952,400,000","2,612,600,000","2,532,700,000","2,516,100,000","2,573,800,000","1,544,600,000","1,481,200,000"
CostOfRevenue,"4,947,819,000","5,017,445,000","5,515,796,000","5,386,393,000","4,370,780,000","4,690,520,000","4,656,326,000","1,506,335,000","3,849,248,000","5,589,923,000","5,603,766,000","6,112,880,000","5,931,469,000","5,817,880,000","5,128,602,000","4,105,201,000","4,025,122,000","4,283,680,000","4,080,022,000","3,515,624,000","3,209,312,000","3,067,678,000","3,230,756,000","3,231,697,000","3,518,990,000","3,615,284,000","3,501,600,000","3,425,300,000","3,284,400,000","3,297,700,000","3,409,900,000","3,228,800,000","2,849,100,000","2,495,400,000","1,948,800,000","1,754,500,000","1,662,400,000","1,669,400,000","1,688,200,000","958,900,000","911,100,000"
GrossProfit,"5,327,813,000","5,437,222,000","6,096,679,000","6,455,447,000","4,868,050,000","5,798,036,000","5,610,561,000","1,539,111,000","4,545,436,000","5,436,224,000","5,392,627,000","5,768,850,000","5,488,179,000","5,061,975,000","4,330,630,000","3,597,388,000","3,195,164,000","3,358,920,000","3,139,337,000","2,700,170,000","2,444,843,000","2,150,388,000","1,976,703,000","1,851,826,000","1,701,427,000","1,787,839,000","2,050,000,000","2,053,500,000","1,937,800,000","1,839,500,000","1,652,400,000","1,742,900,000","1,471,300,000","1,329,000,000","1,003,600,000","858,100,000","870,300,000","846,700,000","885,600,000","585,700,000","570,100,000"
OperatingExpense,"4,940,210,000","4,963,718,000","5,033,977,000","4,823,243,000","4,240,058,000","4,547,008,000","4,420,379,000","1,229,046,000","3,662,062,000","3,901,122,000","3,747,799,000","3,970,536,000","3,841,032,000","3,596,708,000","3,085,839,000","2,574,790,000","2,336,394,000","2,419,925,000","2,173,896,000","1,874,026,000","1,676,892,000","1,486,031,000","1,331,814,000","1,229,902,000","1,354,181,000","1,282,281,000","1,397,400,000","1,360,300,000","1,331,900,000","1,282,600,000","1,299,000,000","1,204,100,000","1,039,500,000","899,600,000","699,600,000","608,700,000","557,400,000","525,700,000","527,000,000","322,200,000","287,700,000"
	SellingGeneralAndAdministration,"4,940,210,000","4,963,718,000","5,033,977,000","4,823,243,000","4,240,058,000","4,547,008,000","4,420,379,000","1,229,046,000","3,662,062,000","3,901,122,000","3,747,799,000","3,970,536,000","3,841,032,000","3,596,708,000","3,085,839,000","2,574,790,000","2,336,394,000","2,419,925,000","2,173,896,000","1,874,026,000","1,676,892,000","1,486,031,000","1,331,814,000","1,229,902,000","1,247,000,000","1,282,281,000","1,230,000,000","1,198,900,000","1,175,600,000","1,122,100,000","1,131,300,000","1,045,600,000","913,700,000","791,300,000","608,600,000","510,800,000","466,400,000","455,400,000","456,400,000","278,200,000","247,500,000"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,"173,422,000","167,400,000","161,400,000","156,300,000","160,500,000","167,700,000","158,500,000","125,800,000","108,300,000","91,000,000","97,900,000","91,000,000","70,300,000","70,600,000","44,000,000","40,200,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,"173,422,000","167,400,000","161,400,000","156,300,000","160,500,000","167,700,000","158,500,000","125,800,000","108,300,000","91,000,000","97,900,000","91,000,000","70,300,000","70,600,000","44,000,000","40,200,000"
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,"-73,729,000","-44,276,000",,,"107,181,000",,,,,,,,,,,,,,,,
OperatingIncome,"387,603,000","473,504,000","1,062,702,000","1,632,204,000","627,992,000","1,251,028,000","1,190,182,000","310,065,000","883,374,000","1,535,102,000","1,644,828,000","1,798,314,000","1,647,147,000","1,465,267,000","1,244,791,000","1,022,598,000","858,770,000","938,995,000","965,441,000","826,144,000","767,951,000","664,357,000","644,889,000","621,924,000","347,246,000","505,558,000","652,600,000","693,200,000","605,900,000","556,900,000","353,400,000","538,800,000","431,800,000","429,400,000","304,000,000","249,400,000","312,900,000","321,000,000","358,600,000","263,500,000","282,400,000"
NetNonOperatingInterestIncomeExpense,"-229,366,000","-223,408,000","-164,632,000","-131,463,000","-126,500,000","-72,175,000","-92,730,000","-21,165,000","-88,972,000","-85,546,000","-81,599,000","-79,193,000","-80,632,000","-90,252,000","-72,800,000","-75,402,000","-83,672,000","-87,935,000",,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"19,688,000","21,628,000","9,758,000","5,006,000","9,155,000","19,867,000","15,008,000","3,228,000","13,002,000","9,176,000","7,152,000","6,911,000","4,141,000","3,353,000","4,778,000","2,336,000","2,230,000","6,115,000",,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"249,054,000","245,036,000","174,390,000","136,469,000","135,655,000","92,042,000","107,738,000","24,393,000","101,974,000","94,722,000","88,751,000","86,104,000","84,773,000","93,605,000","77,578,000","77,738,000","85,902,000","94,050,000",,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-627,164,000","-483,781,000","-854,783,000","22,509,000","-45,020,000","-451,645,000","-59,139,000","5,233,000","-6,523,000","-164,840,000","1,028,000","-5,545,000","-4,025,000","46,860,000","-7,248,000","-196,984,000","-120,425,000","-2,969,000","2,941,000","2,359,000","6,121,000","182,000","3,529,000","3,732,000","1,515,000","2,602,000","5,400,000","600,000","29,500,000","14,200,000","8,000,000","-2,900,000","40,800,000","17,500,000","27,700,000","-30,100,000","17,100,000","800,000","15,700,000","9,700,000","11,300,000"
	SpecialIncomeCharges,"-652,566,000","-507,566,000","-735,009,000","-3,645,000","-20,361,000","-382,995,000","0","0","0","-79,644,000","-143,562,000","0",,"0","-7,248,000","-201,738,000","-120,425,000","-2,969,000","2,941,000","2,359,000","6,121,000","182,000","3,529,000","3,732,000","1,515,000","2,602,000","5,400,000","600,000","29,500,000","14,200,000","8,000,000","-2,900,000","40,800,000","17,500,000","27,700,000","-30,100,000","17,100,000","800,000","15,700,000","9,700,000","11,300,000"
		ImpairmentOfCapitalAssets,"652,566,000","507,566,000","735,009,000","0","20,361,000","323,223,000","0","0","0","79,644,000","143,562,000","0",,"0","0","201,738,000","121,953,000","0",,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,"3,645,000",,"59,772,000",,,,,,,,,"7,248,000","-4,754,000","-1,528,000","2,969,000",,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"25,402,000","23,785,000","-119,774,000","26,154,000","-24,659,000","-68,650,000","-59,139,000","5,233,000","-6,523,000","-85,196,000","1,028,000","-5,545,000","-4,025,000","46,860,000","-7,248,000","4,754,000",,,,,,,,,,,,,,,,,,,,,,,,,
