name,ttm,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,02/29/2012,02/28/2011,02/28/2010,02/28/2009,02/29/2008,02/28/2007,02/28/2006,02/28/2005,02/29/2004,02/28/2003,02/28/2002,02/28/2001,02/29/2000,02/28/1999,02/28/1998,02/28/1997,02/29/1996,02/28/1995,02/28/1994,02/28/1993,02/29/1992,02/28/1991,02/28/1990,03/31/1989,03/31/1988,03/31/1987,03/31/1986
TotalRevenue,"42,537,000,000","43,452,000,000","46,298,000,000","51,761,000,000","47,262,000,000","43,638,000,000","42,879,000,000","42,151,000,000","39,403,000,000","39,528,000,000","40,339,000,000","40,611,000,000","45,457,000,000","49,747,000,000","49,243,000,000","45,015,000,000","40,023,000,000","35,934,000,000","30,848,000,000","27,433,000,000","24,548,000,000","20,943,000,000","17,711,000,000","15,189,000,000","12,494,023,000","10,064,646,000","8,337,762,000","7,770,700,000","7,217,400,000","5,079,600,000","3,006,500,000","1,620,000,000","929,700,000","664,800,000","512,900,000","506,700,000","439,000,000","239,500,000","113,100,000"
	OperatingRevenue,"42,537,000,000","43,452,000,000","46,298,000,000","51,761,000,000","47,262,000,000","43,638,000,000","42,879,000,000","42,151,000,000","39,403,000,000","39,528,000,000","40,339,000,000","40,611,000,000","45,457,000,000","49,747,000,000","49,243,000,000","45,015,000,000","40,023,000,000","35,934,000,000","30,848,000,000","27,433,000,000","24,548,000,000","20,943,000,000","17,711,000,000","15,189,000,000","12,494,023,000","10,064,646,000","8,337,762,000","7,770,700,000","7,217,400,000","5,079,600,000","3,006,500,000","1,620,000,000","929,700,000","664,800,000","512,900,000","506,700,000","439,000,000","239,500,000","113,100,000"
CostOfRevenue,"33,054,000,000","33,849,000,000","36,386,000,000","40,121,000,000","36,689,000,000","33,590,000,000","32,918,000,000","32,275,000,000","29,963,000,000","30,337,000,000","31,292,000,000","31,212,000,000","34,473,000,000","37,206,000,000","37,201,000,000","34,017,000,000","30,477,000,000","27,165,000,000","23,122,000,000","20,938,000,000","18,677,000,000","15,998,000,000","13,941,000,000","12,177,000,000","9,991,053,000","8,171,756,000","6,954,490,000","6,644,500,000","6,226,000,000","4,350,600,000","2,527,200,000","1,321,100,000","738,600,000","515,400,000","387,000,000","383,700,000","329,600,000","177,600,000","84,100,000"
GrossProfit,"9,483,000,000","9,603,000,000","9,912,000,000","11,640,000,000","10,573,000,000","10,048,000,000","9,961,000,000","9,876,000,000","9,440,000,000","9,191,000,000","9,047,000,000","9,399,000,000","10,984,000,000","12,541,000,000","12,042,000,000","10,998,000,000","9,546,000,000","8,769,000,000","7,726,000,000","6,495,000,000","5,871,000,000","4,945,000,000","3,770,000,000","3,012,000,000","2,502,970,000","1,892,890,000","1,383,272,000","1,126,200,000","991,400,000","729,000,000","479,300,000","298,900,000","191,100,000","149,400,000","125,900,000","123,000,000","109,400,000","61,900,000","29,000,000"
OperatingExpense,"7,696,000,000","7,876,000,000","7,970,000,000","8,635,000,000","7,928,000,000","7,998,000,000","8,015,000,000","8,023,000,000","7,547,000,000","7,618,000,000","7,592,000,000","8,106,000,000","8,755,000,000","10,029,000,000","9,622,000,000","8,984,000,000","7,385,000,000","6,770,000,000","6,082,000,000","5,053,000,000","4,567,000,000","3,935,000,000","2,862,000,000","2,401,000,000","1,963,711,000","1,541,648,000","1,216,864,000","1,073,000,000","868,900,000","607,100,000","402,100,000","262,900,000","172,300,000","138,500,000","112,700,000","112,900,000","100,400,000","46,500,000","20,700,000"
	SellingGeneralAndAdministration,"7,696,000,000","7,876,000,000","7,970,000,000","8,635,000,000","7,928,000,000","7,998,000,000","8,015,000,000","8,023,000,000","7,547,000,000","7,618,000,000","7,592,000,000","8,106,000,000","8,755,000,000","10,029,000,000","9,622,000,000","8,984,000,000","7,385,000,000","6,770,000,000","6,082,000,000","5,053,000,000","4,567,000,000","3,935,000,000","2,862,000,000","2,401,000,000","1,854,170,000","1,463,281,000","1,145,280,000","1,005,700,000","814,000,000","568,500,000","379,700,000","248,100,000","162,300,000","130,700,000","107,200,000","106,000,000","95,400,000","44,900,000","20,200,000"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,"167,369,000","109,541,000","78,367,000","71,584,000","67,300,000","54,900,000","38,600,000","22,400,000","14,800,000","10,000,000","7,800,000","5,500,000","6,900,000","5,000,000","1,600,000","500,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,"167,369,000","109,541,000","78,367,000","71,584,000","67,300,000","54,900,000","38,600,000","22,400,000","14,800,000","10,000,000","7,800,000","5,500,000","6,900,000","5,000,000","1,600,000","500,000"
	OtherOperatingExpenses,,,,,,,,,,,,,,,,"66,000,000",,,,,,,,"-167,369,000",,,,,,,,,,,,,,,
OperatingIncome,"1,787,000,000","1,727,000,000","1,942,000,000","3,005,000,000","2,645,000,000","2,050,000,000","1,946,000,000","1,853,000,000","1,893,000,000","1,573,000,000","1,455,000,000","1,293,000,000","2,229,000,000","2,512,000,000","2,420,000,000","2,014,000,000","2,161,000,000","1,999,000,000","1,644,000,000","1,442,000,000","1,304,000,000","1,010,000,000","908,000,000","611,000,000","539,259,000","351,242,000","166,408,000","53,200,000","122,500,000","121,900,000","77,200,000","36,000,000","18,800,000","10,900,000","13,200,000","10,100,000","9,000,000","15,400,000","8,300,000"
