name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010
TotalRevenue,"19,985,000,000","20,051,000,000","17,489,000,000","15,618,000,000","13,066,000,000","14,357,000,000","14,435,000,000","12,884,000,000","12,274,000,000","10,864,000,000","15,499,000,000","15,051,000,000","15,519,000,000","16,041,000,000","13,817,000,000"
	OperatingRevenue,"19,985,000,000","20,051,000,000","17,489,000,000","15,618,000,000","13,066,000,000","14,357,000,000","14,435,000,000","12,884,000,000","12,274,000,000","10,864,000,000","15,499,000,000","15,051,000,000","15,519,000,000","16,041,000,000","13,817,000,000"
CostOfRevenue,"16,324,000,000","16,612,000,000","14,854,000,000","13,182,000,000","11,126,000,000","11,711,000,000","11,706,000,000","10,270,000,000","9,527,000,000","8,691,000,000","12,471,000,000","12,274,000,000","12,861,000,000","13,386,000,000","11,768,000,000"
GrossProfit,"3,661,000,000","3,439,000,000","2,635,000,000","2,436,000,000","1,940,000,000","2,646,000,000","2,729,000,000","2,614,000,000","2,747,000,000","2,173,000,000","3,028,000,000","2,777,000,000","2,658,000,000","2,655,000,000","2,049,000,000"
OperatingExpense,"1,733,000,000","1,669,000,000","1,287,000,000","1,223,000,000","1,120,000,000","1,222,000,000","1,147,000,000","1,069,000,000","1,041,000,000","873,000,000","1,130,000,000","1,013,000,000","1,011,000,000","980,000,000","885,000,000"
	SellingGeneralAndAdministration,"1,512,000,000","1,436,000,000","1,138,000,000","1,075,000,000","976,000,000","1,076,000,000","993,000,000","952,000,000","924,000,000","803,000,000","1,036,000,000","916,000,000","927,000,000","901,000,000","815,000,000"
	DepreciationAmortizationDepletionIncomeStatement,"221,000,000","233,000,000","149,000,000","148,000,000","144,000,000","146,000,000","154,000,000","117,000,000","117,000,000","70,000,000","94,000,000","97,000,000","84,000,000","79,000,000","70,000,000"
		DepreciationAndAmortizationInIncomeStatement,"221,000,000","233,000,000","149,000,000","148,000,000","144,000,000","146,000,000","154,000,000","117,000,000","117,000,000","70,000,000","94,000,000","97,000,000","84,000,000","79,000,000","70,000,000"
			Amortization,"221,000,000","233,000,000","149,000,000","148,000,000","144,000,000","146,000,000","154,000,000","117,000,000","117,000,000","70,000,000","94,000,000","97,000,000","84,000,000","79,000,000","70,000,000"
				AmortizationOfIntangiblesIncomeStatement,"221,000,000","233,000,000","149,000,000","148,000,000","144,000,000","146,000,000","154,000,000","117,000,000","117,000,000","70,000,000","94,000,000","97,000,000","84,000,000","79,000,000","70,000,000"
