name,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010,01/31/2009,01/31/2008,01/31/2007,01/31/2006,01/31/2005,01/31/2004,01/31/2003,01/31/2002,01/31/2001,01/31/2000,01/31/1999,01/31/1998,01/31/1997,01/31/1996,01/31/1995,01/31/1994,01/31/1993,01/31/1992,01/31/1991,01/31/1990,01/31/1989,01/31/1988,01/31/1987
TotalAssets,"29,747,000,000","28,349,000,000","28,461,000,000","30,813,555,000","24,145,003,000","14,326,029,000","14,058,015,000","12,883,808,000","11,490,431,000","10,988,750,000","10,201,022,000","9,511,855,000","8,281,605,000","7,971,763,000","7,463,977,000","6,178,242,000","6,599,934,000","6,085,700,000","5,496,305,000","5,075,473,000","4,396,767,000","3,940,489,000","3,595,743,000","2,932,283,000","2,804,963,000","2,747,800,000","2,609,600,000","2,561,200,000","2,745,600,000","1,638,200,000","1,427,400,000","1,305,100,000","1,105,300,000","1,047,300,000","949,100,000","1,461,800,000","564,700,000","504,600,000"
	CurrentAssets,"12,664,000,000","12,456,000,000","13,259,000,000","15,739,337,000","8,890,622,000","8,469,222,000","8,485,727,000","7,750,774,000","6,772,560,000","6,577,444,000","6,067,998,000","5,711,543,000","5,132,632,000","5,099,527,000","4,803,856,000","3,626,129,000","3,992,294,000","3,748,813,000","3,140,127,000","2,905,120,000","2,451,748,000","2,240,540,000","2,115,926,000","1,721,947,000","1,700,565,000","1,743,100,000","1,682,600,000","1,662,300,000","1,686,700,000","1,046,200,000","881,900,000","821,100,000","656,300,000","631,300,000","563,100,000","935,100,000","374,000,000","335,100,000"
		CashCashEquivalentsAndShortTermInvestments,"5,600,000,000","5,477,000,000","6,227,000,000","10,469,570,000","3,216,752,000","3,030,229,000","3,264,642,000","3,473,091,000","2,447,786,000","2,776,398,000","2,444,448,000","2,047,810,000","1,601,803,000","1,818,012,000","1,745,243,000","453,527,000","732,612,000","856,669,000","465,649,000","307,187,000","246,403,000","492,330,000","492,776,000","132,535,000","371,759,000","461,200,000","404,400,000","474,700,000","209,200,000","41,600,000","58,100,000","106,700,000","67,300,000","83,300,000","54,300,000","122,700,000","54,900,000","16,400,000"
			CashAndCashEquivalents,"5,600,000,000","5,477,000,000","6,227,000,000","10,469,570,000","3,216,752,000","3,030,229,000","2,758,477,000","2,929,849,000","2,095,473,000","2,493,775,000","2,149,746,000","1,811,957,000","1,507,112,000","1,741,751,000","1,614,607,000","453,527,000","732,612,000","856,669,000","465,649,000","307,187,000","246,403,000","492,330,000","492,776,000","132,535,000","371,759,000","461,200,000","404,400,000","474,700,000","209,200,000","41,600,000","58,100,000","106,700,000","67,300,000","83,300,000","54,300,000","122,700,000","54,900,000","16,400,000"
			OtherShortTermInvestments,,,,,,"0","506,165,000","543,242,000","352,313,000","282,623,000","294,702,000","235,853,000","94,691,000","76,261,000","130,636,000","0",,,,,,,,,,,,,,,,,,,,,,
		Receivables,"588,000,000","682,000,000","633,000,000","497,401,000","433,230,000","346,298,000","327,166,000","258,831,000","238,072,000","226,299,000","210,094,000","222,788,000","204,304,000","200,147,000","148,126,000","143,500,000","143,289,000","115,245,000","140,747,000","119,611,000","90,902,000","75,515,000","69,209,000","61,845,000","55,461,000","67,300,000","60,700,000","57,300,000","98,400,000","43,400,000","30,600,000","24,100,000","21,800,000","20,900,000","14,600,000","249,800,000","9,200,000","6,200,000"
			AccountsReceivable,"529,000,000","563,000,000","518,000,000","461,139,000","386,261,000","346,298,000","327,166,000","258,831,000","238,072,000","213,824,000","210,094,000","222,788,000","204,304,000","200,147,000","148,126,000","143,500,000","143,289,000","115,245,000","140,747,000","119,611,000","90,902,000","75,515,000","69,209,000","61,845,000",,,,,,,,,,,,,,
			TaxesReceivable,"59,000,000","119,000,000","115,000,000","36,262,000","46,969,000",,,,"11,059,000","12,475,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"5,965,000,000","5,819,000,000","5,962,000,000","4,337,389,000","4,872,592,000","4,579,033,000","4,187,243,000","3,644,959,000","3,695,113,000","3,217,923,000","2,966,490,000","3,014,214,000","2,950,523,000","2,765,464,000","2,532,318,000","2,619,336,000","2,737,378,000","2,581,969,000","2,365,861,000","2,352,032,000","1,941,698,000","1,563,450,000","1,456,976,000","1,452,877,000","1,229,587,000","1,186,000,000","1,190,200,000","1,059,500,000","1,343,900,000","937,700,000","772,300,000","672,400,000","552,500,000","513,900,000","466,700,000","420,400,000","299,000,000","306,100,000"
			FinishedGoods,"5,965,000,000","5,819,000,000","5,962,000,000","4,337,389,000","4,872,592,000","4,579,033,000","4,187,243,000","3,644,959,000","3,695,113,000","3,217,923,000","2,966,490,000","3,014,214,000","2,950,523,000",,,,,,,,,,,,,,,,,,,,,,,,,
