name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,08/31/1992,08/31/1991,08/31/1990,08/31/1989,08/31/1988,08/31/1987,08/31/1986,08/31/1985
			CommonStock,"287,000","285,000","284,000","282,000","281,000","280,000","277,000","274,000","270,000","265,000","261,000","254,000","248,000","247,000","246,000","241,000","241,000","238,000","236,000","228,000","124,000","121,000","118,000","118,000","100,000","100,000",,,,,,,,,,,,,,
		AdditionalPaidInCapital,"245,659,000","234,956,000","220,459,000","227,407,000","212,485,000","203,246,000","203,990,000","185,981,000","166,566,000","147,186,000","126,360,000","100,412,000","84,389,000","79,986,000","74,239,000","64,954,000","60,919,000","53,973,000","47,655,000","35,811,000","32,691,000","28,568,000","25,079,000","24,967,000","25,000,000","22,900,000",,,,,,,,,,,,,,
		RetainedEarnings,"1,177,034,000","1,221,279,000","930,795,000","731,710,000","644,945,000","563,496,000","475,506,000","395,279,000","301,206,000","276,914,000","216,459,000","213,046,000","222,126,000","192,067,000","197,430,000","221,483,000","209,805,000","170,038,000","139,015,000","105,413,000","80,305,000","60,882,000","75,480,000","66,546,000","65,000,000","47,800,000","32,600,000","20,600,000","7,200,000","-600,000","-6,100,000","-11,700,000","-13,300,000","-17,100,000","-18,700,000","-5,300,000","-4,000,000","-4,200,000","-5,800,000","-4,400,000"
		TreasuryStock,"82,216,000","82,216,000","58,162,000","58,162,000","58,162,000","58,162,000","29,467,000","29,467,000","29,467,000","29,467,000","29,467,000","29,467,000","29,467,000","28,841,000","27,800,000","27,800,000","19,467,000","19,467,000","19,467,000","19,467,000","19,467,000","19,467,000","19,467,000","19,467,000","6,000,000","2,100,000",,,,,,,,,,,,,,
		GainsLossesNotAffectingRetainedEarnings,"14,272,000","6,704,000","-501,000","7,089,000","1,123,000","-2,605,000","2,439,000","-1,798,000","0",,,,,,,,"38,000","106,000","270,000","59,000",,,,,,,,,,,,,,,,,,,,
			OtherEquityAdjustments,"14,272,000","6,704,000","-501,000","7,089,000","1,123,000","-2,605,000","2,439,000","-1,798,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherEquityInterest,,,,,,,,,,,,,,,,,,,,,,,,,,"100,000","19,400,000","14,200,000","8,800,000","8,700,000","28,500,000","27,500,000","27,500,000","27,500,000","27,400,000","27,500,000","27,700,000","27,700,000","29,600,000","29,800,000"
TotalCapitalization,"2,201,870,000","2,476,896,000","2,324,834,000","1,628,744,000","1,413,578,000","999,783,000","702,669,000","600,218,000","488,485,000","410,548,000","313,613,000","284,245,000","277,296,000","243,459,000","244,115,000","261,728,000","269,917,000","250,854,000","229,802,000","181,347,000","118,478,000","108,916,000","124,901,000","130,240,000","128,700,000","126,700,000","106,800,000","38,500,000","16,000,000","12,000,000","35,900,000","28,200,000","28,400,000","23,900,000","19,700,000","38,500,000","34,600,000","34,100,000","31,100,000","33,500,000"
CommonStockEquity,"1,355,036,000","1,381,008,000","1,092,875,000","908,326,000","800,672,000","706,255,000","652,745,000","550,269,000","438,575,000","394,898,000","313,613,000","284,245,000","277,296,000","243,459,000","244,115,000","258,878,000","251,536,000","204,888,000","167,709,000","122,044,000","93,653,000","70,104,000","81,210,000","72,164,000","84,100,000","68,800,000","52,000,000","34,800,000","16,000,000","8,100,000","22,400,000","15,800,000","14,200,000","10,400,000","8,700,000","22,200,000","23,700,000","23,500,000","23,800,000","25,400,000"
CapitalLeaseObligations,"258,949,000","257,925,000","174,028,000","108,139,000","101,541,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetTangibleAssets,"316,727,000","310,625,000","29,738,000","32,713,000","108,132,000","349,745,000","398,430,000","348,128,000","254,021,000","231,418,000","232,676,000","193,850,000","177,738,000","178,543,000","204,944,000","171,978,000","179,411,000","145,743,000","134,939,000","99,219,000","76,367,000","62,247,000","41,834,000","34,924,000","38,000,000","20,900,000","7,800,000","23,200,000","15,700,000","7,900,000","16,800,000","10,000,000","8,300,000","4,300,000","2,400,000","10,400,000","12,700,000","11,900,000","16,300,000","17,300,000"
WorkingCapital,"721,878,000","969,476,000","939,669,000","453,407,000","399,533,000","349,069,000","235,066,000","218,043,000","146,964,000","100,451,000","107,339,000","84,243,000","85,657,000","97,791,000","113,744,000","84,378,000","89,861,000","61,979,000","76,146,000","57,204,000","29,700,000","24,067,000","12,816,000","22,367,000","29,000,000","31,600,000","24,000,000","16,100,000","8,800,000","6,000,000","13,700,000","11,800,000","13,200,000","10,000,000","7,100,000","16,800,000","13,900,000","10,500,000","13,700,000","13,300,000"
InvestedCapital,"2,202,459,000","2,499,982,000","2,395,837,000","1,646,575,000","1,431,461,000","1,000,379,000","702,669,000","600,218,000","488,485,000","410,548,000","313,613,000","284,245,000","277,296,000","243,459,000","244,115,000","267,561,000","278,798,000","260,568,000","240,942,000","193,468,000","128,409,000","118,909,000","134,531,000","139,107,000","130,400,000","127,500,000","107,400,000","38,800,000","16,100,000","12,700,000","36,300,000","28,900,000","29,100,000","26,100,000","28,800,000","47,200,000","42,600,000","44,200,000","33,300,000","42,900,000"
TangibleBookValue,"316,727,000","310,625,000","29,738,000","32,713,000","108,132,000","349,745,000","398,430,000","348,128,000","254,021,000","231,418,000","232,676,000","193,850,000","177,738,000","178,543,000","204,944,000","171,978,000","179,411,000","145,743,000","134,939,000","99,219,000","76,367,000","62,247,000","41,834,000","34,924,000","38,000,000","20,900,000","7,800,000","23,200,000","15,700,000","7,900,000","16,800,000","10,000,000","8,300,000","4,300,000","2,400,000","10,400,000","12,700,000","11,900,000","16,300,000","17,300,000"
TotalDebt,"1,106,372,000","1,376,899,000","1,476,990,000","846,388,000","732,330,000","294,124,000","49,924,000","49,949,000","49,910,000","15,650,000",,,,,,"8,683,000","27,262,000","55,680,000","73,233,000","71,424,000","34,756,000","48,805,000","53,321,000","66,943,000","46,300,000","58,700,000","55,400,000","4,000,000","100,000","4,600,000","13,900,000","13,100,000","14,900,000","15,700,000","20,100,000","25,000,000","18,900,000","20,700,000","9,500,000","17,500,000"
NetDebt,"781,266,000","1,071,475,000","1,240,066,000","686,428,000","595,430,000","279,196,000","23,875,000",,"37,605,000","15,646,000",,,,,,,,"48,895,000","68,148,000","69,000,000","25,975,000","48,489,000","52,130,000","66,393,000","41,200,000","56,000,000","54,400,000","2,500,000",,"4,100,000","13,600,000","12,800,000","14,800,000","15,700,000","20,000,000","24,100,000","18,100,000","18,300,000","7,700,000","15,900,000"
ShareIssued,"28,667,000","28,519,000","28,360,000","28,243,000","28,133,000","27,948,000","27,674,000","27,434,000","27,039,000","26,534,000","26,058,000","25,376,000","24,826,000","24,674,581","24,561,358","24,088,454","21,938,329","21,683,720","21,476,468","20,621,056","20,407,686","19,736,326","19,341,506","19,312,858","22,594,000","22,676,000","22,726,000","21,446,000","19,840,000","19,728,000","19,364,000","18,704,000","18,692,000","18,652,000","18,652,000","18,680,000","18,768,000","18,776,000","17,416,000","15,960,000"
OrdinarySharesNumber,"25,326,000","25,178,000","25,273,000","25,156,000","25,046,000","24,861,000","24,990,000","24,750,000","24,355,000","23,850,000","23,374,000","22,692,000","22,142,000","22,023,977","21,964,633","21,491,729","21,938,329","21,683,720","21,476,468","20,621,056","20,407,686","19,736,326","19,341,506","19,312,858","22,594,000","22,676,000","22,726,000","21,446,000","19,840,000","19,728,000","19,364,000","18,704,000","18,692,000","18,652,000","18,652,000","18,680,000","18,768,000","18,776,000","17,416,000","15,960,000"
TreasurySharesNumber,"3,341,000","3,341,000","3,087,000","3,087,000","3,087,000","3,087,000","2,684,000","2,684,000","2,684,000","2,684,000","2,684,000","2,684,000","2,684,000","2,650,604","2,596,725","2,596,725",,,,,,,,,,,,,,,,,,,,,,,,
