name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
		NonCurrentDeferredLiabilities,"89,109,000","98,623,000","141,765,000","149,422,000","37,814,000","342,551,000","317,312,000","307,871,000","284,267,000","240,975,000","248,173,000","216,004,000","207,665,000","174,192,000","145,258,000","116,872,000","79,675,000","18,681,000",,,,,
			NonCurrentDeferredTaxesLiabilities,"89,109,000","98,623,000","141,765,000","149,422,000","37,814,000","11,566,000","814,000","18,944,000","32,305,000","21,561,000","55,434,000","48,947,000","64,381,000","50,525,000","38,863,000","29,863,000","16,483,000","18,681,000",,,,,
			NonCurrentDeferredRevenue,,,,,,,,,,,,,"143,284,000","123,667,000","106,395,000","87,009,000","63,192,000",,,,,,
		OtherNonCurrentLiabilities,"58,870,000","43,816,000","38,536,000","38,844,000","38,797,000","31,638,000","40,042,000","33,946,000","32,883,000","28,263,000","23,591,000","19,885,000","12,435,000","13,486,000","6,851,000","4,857,000","3,069,000","50,369,000",,,,,
TotalEquityGrossMinorityInterest,"3,062,207,000","2,368,023,000","2,297,374,000","2,020,135,000","1,683,026,000","1,441,339,000","1,364,445,000","1,402,493,000","2,127,974,000","2,012,369,000","1,538,288,000","1,245,926,000","1,044,226,000","810,873,000","703,461,000","622,590,000","562,110,000","473,957,000","309,354,000","262,566,000","191,508,000","161,254,000","123,697,000"
	StockholdersEquity,"3,062,207,000","2,368,023,000","2,297,374,000","2,020,135,000","1,683,026,000","1,441,339,000","1,364,445,000","1,402,493,000","2,127,974,000","2,012,369,000","1,538,288,000","1,245,926,000","1,044,226,000","810,873,000","703,461,000","622,590,000","562,110,000","473,957,000","309,354,000","262,566,000","191,508,000","161,254,000","123,697,000"
		CapitalStock,"375,000","373,000","371,000","367,000","363,000","360,000","359,000","358,000","358,000","354,000","352,000","349,000","344,000","340,000","335,000","329,000","328,000","325,000","263,000","788,000",,,
			PreferredStock,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,"204,000",,,
			CommonStock,"375,000","373,000","371,000","367,000","363,000","360,000","359,000","358,000","358,000","354,000","352,000","349,000","344,000","340,000","335,000","329,000","328,000","325,000","263,000","584,000",,,
		AdditionalPaidInCapital,"1,956,160,000","1,829,304,000","1,729,312,000","1,549,909,000","1,465,697,000","1,374,154,000","1,305,090,000","1,238,875,000","1,172,628,000","1,038,932,000","919,840,000","816,612,000","676,652,000","594,331,000","539,880,000","501,993,000","489,296,000","470,653,000","375,728,000","383,901,000",,,
