name,ttm,06/30/2024,06/30/2023,06/30/2022,04/30/2021,04/30/2020,04/30/2019,04/30/2018,04/30/2017,04/30/2016,04/30/2015,04/30/2014,04/30/2013,04/30/2012,04/30/2011,04/30/2010,04/30/2009,04/30/2008,04/30/2007,04/30/2006,04/30/2005,04/30/2004,04/30/2003,04/30/2002,04/30/2001,04/30/2000,04/30/1999,04/30/1998,04/30/1997,04/30/1996,04/30/1995,04/30/1994,04/30/1993,04/30/1992,04/30/1991,04/30/1990,04/30/1989
				LongTermDebtPayments,"-1,025,000,000","-1,025,000,000","-970,000,000","-500,000,000","-650,000,000","0","0","-830,000,000","0","0","-400,000,000","0","-636,621,000","-25,000,000","-50,000,000","-4,267,773,000","-4,762,294,000","-9,055,426,000",,,,,,,,,,,,,,,,,,,
			NetShortTermDebtIssuance,,,"0","0","-2,000,000,000","2,000,000,000","0","0","0","0","0","0","0","0","0","17,539,000","0","-992,082,000",,,,,,,,,,,,,,,,,,,
				ShortTermDebtIssuance,,,"970,000,000","705,000,000","1,275,000,000","3,335,000,000","720,000,000","830,000,000","1,700,000,000","1,465,000,000","1,049,136,000","316,000,000","1,214,238,000","664,167,000","4,818,766,000","1,406,013,000","0","4,133,197,000",,,,,,,,,,,,,,,,,,,
				ShortTermDebtPayments,,,"-970,000,000","-705,000,000","-3,275,000,000","-1,335,000,000","-720,000,000","-830,000,000","-1,700,000,000","-1,465,000,000","-1,049,136,000","-316,000,000","-1,214,238,000","-664,167,000","-4,818,766,000","-1,388,474,000","0","-5,125,279,000",,,,,,,,,,,,,,,,,,,
		NetCommonStockIssuance,"-379,569,000","-379,569,000","-568,952,000","-563,174,000","-191,294,000","-256,214,000","-189,912,000","-9,147,000","-322,850,000","-2,018,338,000","-10,449,000","-6,106,000","-340,413,000","-180,592,000","-283,534,000","-254,250,000","35,226,000","-7,280,000","-163,099,000","-151,805,000","-393,920,000","-399,906,000","-191,245,000","-267,705,000","-203,345,000","-13,696,000","-412,984,000","40,530,000","3,439,000","460,094,000","-56,903,000","-18,600,000","-32,600,000","-30,700,000","6,400,000","-1,100,000","15,600,000"
			CommonStockIssuance,,,,,,,,,,,,,,,"0","0","141,415,000","0","25,703,000","108,507,000","136,102,000","119,956,000","126,325,000","195,233,000","19,550,000","36,958,000","79,961,000","58,881,000","3,439,000","531,991,000","57,997,000","50,300,000","62,200,000","55,800,000","30,600,000","37,700,000","15,600,000"
			CommonStockPayments,"-379,569,000","-379,569,000","-568,952,000","-563,174,000","-191,294,000","-256,214,000","-189,912,000","-9,147,000","-322,850,000","-2,018,338,000","-10,449,000","-6,106,000","-340,413,000","-180,592,000","-283,534,000","-254,250,000","-106,189,000","-7,280,000","-188,802,000","-260,312,000","-530,022,000","-519,862,000","-317,570,000","-462,938,000","-222,895,000","-50,654,000","-492,945,000","-18,351,000",,"-71,897,000","-114,900,000","-68,900,000","-94,800,000","-86,500,000","-24,200,000","-38,800,000",
		CashDividendsPaid,"-179,775,000","-179,775,000","-177,925,000","-186,476,000","-195,068,000","-204,870,000","-205,461,000","-200,469,000","-187,115,000","-201,688,000","-219,960,000","-218,980,000","-217,201,000","-208,801,000","-186,802,000","-200,899,000","-198,685,000","-183,628,000","-171,966,000","-160,031,000","-142,988,000","-138,397,000","-125,898,000","-115,725,000","-108,374,000","-105,480,000","-95,004,000","-83,635,000","-107,988,000","-131,263,000","-128,838,000","-115,500,000","-103,500,000","-91,800,000","-79,000,000","-64,500,000","-51,600,000"
			CommonStockDividendPaid,,,,"-186,476,000","-195,068,000","-204,870,000","-205,461,000","-200,469,000","-187,115,000","-201,688,000","-219,960,000","-218,980,000","-217,201,000","-208,801,000","-186,802,000",,,,,,,,,,,,,,,,,,,,,,
		ProceedsFromStockOptionExercised,,,"3,383,000","6,334,000","2,140,000","2,075,000","2,532,000","28,340,000","2,371,000","25,775,000","16,522,000","28,246,000","25,139,000","12,275,000","424,000","16,682,000","71,594,000","23,322,000",,,,,,,,,,,,,,,,,,,
