name,03/31/2024,03/31/2023,03/31/2022,03/31/2021,03/31/2020,03/31/2019,03/31/2018,03/31/2017,02/29/2016,02/28/2015,02/28/2014,02/28/2013,02/29/2012
				TotalTaxPayable,"280,000","1,318,000","21,082,000","22,463,000","12,509,000","15,100,000","17,426,000","13,824,000","9,655,000","10,691,000","11,423,000","11,201,000","821,000"
					IncomeTaxPayable,"280,000","1,318,000","6,026,000","6,803,000","0","2,851,000","4,580,000","2,738,000","0","2,188,000","3,474,000","2,650,000","821,000"
			CurrentAccruedExpenses,"55,691,000","58,973,000","51,345,000","51,388,000","40,561,000","39,288,000","41,463,000","36,546,000","39,562,000","36,083,000","36,651,000","36,958,000","38,738,000"
				InterestPayable,"215,000","189,000","121,000","95,000","1,483,000","209,000","292,000","143,000","2,270,000","2,333,000","2,481,000","3,514,000",
		CurrentDebtAndCapitalLeaseObligation,"62,858,000","61,687,000","56,426,000","53,013,000","78,478,000","17,409,000","12,876,000","10,212,000","10,478,000","12,073,000","26,366,000","22,505,000","18,665,000"
			CurrentDebt,"2,166,000","4,486,000","3,886,000","2,166,000","16,002,000","12,527,000","7,771,000","5,445,000","6,094,000","8,153,000","23,560,000","22,505,000","18,665,000"
				LineOfCredit,"0","2,423,000","1,790,000","0","9,050,000","5,511,000","0","0","721,000","2,834,000","16,033,000","13,482,000","11,060,000"
				OtherCurrentBorrowings,"2,166,000","2,063,000","2,096,000","2,166,000","6,952,000","7,016,000","7,771,000","5,445,000","5,373,000","5,319,000","7,527,000","9,023,000","7,605,000"
			CurrentCapitalLeaseObligation,"60,692,000","57,201,000","52,540,000","50,847,000","62,476,000","4,882,000","5,105,000","4,767,000","4,384,000","3,920,000","2,806,000",,
		CurrentDeferredLiabilities,"14,385,000","15,700,000","22,603,000","19,503,000","12,976,000","10,744,000","11,080,000","7,708,000","16,034,000","11,385,000","11,367,000","6,296,000",
			CurrentDeferredTaxesLiabilities,,,,,,,,,,"0","29,000","0",
			CurrentDeferredRevenue,"14,385,000","15,700,000","22,603,000","19,503,000","12,976,000","10,744,000","11,080,000","7,708,000","16,034,000","11,385,000","11,338,000","6,296,000",
	TotalNonCurrentLiabilitiesNetMinorityInterest,"583,587,000","532,674,000","533,966,000","509,887,000","696,935,000","342,776,000","374,125,000","426,992,000","435,048,000","448,059,000","450,874,000","394,145,000","408,258,000"
