name,ttm,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2002,01/31/2001,01/31/2000,01/31/1999,01/31/1998,01/31/1997,01/31/1996,01/31/1995,01/31/1994,01/31/1993,01/31/1992,01/31/1991,01/31/1990,01/31/1989,01/31/1988,01/31/1987,01/31/1986
TotalRevenue,"1,442,231,000","1,472,508,000","1,555,429,000","1,636,624,000","1,427,448,000","1,450,201,000","1,451,592,000","1,406,677,000","1,335,760,000","1,419,778,000","1,555,353,000","1,562,876,000","1,585,927,000","1,725,627,000","1,569,062,000","1,462,283,000","1,319,823,000","1,371,375,000","1,263,629,000","1,118,700,000","1,031,500,000","992,100,000","870,000,000","733,600,000","682,900,000","604,000,000","545,200,000","455,800,000","336,300,000","265,100,000","227,200,000"
	OperatingRevenue,"1,442,231,000","1,472,508,000","1,555,429,000","1,636,624,000","1,427,448,000","1,450,201,000","1,451,592,000","1,406,677,000","1,335,760,000","1,419,778,000","1,555,353,000","1,562,876,000","1,585,927,000","1,725,627,000","1,569,062,000","1,462,283,000","1,319,823,000","1,371,375,000","1,263,629,000","1,118,700,000","1,031,500,000","992,100,000","870,000,000","733,600,000","682,900,000","604,000,000","545,200,000","455,800,000","336,300,000","265,100,000","227,200,000"
CostOfRevenue,"803,373,000","846,981,000","961,663,000","945,164,000","821,595,000","828,309,000","835,536,000","809,474,000","759,352,000","767,189,000","819,422,000","852,539,000","881,817,000","959,611,000","880,236,000","817,172,000","706,576,000","735,930,000","660,011,000","595,600,000","575,500,000","558,300,000","504,200,000","419,100,000","387,300,000","350,300,000","308,300,000","257,800,000","187,100,000","150,400,000","133,800,000"
GrossProfit,"638,858,000","625,527,000","593,766,000","691,460,000","605,853,000","621,892,000","616,056,000","597,203,000","576,408,000","652,589,000","735,931,000","710,337,000","704,110,000","766,016,000","688,826,000","645,111,000","613,247,000","635,445,000","603,618,000","523,100,000","456,000,000","433,800,000","365,800,000","314,500,000","295,600,000","253,700,000","236,900,000","198,000,000","149,200,000","114,700,000","93,400,000"
OperatingExpense,"620,672,000","596,342,000","569,041,000","611,674,000","564,711,000","576,455,000","573,457,000","568,118,000","556,039,000","559,373,000","596,288,000","581,996,000","622,107,000","644,208,000","575,662,000","590,100,000","536,090,000","563,177,000","505,050,000","438,000,000","405,000,000","373,900,000","295,300,000","259,000,000","246,400,000","229,100,000","190,200,000","147,400,000","110,900,000","86,100,000","71,500,000"
	SellingGeneralAndAdministration,"570,742,000","550,211,000","527,374,000","571,767,000","518,897,000","543,962,000","545,590,000","538,939,000","536,576,000","545,301,000","573,335,000","560,327,000","598,916,000","621,020,000","575,662,000","560,019,000","515,375,000","544,446,000","489,923,000","424,400,000","392,500,000","360,100,000","287,000,000","251,100,000","239,000,000","222,100,000","184,900,000","143,500,000","107,700,000","83,500,000","69,600,000"
	DepreciationAmortizationDepletionIncomeStatement,"37,318,000","38,465,000","38,741,000","39,166,000","37,343,000","31,136,000","27,558,000","24,910,000","19,003,000","17,399,000","19,703,000","21,599,000","23,121,000","22,686,000","26,946,000","23,432,000","20,715,000","18,731,000","15,127,000","13,600,000","12,500,000","10,300,000","8,300,000","7,900,000","7,400,000","7,000,000","5,300,000","3,900,000","3,200,000","2,600,000","1,900,000"
		DepreciationAndAmortizationInIncomeStatement,"37,318,000","38,465,000","38,741,000","39,166,000","37,343,000","31,136,000","27,558,000","24,910,000","19,003,000","17,399,000","19,703,000","21,599,000","23,121,000","22,686,000","26,946,000","23,432,000","20,715,000","18,731,000","15,127,000","13,600,000","12,500,000","10,300,000","8,300,000","7,900,000","7,400,000","7,000,000","5,300,000","3,900,000","3,200,000","2,600,000","1,900,000"
			DepreciationIncomeStatement,,,,,,,,,,,,,,,"26,946,000","23,432,000","20,715,000","18,731,000","15,127,000","13,600,000","12,500,000","10,300,000","8,300,000","7,900,000","7,400,000","7,000,000","5,300,000","3,900,000","3,200,000","2,600,000","1,900,000"
	OtherTaxes,,,,,,,,,,,,,,,,,,,,,,"3,500,000",,,,,,,,,
	OtherOperatingExpenses,"12,612,000","7,666,000","2,926,000","741,000","8,471,000","1,357,000","309,000","4,269,000","460,000","-3,327,000","3,250,000","70,000","70,000","502,000","-26,946,000","6,649,000",,,,,,,,,,,,,,,
OperatingIncome,"18,186,000","29,185,000","24,725,000","79,786,000","41,142,000","45,437,000","42,599,000","29,085,000","20,369,000","93,216,000","139,643,000","128,341,000","82,003,000","121,808,000","113,164,000","55,011,000","77,157,000","72,268,000","98,568,000","85,100,000","51,000,000","59,900,000","70,500,000","55,500,000","49,200,000","24,600,000","46,700,000","50,600,000","38,300,000","28,600,000","21,900,000"
NetNonOperatingInterestIncomeExpense,"-44,767,000","-48,291,000","-39,768,000","-34,445,000","-27,754,000","-25,987,000","-28,909,000","-25,929,000","-24,630,000","-24,826,000","-20,494,000",,"0",,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"44,767,000","48,291,000","39,768,000","34,445,000","27,754,000","25,987,000","28,909,000","25,929,000","24,630,000","24,826,000","20,494,000",,"0",,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-112,895,000","-112,711,000","364,000","628,000","-796,000","1,912,000","-4,059,000","-2,708,000","-174,619,000","-97,629,000","1,408,000","50,000","67,000","95,000","-5,406,000","-7,381,000","-3,453,000","-15,050,000","3,527,000","200,000","2,600,000","1,600,000","300,000","-200,000","-100,000","1,400,000","2,000,000","2,700,000","1,400,000","1,300,000","1,300,000"
	SpecialIncomeCharges,,"-113,366,000","0","0",,,"0","0","-173,000,000","-98,300,000","0",,,,"-5,406,000","-7,381,000","-3,453,000","-15,050,000","3,527,000","200,000","2,600,000","1,600,000","300,000","-200,000","-100,000","1,400,000","2,000,000","2,700,000","1,400,000","1,300,000","1,300,000"
		ImpairmentOfCapitalAssets,,"106,700,000","0","0",,,"0","0","173,000,000","98,300,000","0",,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,"6,666,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
