name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016
			OtherEquityAdjustments,"19,000,000","38,000,000","-17,000,000","-52,000,000","-27,000,000","-8,000,000","5,000,000",
		OtherEquityInterest,,,,,,,"1,257,000,000",
TotalCapitalization,"2,910,000,000","3,019,000,000","3,152,000,000","3,539,000,000","3,313,000,000","3,538,000,000","1,343,000,000","1,182,000,000"
CommonStockEquity,"746,000,000","962,000,000","1,089,000,000","963,000,000","1,212,000,000","1,418,000,000","1,262,000,000","1,111,000,000"
CapitalLeaseObligations,"4,000,000","4,000,000","4,000,000","4,000,000","5,000,000","0",,
NetTangibleAssets,"-2,358,000,000","-2,170,000,000","-2,111,000,000","-2,277,000,000","-2,273,000,000","-2,116,000,000","-104,000,000","-148,000,000"
WorkingCapital,"-86,000,000","139,000,000","323,000,000","554,000,000","37,000,000","158,000,000","-77,000,000","-117,000,000"
InvestedCapital,"2,947,000,000","3,039,000,000","3,173,000,000","3,560,000,000","3,334,000,000","3,559,000,000","1,446,000,000","1,285,000,000"
TangibleBookValue,"-2,358,000,000","-2,170,000,000","-2,111,000,000","-2,277,000,000","-2,273,000,000","-2,116,000,000","-104,000,000","-148,000,000"
TotalDebt,"2,205,000,000","2,081,000,000","2,088,000,000","2,601,000,000","2,127,000,000","2,141,000,000","184,000,000","174,000,000"
NetDebt,"2,135,000,000","1,916,000,000","1,913,000,000","2,104,000,000","2,028,000,000","1,775,000,000","127,000,000","146,000,000"
ShareIssued,"102,100,000","101,600,000","101,300,000","100,800,000","100,600,000","100,360,236","99,782,991","99,782,991"
OrdinarySharesNumber,"81,400,000","86,400,000","92,300,000","93,100,000","93,800,000","98,091,067","99,782,991","99,782,991"
TreasurySharesNumber,"20,700,000","15,200,000","9,000,000","7,700,000","6,800,000","2,269,169",,
