name,ttm,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011
OperatingCashFlow,"1,048,715,000","868,735,000","596,385,000","833,159,000","219,181,000","891,725,000","639,653,000","607,250,000","615,916,000","339,402,000","302,335,000","289,351,000","452,509,000","249,983,000","208,704,000"
	CashFlowFromContinuingOperatingActivities,"1,048,715,000","868,735,000","596,385,000","833,159,000","219,181,000","891,725,000","639,653,000","607,250,000","615,916,000","339,402,000","302,335,000","289,351,000","452,509,000","249,983,000","208,704,000"
		NetIncomeFromContinuingOperations,"428,283,000","339,649,000","230,123,000","408,839,000","-216,499,000","465,116,000","414,745,000","384,852,000","215,873,000","150,482,000","65,955,000","16,150,000","25,301,000","-6,272,000","30,998,000"
		OperatingGainsLosses,,"38,274,000","14,657,000","156,020,000","202,000",,"1,823,000","2,881,000","3,805,000","649,000","28,051,000","11,506,000","4,455,000","21,861,000","6,799,000"
			GainLossOnSaleOfPPE,,,,,,,,,,,"897,000","1,157,000","2,233,000","2,261,000","1,539,000"
			GainLossOnInvestmentSecurities,,,,,,,,,,,,"68,000","45,000","3,165,000","5,260,000"
		DepreciationAmortizationDepletion,"332,026,000","307,064,000","270,398,000","249,217,000","220,390,000","210,720,000","217,884,000","201,103,000","183,586,000","172,099,000","167,580,000","168,195,000","166,786,000","153,070,000","146,759,000"
			DepreciationAndAmortization,"332,026,000","307,064,000","270,398,000","249,217,000","220,390,000","210,720,000","217,884,000","201,103,000","183,586,000","172,099,000","167,580,000","168,195,000","166,786,000","153,070,000","146,759,000"
		DeferredTax,"21,493,000","20,663,000","-25,431,000","51,952,000","-24,959,000","9,070,000","2,519,000","-30,727,000","-2,919,000","5,909,000","-30,940,000","-17,973,000","-6,536,000","-701,000","886,000"
			DeferredIncomeTax,"21,493,000","20,663,000","-25,431,000","51,952,000","-24,959,000","9,070,000","2,519,000","-30,727,000","-2,919,000","5,909,000","-30,940,000","-17,973,000","-6,536,000","-701,000","886,000"
		AmortizationOfSecurities,"17,088,000",,,,,"813,000","754,000","1,048,000","942,000","809,000","1,579,000","2,998,000",,,
		AssetImpairmentCharge,"9,025,000","6,367,000","21,402,000","7,748,000","6,012,000","4,315,000","6,844,000","2,127,000","2,450,000","6,111,000","2,579,000","3,180,000","11,539,000","1,735,000","2,080,000"
		ProvisionandWriteOffofAssets,,,,,,,,,,,,"304,000","115,000","1,211,000","2,098,000"
		StockBasedCompensation,"91,686,000","83,948,000","67,480,000","58,546,000","55,845,000","43,928,000","35,485,000","27,034,000","15,953,000","11,161,000","6,264,000","10,203,000","2,747,000","5,797,000","2,230,000"
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,,,"-13,470,000","-11,941,000","-15,461,000","0","0","32,000","0"
