name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007
			OtherInventories,"1,171,000,000","842,000,000","575,000,000","434,000,000","406,000,000","303,000,000","185,051,000","136,638,000","108,561,000","107,951,000","43,866,000","17,773,000","8,202,000","4,583,000","2,780,000","114,000",
		PrepaidAssets,,,"1,723,000,000","1,346,000,000","959,000,000","366,000,000","268,365,000","194,465,000","115,667,000","76,134,000","27,574,000","8,438,000","9,414,000","10,839,000","4,222,000","2,180,000","2,930,000"
		RestrictedCash,,,,,"246,000,000","193,000,000","155,323,000","105,519,000","22,628,000","17,947,000","3,012,000","19,094,000","23,476,000","73,597,000","0",,
		OtherCurrentAssets,"3,388,000,000","2,941,000,000","1,723,000,000","1,346,000,000","959,000,000","366,000,000","268,365,000","194,465,000","115,667,000","76,134,000","27,574,000","8,438,000","9,414,000",,,,
	TotalNonCurrentAssets,"57,002,000,000","41,421,000,000","35,027,000,000","25,434,000,000","22,203,000,000","21,435,000,000","22,084,948,000","16,400,700,000","5,278,030,000","2,650,550,000","1,150,966,000","589,422,000","340,610,000","150,196,000","29,865,000","20,272,000","12,529,000"
		NetPPE,"45,123,000,000","36,635,000,000","31,172,000,000","23,378,000,000","20,196,000,000","19,693,000,000","20,491,712,000","15,033,337,000","5,186,834,000","2,595,967,000","1,120,894,000","562,300,000","310,171,000","122,599,000","23,535,000","18,793,000","11,998,000"
			GrossPPE,"60,203,000,000","48,134,000,000","39,863,000,000","29,896,000,000","25,059,000,000","23,346,000,000","23,168,916,000","16,450,479,000","5,974,460,000","2,971,657,000","1,280,536,000","619,843,000","342,393,000","144,592,000","36,265,000","25,619,000","15,196,000"
				Properties,"6,859,000,000","6,889,000,000","6,913,000,000","6,861,000,000","6,784,000,000","6,699,000,000","6,323,753,000","5,479,124,000","0","0","0","0","0","0","0","0","0"
				LandAndImprovements,"9,505,000,000","7,751,000,000","4,675,000,000","3,662,000,000","3,024,000,000","4,047,000,000","2,517,247,000","1,079,452,000","521,537,000","49,478,000","45,020,000","26,391,000","26,391,000","26,391,000","0",,
				BuildingsAndImprovements,,,,,,,,,"461,303,000","154,362,000","67,707,000","50,574,000","0",,,,
				MachineryFurnitureEquipment,"27,540,000,000","21,705,000,000","16,647,000,000","12,889,000,000","10,612,000,000","9,366,000,000","9,496,778,000","5,960,022,000","3,870,422,000","1,669,516,000","766,367,000","255,941,000","44,056,000","37,328,000","28,321,000","21,738,000","13,403,000"
