name,ttm,03/31/2024,03/31/2023,03/31/2022,03/31/2021,03/31/2020,03/31/2019,03/31/2018,03/31/2017,02/29/2016,02/28/2015,02/28/2014,02/28/2013,02/29/2012,02/28/2011
		NetOtherFinancingCharges,"-44,000","-144,000","-712,000","-4,677,000","-6,510,000","-373,000","-2,512,000","-11,285,000",,"-266,000","-4,000","-3,592,000","-9,842,000",,
EndCashPosition,"44,141,000","21,000,000","6,958,000","14,252,000","17,687,000","67,755,000","7,364,000","8,399,000","10,736,000","13,609,000","24,994,000","18,046,000","25,351,000","51,163,000","49,756,000"
	ChangesInCash,"31,986,000","13,968,000","-6,775,000","-2,813,000","-50,887,000","61,540,000","118,000","-3,062,000","2,150,000","-10,959,000","8,154,000","-7,038,000","-25,701,000","1,167,000","23,364,000"
	EffectOfExchangeRateChanges,"-53,000","74,000","-519,000","-622,000","819,000","-1,149,000","-1,153,000","725,000","-223,000","-426,000","-1,206,000","-267,000","-111,000","240,000","230,000"
	BeginningCashPosition,"12,155,000","6,958,000","14,252,000","17,687,000","67,755,000","7,364,000","8,399,000","10,736,000","8,809,000","24,994,000","18,046,000","25,351,000","51,163,000","49,756,000","26,162,000"
IncomeTaxPaidSupplementalData,,"7,958,000","21,275,000","30,163,000","16,939,000","13,944,000","11,838,000","4,740,000","7,651,000","891,000","7,192,000","5,498,000","2,028,000","3,371,000","4,351,000"
InterestPaidSupplementalData,,"18,781,000","13,688,000","10,745,000","16,661,000","18,316,000","24,934,000","22,119,000","14,656,000","14,850,000","15,255,000","20,339,000","17,853,000","24,163,000","25,398,000"
CapitalExpenditure,"-39,595,000","-39,894,000","-64,223,000","-33,389,000","-17,176,000","-33,619,000","-33,670,000","-27,646,000","-28,515,000","-46,431,000","-48,740,000","-48,408,000","-49,219,000","-40,953,000","-18,175,000"
IssuanceOfCapitalStock,,,,,,,,,,"0","0","237,013,000","20,000","0","0"
IssuanceOfDebt,"103,769,000","96,568,000","120,292,000","113,167,000","256,132,000","178,603,000","386,701,000","382,486,000","72,731,000","88,872,000","108,800,000","192,787,000","365,830,000","102,982,000","0"
RepaymentOfDebt,"-74,869,000","-90,024,000","-116,589,000","-118,436,000","-422,181,000","-113,836,000","-406,196,000","-408,889,000","-86,712,000","-96,181,000","-122,065,000","-140,625,000","-378,449,000","-102,799,000","-7,066,000"
RepurchaseOfCapitalStock,,"0","-5,000,000","0","0",,,,,"0","0","-53,000","-201,000","-16,000","-177,000"
FreeCashFlow,"2,072,000","6,895,000","-4,918,000","23,601,000","119,483,000","-3,130,000","21,226,000","34,530,000","16,124,000","-4,124,000","15,885,000","2,197,000","-3,373,000","1,250,000","30,589,000"
