name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997
			LongTermDebt,"11,320,000,000","9,380,000,000","9,333,000,000","9,203,000,000","9,963,000,000","8,514,000,000","7,840,000,000","8,197,000,000","3,807,000,000","3,447,000,000","3,147,000,000","2,528,000,000","1,816,000,000","2,691,000,000","2,234,000,000","2,975,000,000","2,790,000,000","1,818,000,000","1,681,000,000","836,000,000","1,391,000,000","1,553,000,000","2,815,000,000","2,016,000,000","1,676,000,000","1,267,000,000","422,000,000"
			LongTermCapitalLeaseObligation,"887,000,000","1,034,000,000","1,098,000,000","823,000,000","882,000,000","0",,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredLiabilities,"1,227,000,000","1,372,000,000","1,350,000,000","1,625,000,000","1,130,000,000","1,216,000,000","1,188,000,000","1,020,000,000","16,000,000",,,,,,,,,,,,,,,,,,
			NonCurrentDeferredTaxesLiabilities,"209,000,000","313,000,000","169,000,000","83,000,000","290,000,000","485,000,000","605,000,000","1,020,000,000","16,000,000",,,,,,,,,,,,,,,,,,
			NonCurrentDeferredRevenue,"1,018,000,000","1,059,000,000","1,181,000,000","1,542,000,000","840,000,000","731,000,000","583,000,000",,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentLiabilities,"5,160,000,000","5,122,000,000","5,951,000,000","6,868,000,000","5,696,000,000","5,304,000,000","5,429,000,000","4,419,000,000","2,616,000,000","2,548,000,000","2,387,000,000","2,326,000,000","2,317,000,000","2,206,000,000","2,270,000,000","2,004,000,000","1,847,000,000","1,630,000,000","1,464,000,000","1,383,000,000","1,172,000,000","963,000,000","1,012,000,000","1,037,000,000","997,000,000","984,000,000","910,000,000"
TotalEquityGrossMinorityInterest,"-682,000,000","568,000,000","1,414,000,000","430,000,000","703,000,000","2,225,000,000","3,582,000,000","5,357,000,000","-3,590,000,000","-2,200,000,000","-1,415,000,000","-1,285,000,000","-781,000,000","1,585,000,000","1,142,000,000","1,391,000,000","1,429,000,000","2,618,000,000","3,252,000,000","4,093,000,000","3,844,000,000","3,573,000,000","3,478,000,000","3,267,000,000","2,908,000,000","2,570,000,000","2,586,000,000"
	StockholdersEquity,"-682,000,000","568,000,000","1,414,000,000","430,000,000","703,000,000","2,225,000,000","3,582,000,000","5,357,000,000","-3,590,000,000","-2,200,000,000","-1,415,000,000","-1,285,000,000","-781,000,000","1,585,000,000","1,142,000,000","1,380,000,000","1,429,000,000","2,618,000,000","3,252,000,000","4,081,000,000","3,838,000,000","3,573,000,000","3,478,000,000","3,267,000,000","2,908,000,000","2,570,000,000","2,586,000,000"
		CapitalStock,"5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000",,
			CommonStock,"5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000",,
		AdditionalPaidInCapital,"6,051,000,000","5,965,000,000","5,892,000,000","5,851,000,000","5,800,000,000","5,814,000,000","5,770,000,000","5,808,000,000","2,821,000,000","2,802,000,000","2,716,000,000","2,585,000,000","2,513,000,000","3,644,000,000","3,585,000,000","3,590,000,000","3,531,000,000","3,617,000,000","3,562,000,000","3,423,000,000","3,317,000,000","3,224,000,000","3,378,000,000","3,590,000,000","2,738,000,000",,
		RetainedEarnings,"14,838,000,000","12,342,000,000","10,305,000,000","9,206,000,000","9,644,000,000","8,982,000,000","7,242,000,000","6,501,000,000","4,878,000,000","4,286,000,000","3,837,000,000","3,509,000,000","3,212,000,000","3,286,000,000","3,103,000,000","3,565,000,000","3,332,000,000","2,860,000,000","2,500,000,000","1,951,000,000","1,505,000,000","1,126,000,000","941,000,000","851,000,000","508,000,000","218,000,000",
		TreasuryStock,"20,929,000,000","17,015,000,000","14,446,000,000","14,497,000,000","14,385,000,000","12,185,000,000","9,418,000,000","6,460,000,000","11,098,000,000","9,223,000,000","7,929,000,000","7,340,000,000","6,463,000,000","5,348,000,000","5,564,000,000","5,765,000,000","5,490,000,000","3,908,000,000","2,667,000,000","1,197,000,000","865,000,000","667,000,000","503,000,000","454,000,000","305,000,000",,
		GainsLossesNotAffectingRetainedEarnings,"-647,000,000","-729,000,000","-342,000,000","-135,000,000","-361,000,000","-391,000,000","-17,000,000","-497,000,000","-196,000,000","-70,000,000","-44,000,000","-44,000,000","-48,000,000","-2,000,000","13,000,000","-15,000,000","51,000,000","44,000,000","-148,000,000","-99,000,000","-122,000,000","-113,000,000","-341,000,000","-723,000,000","-36,000,000",,
			OtherEquityAdjustments,"-647,000,000","-729,000,000","-342,000,000","-135,000,000","-361,000,000","-391,000,000","-17,000,000","-497,000,000","-196,000,000","-70,000,000","-44,000,000","-44,000,000",,,,,,,,,,,,,,,
		OtherEquityInterest,,,,,,,,,,,,,,,,,,,,,,,,,,"2,352,000,000",
	MinorityInterest,,,,,,,,,,,,,,,"0","11,000,000",,,"11,000,000","12,000,000","6,000,000",,,,,,
TotalCapitalization,"10,638,000,000","9,948,000,000","10,747,000,000","9,633,000,000","10,666,000,000","10,739,000,000","11,422,000,000","13,554,000,000","217,000,000","1,247,000,000","1,732,000,000","1,243,000,000","1,035,000,000","4,276,000,000","3,376,000,000","4,355,000,000","4,219,000,000","4,436,000,000","4,933,000,000","4,917,000,000","5,229,000,000","5,126,000,000","6,293,000,000","5,283,000,000","4,584,000,000","3,837,000,000","3,008,000,000"
CommonStockEquity,"-682,000,000","568,000,000","1,414,000,000","430,000,000","703,000,000","2,225,000,000","3,582,000,000","5,357,000,000","-3,590,000,000","-2,200,000,000","-1,415,000,000","-1,285,000,000","-781,000,000","1,585,000,000","1,142,000,000","1,380,000,000","1,429,000,000","2,618,000,000","3,252,000,000","4,081,000,000","3,838,000,000","3,573,000,000","3,478,000,000","3,267,000,000","2,908,000,000","2,570,000,000","2,586,000,000"
CapitalLeaseObligations,"887,000,000","1,034,000,000","1,098,000,000","823,000,000","882,000,000","0",,,,,,,,,,,,,,,,,,,,,
NetTangibleAssets,"-18,758,000,000","-17,051,000,000","-16,585,000,000","-17,734,000,000","-16,986,000,000","-15,194,000,000","-14,169,000,000","-11,511,000,000","-5,984,000,000","-4,445,000,000","-3,420,000,000","-3,274,000,000","-2,502,000,000","-58,000,000","-464,000,000","-205,000,000","-127,000,000","1,122,000,000","1,862,000,000","2,645,000,000","2,389,000,000","2,155,000,000","1,714,000,000","1,434,000,000","1,088,000,000","858,000,000","1,138,000,000"
WorkingCapital,"-4,451,000,000","-4,026,000,000","-2,781,000,000","-2,927,000,000","-3,550,000,000","-3,731,000,000","-3,067,000,000","-1,776,000,000","-1,849,000,000","-1,428,000,000","-772,000,000","-1,298,000,000","-1,234,000,000","881,000,000","564,000,000","873,000,000","696,000,000","797,000,000","1,257,000,000","-410,000,000","-423,000,000","-434,000,000","328,000,000","-502,000,000","-143,000,000","-79,000,000","-272,000,000"
InvestedCapital,"11,191,000,000","10,632,000,000","11,552,000,000","10,806,000,000","11,643,000,000","11,572,000,000","11,820,000,000","13,863,000,000","517,000,000","1,571,000,000","1,738,000,000","1,650,000,000","1,390,000,000","4,414,000,000","3,440,000,000","4,475,000,000","4,394,000,000","4,451,000,000","4,989,000,000","5,406,000,000","5,293,000,000","5,347,000,000","6,293,000,000","5,283,000,000","4,584,000,000","3,837,000,000","3,008,000,000"
TangibleBookValue,"-18,758,000,000","-17,051,000,000","-16,585,000,000","-17,734,000,000","-16,986,000,000","-15,194,000,000","-14,169,000,000","-11,511,000,000","-5,984,000,000","-4,445,000,000","-3,420,000,000","-3,274,000,000","-2,502,000,000","-58,000,000","-464,000,000","-205,000,000","-127,000,000","1,122,000,000","1,862,000,000","2,645,000,000","2,389,000,000","2,155,000,000","1,714,000,000","1,434,000,000","1,088,000,000","858,000,000","1,138,000,000"
TotalDebt,"12,760,000,000","11,098,000,000","11,236,000,000","11,199,000,000","11,822,000,000","9,347,000,000","8,238,000,000","8,506,000,000","4,107,000,000","3,771,000,000","3,153,000,000","2,935,000,000","2,171,000,000","2,829,000,000","2,298,000,000","3,095,000,000","2,965,000,000","1,833,000,000","1,737,000,000","1,325,000,000","1,455,000,000","1,774,000,000","2,815,000,000","2,016,000,000","1,676,000,000","1,267,000,000","422,000,000"
NetDebt,"11,535,000,000","9,557,000,000","8,745,000,000","9,499,000,000","10,715,000,000","9,031,000,000","7,855,000,000","7,648,000,000","4,011,000,000","3,667,000,000","3,027,000,000","2,847,000,000","2,069,000,000","2,324,000,000","2,183,000,000","2,961,000,000","2,633,000,000","1,642,000,000","1,534,000,000","555,000,000","1,226,000,000","1,576,000,000","1,998,000,000","1,682,000,000","1,187,000,000","877,000,000","133,000,000"
ShareIssued,"290,539,975","310,600,000","327,300,000","324,400,000","324,200,000","334,100,000","354,800,000","381,000,000","256,300,000","276,300,000","298,000,000","310,900,000","331,005,686","363,100,000","361,100,000","355,939,519","361,002,938","393,757,055","416,300,784","456,535,780","465,137,348","476,956,556","494,951,102","494,951,102","497,983,891","504,049,468","516,787,180"
OrdinarySharesNumber,"290,539,975","310,600,000","327,300,000","324,400,000","324,200,000","334,100,000","354,800,000","381,000,000","256,300,000","276,300,000","298,000,000","310,900,000","331,005,686","363,100,000","361,100,000","355,939,519","361,002,938","393,757,055","416,300,784","456,535,780","465,137,348","476,956,556","494,951,102","494,951,102","497,983,891","504,049,468","516,787,180"
