name,ttm,06/30/2024,06/30/2023,06/30/2022,06/30/2021,06/30/2020,06/30/2019,06/30/2018,06/30/2017
OperatingCashFlow,"-66,100,000","-66,100,000","-387,600,000","-2,020,000,000","-239,700,000","376,400,000","-108,600,000","49,700,000","-18,600,000"
	CashFlowFromContinuingOperatingActivities,"-66,200,000","-66,200,000","-387,800,000","-2,019,800,000","-239,800,000","376,500,000","-108,700,000","49,700,000","-18,600,000"
		NetIncomeFromContinuingOperations,"-551,900,000","-551,900,000","-1,261,700,000","-2,827,700,000","-189,000,000","-71,600,000","-195,600,000","-47,900,000","-71,100,000"
		OperatingGainsLosses,"-58,500,000","-58,500,000","-7,000,000","31,800,000","3,400,000","3,300,000",,,
			GainLossOnSaleOfBusiness,"3,800,000","3,800,000","0","0",,,,,
			NetForeignCurrencyExchangeGainLoss,"0","0","-7,000,000","31,800,000","3,400,000","3,300,000","0",,
		DepreciationAmortizationDepletion,"108,800,000","108,800,000","124,300,000","142,800,000","63,800,000","40,200,000","21,700,000","6,600,000","3,700,000"
			DepreciationAndAmortization,"108,800,000","108,800,000","124,300,000","142,800,000","63,800,000","40,200,000","21,700,000","6,600,000","3,700,000"
				Depreciation,"98,200,000","98,200,000","108,500,000","99,500,000","44,600,000",,,,
				AmortizationCashFlow,"10,600,000","10,600,000","15,800,000","43,300,000","19,200,000",,,,
					AmortizationOfIntangibles,"10,600,000","10,600,000","15,800,000","43,300,000","19,200,000",,,,
		AmortizationOfSecurities,"0","0","0","3,400,000","9,600,000","1,400,000","-2,200,000","0","0"
		AssetImpairmentCharge,"57,300,000","57,300,000","144,500,000","572,400,000","4,500,000","1,200,000","500,000","700,000","200,000"
		ProvisionandWriteOffofAssets,,,,"224,900,000","38,700,000","-1,200,000",,,
		StockBasedCompensation,"311,700,000","311,700,000","405,000,000","328,400,000","194,000,000","88,800,000","89,500,000","8,500,000","10,300,000"
		OtherNonCashItems,"80,500,000","80,500,000","93,600,000","127,500,000","74,600,000","48,200,000","400,000","1,000,000","100,000"
		ChangeInWorkingCapital,"-14,000,000","-14,000,000","113,700,000","-398,600,000","-400,600,000","266,100,000","-22,900,000","81,500,000","38,200,000"
			ChangeInReceivables,"-7,000,000","-7,000,000","-13,800,000","-12,800,000","15,100,000","11,300,000","-9,100,000","-4,100,000","-3,600,000"
				ChangesInAccountReceivables,"-7,000,000","-7,000,000","-13,800,000","-12,800,000","15,100,000","11,300,000","-9,100,000","-4,100,000","-3,600,000"
			ChangeInInventory,"163,000,000","163,000,000","537,500,000","-173,700,000","-587,200,000","-95,600,000","-111,300,000","-9,600,000","-5,000,000"
			ChangeInPrepaidAssets,"42,600,000","42,600,000","61,200,000","-32,500,000","-32,300,000","-33,100,000","-30,300,000","-12,100,000","-1,000,000"
			ChangeInPayablesAndAccruedExpense,"-95,500,000","-95,500,000","-347,200,000","-168,600,000","439,800,000","133,400,000","117,300,000","41,000,000","22,100,000"
			ChangeInOtherCurrentAssets,"1,700,000","1,700,000","7,100,000","-2,100,000","-19,100,000","-22,100,000","-5,500,000","1,400,000","-1,100,000"
			ChangeInOtherCurrentLiabilities,"-95,200,000","-95,200,000","-117,200,000","-45,700,000","-4,200,000","-100,000","13,800,000","1,900,000","7,800,000"
			ChangeInOtherWorkingCapital,"-23,600,000","-23,600,000","-13,900,000","36,800,000","-212,700,000","272,300,000","2,200,000","63,000,000","19,000,000"
InvestingCashFlow,"26,800,000","26,800,000","-69,900,000","153,300,000","-585,100,000","-741,300,000","-297,500,000","-56,700,000","-10,200,000"
	CashFlowFromContinuingInvestingActivities,"26,800,000","26,800,000","-70,000,000","153,400,000","-585,100,000","-741,400,000","-297,500,000","-56,700,000","-10,200,000"
