name,08/31/2023,08/31/2022,08/31/2021,08/31/2020,08/31/2019,08/31/2018,08/31/2017,08/31/2016,08/31/2015,08/31/2014,08/31/2013,08/31/2012,08/31/2011,08/31/2010,08/31/2009,08/31/2008,08/31/2007,08/31/2006,08/31/2005,08/31/2004,08/31/2003,08/31/2002,08/31/2001,08/31/2000,08/31/1999,08/31/1998,08/31/1997,08/31/1996,08/31/1995,08/31/1994,08/31/1993,08/31/1992,08/31/1991,08/31/1990
TotalAssets,"15,985,878,000","15,275,043,000","14,516,199,000","14,423,872,000","9,895,913,000","9,346,980,000","9,259,781,000","8,599,787,000","8,102,349,000","7,497,163,000","6,892,089,000","6,265,639,000","5,869,602,000","5,571,594,000","5,318,405,000","5,257,112,000","4,804,709,000","4,526,306,000","4,245,257,000","3,912,565,000","3,766,826,000","3,477,791,000","3,432,512,000","3,333,218,000","3,284,767,000","2,748,100,000","1,884,000,000","1,498,400,000","1,111,800,000","882,100,000","696,500,000","502,100,000","398,900,000","328,400,000"
	CurrentAssets,"6,779,426,000","6,627,984,000","6,415,303,000","6,811,872,000","5,028,685,000","4,635,869,000","4,611,255,000","4,239,573,000","3,970,294,000","3,580,612,000","3,278,013,000","2,978,946,000","2,792,425,000","2,611,821,000","2,561,730,000","2,586,301,000","2,270,455,000","2,118,927,000","1,929,459,000","1,755,757,000","1,671,354,000","1,450,128,000","1,328,511,000","1,186,780,000","1,225,084,000","1,117,100,000","778,800,000","613,100,000","447,800,000","424,400,000","378,500,000","280,400,000","234,500,000","192,800,000"
		CashCashEquivalentsAndShortTermInvestments,"277,054,000","264,380,000","1,171,335,000","1,750,815,000","176,300,000","217,824,000","293,270,000","189,734,000","175,309,000","124,485,000","142,191,000","103,093,000","97,606,000","98,280,000","92,706,000","242,461,000","86,654,000","91,558,000","74,810,000","76,852,000","93,102,000","6,498,000","7,286,000","6,969,000","5,918,000","6,600,000","4,700,000","3,900,000","6,400,000","56,200,000","84,500,000","57,800,000","9,000,000","900,000"
			CashAndCashEquivalents,"277,054,000","264,380,000","1,171,335,000","1,750,815,000","176,300,000","217,824,000","293,270,000","189,734,000","175,309,000","124,485,000","142,191,000","103,093,000","97,606,000","98,280,000","92,706,000","242,461,000","86,654,000","91,558,000","74,810,000","76,852,000","93,102,000","6,498,000","7,286,000","6,969,000","5,918,000","6,600,000","4,700,000","3,900,000","6,400,000","56,200,000","84,500,000","57,800,000","9,000,000","900,000"
		Receivables,"520,385,000","504,886,000","378,392,000","364,774,000","308,995,000","258,136,000","280,733,000","287,680,000","247,872,000","200,899,000","171,638,000","161,375,000","140,690,000","125,802,000","126,514,000","71,241,000","59,876,000","80,363,000","118,263,000","68,372,000","43,746,000","23,782,000","19,135,000","21,407,000","25,917,000","44,400,000","18,700,000","15,500,000","9,700,000","7,100,000","10,200,000","5,900,000","4,200,000","4,200,000"
			AccountsReceivable,"520,385,000","504,886,000","378,392,000","364,774,000","308,995,000","258,136,000","280,733,000","287,680,000","247,872,000","200,899,000","171,638,000","161,375,000","140,690,000","125,802,000","126,514,000","71,241,000","59,876,000","80,363,000","118,263,000","68,372,000","43,746,000","23,782,000","19,135,000","21,407,000",,,,,,,,,,
				GrossAccountsReceivable,"528,085,000","514,386,000","389,792,000","374,774,000","317,495,000","264,236,000",,,,,,,"142,790,000","127,202,000","129,014,000",,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-7,700,000","-9,500,000","-11,400,000","-10,000,000","-8,500,000","-6,100,000",,,,,,,"-2,100,000","-1,400,000","-2,500,000",,,,,,,,,,,,,,,,,,,
		Inventory,"5,764,143,000","5,638,004,000","4,639,813,000","4,473,282,000","4,319,113,000","3,943,670,000","3,882,086,000","3,631,916,000","3,421,635,000","3,140,100,000","2,861,014,000","2,627,983,000","2,466,107,000","2,304,579,000","2,207,497,000","2,150,109,000","2,007,430,000","1,846,650,000","1,663,860,000","1,561,479,000","1,511,316,000","1,375,584,000","1,242,896,000","1,108,978,000","1,129,693,000","966,600,000","709,400,000","555,900,000","395,800,000","334,100,000","260,100,000","198,200,000","205,700,000","176,700,000"
			FinishedGoods,"5,764,143,000","5,638,004,000","4,639,813,000","4,473,282,000","4,319,113,000","3,943,670,000","3,882,086,000","3,631,916,000","3,421,635,000","3,140,100,000","2,861,014,000","2,627,983,000","2,466,107,000","2,304,579,000","2,207,497,000",,,,,,,,,,,,,,,,,,,
