name,ttm,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010,01/31/2009
TotalRevenue,"439,677,000","470,786,000","499,961,000","540,453,000","468,272,000","495,212,000","416,097,000","454,648,000","485,937,000","502,598,000","508,990,000","530,896,000","535,667,000","460,843,000","366,057,000","288,940,000","238,577,000"
	OperatingRevenue,"439,677,000","470,786,000","499,961,000","540,453,000","468,272,000","495,212,000","416,097,000","454,648,000","485,937,000","502,598,000","508,990,000","530,896,000","535,667,000","460,843,000","366,057,000","288,940,000","238,577,000"
CostOfRevenue,"208,758,000","214,373,000","261,017,000","252,510,000","202,754,000","223,411,000","177,510,000","200,639,000","209,891,000","221,409,000","239,981,000","238,684,000","231,135,000","203,220,000","156,910,000","137,803,000","115,473,000"
GrossProfit,"230,919,000","256,413,000","238,944,000","287,943,000","265,518,000","271,801,000","238,587,000","254,009,000","276,046,000","281,189,000","269,009,000","292,212,000","304,532,000","257,623,000","209,147,000","151,137,000","123,104,000"
OperatingExpense,"230,090,000","240,542,000","264,559,000","261,032,000","252,453,000","252,327,000","211,486,000","239,028,000","247,826,000","234,467,000","204,939,000","196,455,000","190,862,000","161,452,000","155,828,000","126,911,000","109,195,000"
	SellingGeneralAndAdministration,"230,954,000","241,457,000","265,016,000","261,993,000","252,588,000","253,425,000","211,984,000","239,810,000","249,155,000","236,836,000","208,675,000","201,231,000","197,139,000","169,427,000","163,053,000","116,168,000","109,195,000"
	OtherOperatingExpenses,"-864,000","-915,000","-457,000","-961,000","-135,000","-1,098,000","-498,000","-782,000","-1,329,000","-2,369,000","-3,736,000","-4,776,000","-6,277,000","-7,975,000","-7,225,000","10,743,000",
OperatingIncome,"829,000","15,871,000","-25,615,000","26,911,000","13,065,000","19,474,000","27,101,000","14,981,000","28,220,000","46,722,000","64,070,000","95,757,000","113,670,000","96,171,000","53,319,000","24,226,000","13,909,000"
NetNonOperatingInterestIncomeExpense,"1,880,000","890,000","-153,000","-263,000","-1,203,000","1,085,000","1,125,000","413,000","-178,000","-263,000","-407,000","-571,000","-679,000","-1,147,000","-1,625,000","-1,604,000","-2,511,000"
	InterestExpenseNonOperating,,,"153,000","263,000","1,203,000",,,,,,,,,"1,147,000","1,625,000","1,604,000","2,511,000"
	TotalOtherFinanceCost,"-1,880,000","-890,000","153,000","263,000","1,203,000","-1,085,000","-1,125,000","-413,000","178,000","263,000","407,000","571,000","679,000","1,147,000","1,625,000",,
OtherIncomeExpense,,"-5,429,000","-69,256,000",,,,,,,,,,,,,"10,743,000","13,282,000"
	SpecialIncomeCharges,,"-5,429,000","-69,256,000","0","0",,,,,,,,,,,"10,743,000","13,282,000"
		ImpairmentOfCapitalAssets,,"5,429,000","69,256,000","0","0",,,,,,,,,,,,
PretaxIncome,"-2,720,000","11,332,000","-95,024,000","26,648,000","11,862,000","20,559,000","28,226,000","15,394,000","28,042,000","46,459,000","63,663,000","95,186,000","112,991,000","95,024,000","51,694,000","44,108,000","24,680,000"
TaxProvision,"-3,568,000","3,494,000","-15,640,000","6,430,000","1,173,000","5,315,000","7,469,000","8,378,000","8,284,000","18,901,000","22,828,000","35,057,000","40,597,000","37,103,000","5,496,000","889,000","1,009,000"
NetIncomeCommonStockholders,"848,000","7,838,000","-59,735,000","17,838,000","8,681,000","16,047,000","20,757,000","7,016,000","19,758,000","27,558,000","38,449,000","58,812,000","68,870,000","57,921,000","46,198,000","43,219,000","23,671,000"
	NetIncome,"848,000","7,838,000","-59,735,000","17,838,000","8,681,000","16,047,000","20,757,000","7,016,000","19,758,000","27,558,000","38,449,000","58,812,000","68,870,000","57,921,000","46,198,000","43,219,000","23,671,000"
		NetIncomeIncludingNoncontrollingInterests,"848,000","7,838,000","-79,384,000","20,218,000","10,689,000","15,244,000","20,757,000","7,016,000","19,758,000","27,558,000","38,449,000","58,812,000","68,870,000","57,921,000","46,198,000","43,219,000","23,671,000"
			NetIncomeContinuousOperations,"848,000","7,838,000","-79,384,000","20,218,000","10,689,000","15,244,000","20,757,000","7,016,000","19,758,000","27,558,000","40,835,000","60,129,000","72,394,000","57,921,000","46,198,000","43,219,000","23,671,000"
			NetIncomeDiscontinuousOperations,,,,,,,,,"0","0","-2,386,000","-1,317,000","-3,524,000",,,,
		MinorityInterests,,"0","19,649,000","-2,380,000","-2,008,000","803,000","0","0",,,,,,,,,
DilutedNIAvailtoComStockholders,"848,000","7,838,000","-59,735,000","17,838,000","8,681,000","16,047,000","20,757,000","7,016,000","19,758,000","27,558,000","38,449,000","58,812,000","68,870,000","57,921,000","46,198,000","43,219,000","23,671,000"
BasicEPS,"0.02","0.25","-1.9","0.53","0.26","0.47","0.59","0.2","0.54","0.71","0.95","1.45","1.7","1.43","1.25","1.22","0.668"
DilutedEPS,"0.02","0.25","-1.9","0.52","0.26","0.47","0.59","0.19","0.53","0.71","0.95","1.45","1.7","1.43","1.25","1.22","0.668"
BasicAverageShares,"30,395,500","30,833,000","31,503,000","33,785,000","33,390,000","33,983,000","35,222,000","35,925,000","36,838,000","38,795,000","40,568,000","40,599,000","40,536,000","40,506,672","36,813,000","35,440,547","35,440,547"
DilutedAverageShares,"30,696,000","31,314,000","31,503,000","34,437,000","33,914,000","34,288,000","35,467,000","36,026,000","36,970,000","38,861,000","40,632,000","40,648,000","40,571,000","40,542,302","36,851,000","35,440,547","35,440,580"
TotalOperatingIncomeAsReported,"-4,600,000","10,442,000","-94,871,000","26,911,000","13,065,000","19,474,000","27,101,000","14,981,000","28,220,000","46,722,000","64,070,000","95,757,000","113,670,000","96,171,000","53,319,000","45,712,000","27,191,000"
