name,ttm,09/30/2023,09/30/2022,09/30/2021,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991
DilutedNIAvailtoComStockholders,"4,071,000,000","4,124,500,000","3,281,600,000","4,199,300,000","928,300,000","3,599,200,000","4,518,300,000","2,884,700,000","2,817,700,000","2,757,400,000","2,068,100,000","8,300,000","1,383,800,000","1,245,700,000","945,600,000","390,800,000","315,500,000","672,638,000","564,259,000","494,370,000","388,880,000","268,346,000","215,073,000","181,210,000","94,564,000","101,700,000","68,400,000","55,200,000","41,700,000","26,100,000","9,900,000","8,500,000","1,500,000","900,000"
BasicEPS,"3.58","3.6","2.86","3.561","0.791","3.038","3.451","1.998","1.921","1.857","1.38","0.006","0.923","0.835","0.639","0.262","0.215","0.45","0.37","0.158","0.118","0.173","0.138","0.119","0.063","0.07","0.024","0.006","0.004","0.001","0.001","0.001","0","0"
DilutedEPS,"3.57","3.58","2.83","3.54","0.79","2.92","3.24","1.97","1.9","1.82","1.355","0.005","0.895","0.81","0.62","0.26","0.215","0.435","0.355","0.153","0.118","0.168","0.065","0.058","0.03","0.034","0.023","0.005","0.004","0.001","0.001","0.001","0","0"
BasicAverageShares,"1,136,525,000","1,146,800,000","1,147,900,000","1,180,000,000","1,173,300,000","1,184,600,000","1,309,100,000","1,431,600,000","1,460,500,000","1,485,100,000","1,499,000,000","1,506,400,000","1,498,600,000","1,482,800,000","1,485,200,000","1,491,800,000","1,463,000,000","1,499,600,000","1,532,228,000","3,158,280,000","1,587,412,000","1,563,012,000","1,537,732,000","1,519,472,000","1,479,288,000","1,461,593,280","2,817,760,000","1,264,944,000","1,241,344,000","1,135,312,000","926,976,000","874,720,000","838,400,000","809,344,000"
DilutedAverageShares,"1,140,275,000","1,151,300,000","1,158,500,000","1,185,500,000","1,181,800,000","1,233,200,000","1,394,600,000","1,461,500,000","1,486,700,000","1,513,400,000","1,526,200,000","1,524,600,000","1,546,000,000","1,539,400,000","1,528,400,000","1,491,800,000","1,483,400,000","1,540,200,000","1,585,112,000","3,261,668,000","1,642,348,000","1,606,592,000","1,588,716,000","1,578,468,000","1,536,792,000","1,461,593,280","2,940,336,000","1,264,944,000","1,241,344,000","1,135,312,000","926,976,000","874,720,000","838,400,000","809,344,000"
TotalOperatingIncomeAsReported,"5,808,100,000","5,870,800,000","4,617,800,000","4,872,100,000","1,561,700,000","4,077,900,000","3,883,300,000","4,134,700,000","4,171,900,000","3,601,000,000","3,081,100,000","-325,400,000","1,997,400,000","1,728,500,000","1,419,400,000","562,000,000","503,900,000","1,053,945,000","893,952,000","780,615,000","606,587,000","424,713,000","318,725,000","281,094,000","232,552,000","159,900,000","119,200,000","86,300,000","56,500,000","40,100,000","23,200,000","13,000,000","6,400,000","3,000,000"
RentExpenseSupplemental,"3,020,100,000","2,871,000,000","2,674,100,000","2,561,500,000","2,388,000,000","2,411,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
TotalExpenses,"30,985,000,000","30,472,700,000","27,820,600,000","24,403,400,000","22,000,100,000","22,592,900,000","20,913,000,000","18,490,000,000","17,462,200,000","15,811,600,000","13,655,200,000","12,659,500,000","11,490,100,000","10,175,800,000","9,383,100,000","9,002,100,000","9,725,800,000","8,357,552,000","6,892,990,000","5,588,685,000","4,687,660,000","3,650,809,000","2,970,183,000","2,367,886,000","1,936,666,000","1,520,200,000","1,189,500,000","889,100,000","641,400,000","425,100,000","261,700,000","150,500,000","86,700,000","54,700,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"4,071,000,000","4,124,500,000","3,281,600,000","4,199,300,000","928,300,000","3,599,200,000","4,518,300,000","2,884,700,000","2,817,700,000","2,757,400,000","2,068,100,000","8,300,000","1,383,800,000","1,245,700,000","945,600,000","390,800,000","315,500,000","672,638,000","581,473,000","494,370,000","388,880,000","268,346,000","215,073,000","181,210,000","94,564,000","101,700,000","68,400,000","55,200,000","41,700,000","26,100,000","10,200,000","8,500,000","4,100,000","2,400,000"
NormalizedIncome,"4,071,000,000","4,071,402,000","3,317,296,000","3,655,125,600","1,149,587,800","3,207,165,000","3,227,061,600","2,924,780,000","2,814,076,600","2,524,443,500","2,054,889,200","1,817,965,000","1,383,800,000","1,224,892,200","947,382,000","623,224,718.7","498,757,780.196","672,638,000","581,473,000","494,370,000","388,880,000","268,346,000","184,081,435.938","165,106,806.924","142,019,200","103,684,390.244","74,340,000","47,702,957.284","29,330,837.004","21,982,134.571","11,280,000","7,460,431.655","3,975,757.576","2,400,000"
InterestIncome,"126,100,000","81,200,000","97,000,000","90,100,000","39,700,000","96,500,000","191,400,000","181,800,000","102,600,000","43,000,000","142,700,000","123,600,000","94,400,000","115,900,000","50,300,000","37,000,000","9,000,000",,,,,,,,,,,,,,,,,
InterestExpense,"565,200,000","550,100,000","482,900,000","469,800,000","437,000,000","331,000,000","170,300,000","92,500,000","81,300,000","70,500,000","64,100,000","28,100,000","32,700,000","33,300,000","32,700,000","39,100,000","53,400,000",,,,,,,,,,,,,,,,,
NetInterestIncome,"-439,100,000","-468,900,000","-385,900,000","-379,700,000","-397,300,000","-234,500,000","21,100,000","89,300,000","21,300,000","-27,500,000","78,600,000","95,500,000","61,700,000","82,600,000","-32,700,000","-2,100,000","-44,400,000",,,,,,,,,,,,,,,,,
EBIT,"5,934,200,000","5,952,000,000","4,714,800,000","5,826,700,000","1,601,400,000","4,797,200,000","5,950,300,000","4,410,000,000","4,279,900,000","3,973,500,000","3,223,800,000","-201,800,000","2,091,800,000","1,844,400,000","1,469,700,000","599,000,000","512,900,000","1,053,945,000","893,952,000","780,615,000","606,587,000","424,713,000","318,725,000","281,094,000","232,552,000","159,900,000","119,200,000","86,300,000","56,500,000","40,100,000","23,200,000","13,000,000","6,400,000","3,000,000"
EBITDA,"7,501,700,000","7,402,300,000","6,244,200,000","7,350,800,000","3,104,600,000","6,246,500,000","7,256,200,000","5,477,100,000","5,310,000,000","4,907,300,000","3,972,200,000","453,800,000","2,672,400,000","2,394,400,000","2,010,500,000","1,162,300,000","1,117,400,000","1,545,836,000","1,308,590,000","1,157,919,000","932,237,000","683,984,000","539,866,000","458,181,000","374,723,000","267,400,000","200,100,000","145,200,000","95,900,000","64,900,000","35,700,000","19,800,000","10,000,000","5,900,000"
ReconciledCostOfRevenue,"26,330,800,000","26,041,700,000","23,797,700,000","20,587,200,000","18,387,000,000","18,948,500,000","17,344,000,000","15,496,500,000","14,524,000,000","13,158,700,000","11,458,200,000","10,634,200,000","9,701,100,000","8,483,700,000","4,386,100,000","4,296,300,000","4,590,100,000","7,190,282,000","6,099,266,000","4,931,012,000","4,116,788,000","1,664,464,000","2,582,713,000","2,067,998,000","1,684,293,000","1,323,000,000","1,031,000,000","773,100,000","564,700,000","371,700,000","127,300,000","131,200,000","75,000,000","46,900,000"
ReconciledDepreciation,"1,567,500,000","1,450,300,000","1,529,400,000","1,524,100,000","1,503,200,000","1,449,300,000","1,305,900,000","1,067,100,000","1,030,100,000","933,800,000","748,400,000","655,600,000","580,600,000","550,000,000","540,800,000","563,300,000","604,500,000","491,891,000","414,638,000","377,304,000","325,650,000","259,271,000","221,141,000","177,087,000","142,171,000","107,500,000","80,900,000","58,900,000","39,400,000","24,800,000","12,500,000","6,800,000","3,600,000","2,900,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"4,071,000,000","4,124,500,000","3,281,600,000","4,199,300,000","928,300,000","3,599,200,000","4,518,300,000","2,884,700,000","2,817,700,000","2,757,400,000","2,068,100,000","8,300,000","1,383,800,000","1,245,700,000","945,600,000","390,800,000","315,500,000","672,638,000","581,473,000","494,370,000","388,880,000","268,346,000","215,073,000","181,210,000","94,564,000","101,700,000","68,400,000","55,200,000","41,700,000","26,100,000","10,200,000","8,500,000","4,100,000","2,400,000"
TotalUnusualItemsExcludingGoodwill,"0","69,500,000","-46,000,000","694,100,000","-278,700,000","487,000,000","1,651,200,000","-60,000,000","5,400,000","329,500,000","20,200,000","-2,784,100,000","0","30,200,000","-2,700,000","-332,400,000","-266,900,000",,,,,,"49,193,000","25,675,000","-79,092,000","-3,200,000","-9,900,000","12,400,000","20,200,000","6,800,000","-1,800,000","1,700,000","200,000",
TotalUnusualItems,"0","69,500,000","-46,000,000","694,100,000","-278,700,000","487,000,000","1,651,200,000","-60,000,000","5,400,000","329,500,000","20,200,000","-2,784,100,000","0","30,200,000","-2,700,000","-332,400,000","-266,900,000",,,,,,"49,193,000","25,675,000","-79,092,000","-3,200,000","-9,900,000","12,400,000","20,200,000","6,800,000","-1,800,000","1,700,000","200,000",
NormalizedEBITDA,"7,501,700,000","7,332,800,000","6,290,200,000","6,656,700,000","3,383,300,000","5,759,500,000","5,605,000,000","5,537,100,000","5,304,600,000","4,577,800,000","3,952,000,000","3,237,900,000","2,672,400,000","2,364,200,000","2,013,200,000","1,494,700,000","1,384,300,000","1,545,836,000","1,308,590,000","1,157,919,000","932,237,000","683,984,000","490,673,000","432,506,000","453,815,000","270,600,000","210,000,000","132,800,000","75,700,000","58,100,000","37,500,000","18,100,000","9,800,000","5,900,000"
TaxRateForCalcs,"0.242","0.236","0.224","0.216","0.206","0.195","0.218","0.332","0.329","0.293","0.346","0.35","0.328","0.311","0.34","0.301","0.313","0.363","0.358","0.379","0.373","0.385","0.37","0.373","0.4","0.38","0.4","0.395","0.388","0.394","0.4","0.388","0.379","0.172"
TaxEffectOfUnusualItems,"0","16,402,000","-10,304,000","149,925,600","-57,412,200","94,965,000","359,961,600","-19,920,000","1,776,600","96,543,500","6,989,200","-974,435,000","0","9,392,200","-918,000","-99,975,281.3","-83,642,219.804","0","0","0","0","0","18,201,435.938","9,571,806.924","-31,636,800","-1,215,609.756","-3,960,000","4,902,957.284","7,830,837.004","2,682,134.571","-720,000","660,431.655","75,757.576","0"
