name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015
MarketCap,"7,133,379,281","6,237,010,646","6,573,157,081","7,590,966,320","6,429,394,230","5,864,247,000","4,481,774,080","2,970,674,778","1,019,001,258","572,026,740"
EnterpriseValue,"9,361,677,281","8,186,822,646","8,513,563,081","9,008,116,320","7,946,799,230","6,939,190,000","5,082,755,080","3,582,468,778","1,435,214,258","1,047,194,740"
PeRatio,"46.341","45.342","93.81","164.691","1,109","56.576","81.242","49.471","57.775",
ForwardPeRatio,"33.784","32.468","44.248","68.493","76.336","38.61","39.063","36.9","26.81","26.525"
PegRatio,,,,,,,"3.914","3.684",,"1.325"
PsRatio,"6.548","5.785","7.948","14.053","13.404","9.439","8.829","5.97","2.729","1.784"
PbRatio,,,,,,,,,"130.221",
EnterprisesValueRevenueRatio,"8.422","7.669","10.146","16.77","17.114","10.332","9.544","8.688","3.904","3.265"
EnterprisesValueEBITDARatio,"19.578","18.974","28.276","41.914","55.612","26.374","9.653","20.409","10.087","11.167"
