name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
PreferredStockEquity,,,,,,,,,,,,,,"710,735,000","645,441,000","298,066,000",,,,,,,,
CommonStockEquity,"4,118,000,000","3,881,000,000","1,996,000,000","2,973,000,000","5,187,000,000","5,684,000,000","6,486,000,000","6,177,000,000","6,817,000,000","7,213,586,000","7,665,494,000","7,061,842,000","7,850,689,000","5,952,256,000","5,205,258,000","4,124,042,000","2,260,274,000","2,075,154,000","1,609,538,000","1,316,001,000","162,108,000","100,384,000","112,187,000","103,594,000"
NetTangibleAssets,"3,520,000,000","3,817,000,000","1,977,000,000","2,948,000,000","5,145,000,000","5,612,000,000","6,397,000,000","6,074,000,000","6,746,000,000","7,127,326,000","7,563,413,000","6,991,224,000","7,770,621,000","6,573,186,000","5,800,570,000","4,422,108,000","2,260,274,000","2,075,154,000","1,609,538,000","1,316,001,000","162,108,000","100,384,000","112,187,000","103,594,000"
WorkingCapital,"1,355,000,000","2,842,000,000","2,945,000,000","2,891,000,000","2,081,000,000","2,409,000,000","241,000,000","292,000,000","1,145,000,000","2,490,527,000","2,385,874,000","1,854,691,000","2,898,446,000","1,458,494,000","3,784,369,000","2,210,860,000","-114,187,000","358,909,000","184,338,000","792,566,000","49,373,000","50,745,000",,
InvestedCapital,"18,147,000,000","19,859,000,000","16,791,000,000","16,977,000,000","17,679,000,000","17,669,000,000","16,126,000,000","15,772,000,000","16,161,000,000","17,206,233,000","17,425,753,000","17,291,909,000","17,883,666,000","16,093,079,000","16,230,720,000","14,594,780,000","9,832,604,000","6,217,792,000","3,242,764,000","3,105,929,000","1,728,603,000","1,452,696,000","112,187,000","103,594,000"
TangibleBookValue,"3,520,000,000","3,817,000,000","1,977,000,000","2,948,000,000","5,145,000,000","5,612,000,000","6,397,000,000","6,074,000,000","6,746,000,000","7,127,326,000","7,563,413,000","6,991,224,000","7,770,621,000","5,862,451,000","5,155,129,000","4,124,042,000","2,260,274,000","2,075,154,000","1,609,538,000","1,316,001,000","162,108,000","100,384,000","112,187,000","103,594,000"
TotalDebt,"14,029,000,000","15,978,000,000","14,795,000,000","14,004,000,000","12,492,000,000","11,985,000,000","9,640,000,000","9,595,000,000","9,344,000,000","9,992,647,000","9,760,259,000","10,230,067,000","10,032,977,000","10,140,823,000","11,025,462,000","10,470,738,000","7,572,330,000","4,142,638,000","1,633,226,000","1,789,928,000","1,566,495,000","1,352,312,000",,
NetDebt,"8,924,000,000","9,667,000,000","12,941,000,000","11,922,000,000","8,266,000,000","7,337,000,000","7,221,000,000","7,467,000,000","7,165,000,000","6,486,328,000","6,159,845,000","7,717,301,000","6,130,259,000","7,103,742,000","6,070,046,000","7,432,575,000","6,715,180,000","3,674,572,000","1,176,380,000","495,030,000","1,413,702,000","1,245,829,000",,
ShareIssued,"833,000,000","833,000,000","833,000,000","833,000,000","833,000,000","832,000,000","831,000,000","830,000,000","830,051,259","829,280,328","827,273,217","824,297,756","733,249,698","707,507,982","660,322,749","652,831,025","355,271,070","354,492,452","354,179,580","354,160,692","354,160,692","354,160,692","354,160,692","354,160,692"
OrdinarySharesNumber,"753,000,000","764,000,000","764,000,000","764,000,000","764,000,000","775,000,000","789,000,000","795,000,000","794,645,310","798,258,172","818,702,936","824,297,756","733,249,698","707,507,982","660,322,749","652,831,025","355,271,070","354,492,452","354,179,580","354,160,692","354,160,692","354,160,692","354,160,692","354,160,692"
PreferredSharesNumber,,,,,,,,,,,,,,"3,614,923","4,089,999","5,196,300",,,,,,,,
TreasurySharesNumber,"80,000,000","69,000,000","69,000,000","69,000,000","69,000,000","57,000,000","42,000,000","35,000,000","35,405,949","31,022,156","8,570,281",,,,,,,,,,,,,
