name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993
		OtherEquityInterest,,,,,,,,,,,,,,,,,,,,,,,,,,"82,900,000","77,200,000","74,100,000","71,200,000","21,500,000","20,200,000"
TotalCapitalization,"3,830,847,000","3,310,901,000","3,760,555,000","4,263,475,000","4,287,867,000","3,770,789,000","3,631,436,000","3,514,155,000","3,351,332,000","3,406,815,000","3,362,462,000","3,204,041,000","3,641,763,000","3,566,958,000","3,369,905,000","3,006,782,000","1,667,626,000","1,474,266,000","1,171,230,000","1,048,139,000","905,262,000","840,994,000","721,909,000","554,194,000","493,700,000","388,600,000","204,600,000","156,000,000","134,300,000","70,700,000","58,500,000"
CommonStockEquity,"-1,739,278,000","-1,060,752,000","-66,423,000","140,258,000","397,340,000","353,667,000","653,046,000","1,627,136,000","1,961,314,000","2,018,418,000","1,966,321,000","2,108,307,000","2,844,851,000","3,209,685,000","2,685,865,000","2,282,218,000","1,592,477,000","1,364,096,000","1,145,769,000","947,817,000","784,285,000","650,524,000","556,291,000","463,731,000","403,000,000","218,400,000","182,000,000","155,800,000","133,900,000","70,200,000","57,800,000"
CapitalLeaseObligations,"2,270,880,000","2,173,377,000","2,039,589,000","2,041,469,000","1,971,358,000","0",,,,,,,,,,,,,,,,,,,,,,,,,
NetTangibleAssets,"-2,686,744,000","-1,991,416,000","-945,763,000","-740,772,000","-539,474,000","-453,593,000","-136,012,000","841,737,000","1,204,172,000","1,262,034,000","1,210,096,000","1,349,897,000","2,100,944,000","2,465,710,000","1,941,552,000","1,561,710,000","1,542,030,000","1,364,096,000","1,145,769,000","947,817,000","784,285,000","650,524,000","556,291,000","463,731,000","403,000,000","218,400,000","182,000,000","155,800,000","133,900,000","70,200,000","57,800,000"
WorkingCapital,"-2,103,051,000","-2,015,558,000","-1,370,353,000","-762,630,000","-635,765,000","-350,918,000","-249,694,000","-142,674,000","-36,372,000","252,082,000","412,191,000","460,083,000","1,027,600,000","1,072,294,000","1,007,576,000","821,932,000","573,328,000","566,892,000","424,974,000","479,662,000","441,617,000","483,623,000","429,527,000","296,272,000","249,400,000","208,400,000","93,700,000","74,500,000","80,400,000","41,400,000","41,200,000"
InvestedCapital,"3,830,847,000","3,310,901,000","3,760,555,000","4,263,475,000","4,287,867,000","3,770,789,000","3,631,436,000","3,514,155,000","3,351,332,000","3,406,840,000","3,362,529,000","3,204,263,000","3,642,425,000","3,568,389,000","3,476,613,000","3,014,913,000","1,692,946,000","1,474,575,000","1,246,543,000","1,048,731,000","906,187,000","841,676,000","738,752,000","603,315,000","513,100,000","402,300,000","204,700,000","159,200,000","134,500,000","71,000,000","59,000,000"
TangibleBookValue,"-2,686,744,000","-1,991,416,000","-945,763,000","-740,772,000","-539,474,000","-453,593,000","-136,012,000","841,737,000","1,204,172,000","1,262,034,000","1,210,096,000","1,349,897,000","2,100,944,000","2,465,710,000","1,941,552,000","1,561,710,000","1,542,030,000","1,364,096,000","1,145,769,000","947,817,000","784,285,000","650,524,000","556,291,000","463,731,000","403,000,000","218,400,000","182,000,000","155,800,000","133,900,000","70,200,000","57,800,000"
TotalDebt,"7,841,005,000","6,545,030,000","5,866,567,000","6,164,686,000","5,861,885,000","3,417,122,000","2,978,390,000","1,887,019,000","1,390,018,000","1,388,422,000","1,396,208,000","1,095,956,000","797,574,000","358,704,000","790,748,000","732,695,000","100,469,000","110,479,000","100,774,000","100,914,000","121,902,000","191,152,000","182,461,000","139,584,000","110,100,000","183,900,000","22,700,000","3,400,000","600,000","800,000","1,200,000"
NetDebt,"5,290,993,000","4,263,070,000","3,464,865,000","3,657,577,000","3,850,121,000","3,385,807,000","2,932,042,000","1,740,421,000","1,273,717,000","1,137,862,000","1,164,890,000","847,828,000","436,022,000","328,983,000","763,813,000","701,394,000","52,914,000","80,576,000","69,390,000","31,886,000","100,808,000","161,819,000","167,420,000","130,380,000","100,300,000","182,200,000","20,400,000","2,200,000",,,
ShareIssued,"59,072,792","62,353,221","67,029,042","71,123,109","75,618,659","79,043,919","84,302,187","92,851,815","97,737,171","101,602,935","105,939,766","112,963,413","127,179,792","141,025,544","137,468,063","134,952,674","115,260,564","113,929,327","112,389,002","110,754,260","109,329,952","106,742,484","105,701,426","103,089,758","101,598,000","85,400,000","84,500,000","83,752,000","82,896,000","69,432,000","68,984,000"
OrdinarySharesNumber,"59,072,792","62,353,221","67,029,042","71,123,109","75,618,659","79,043,919","84,302,187","92,851,815","97,737,171","101,602,935","105,939,766","112,963,413","127,179,792","141,025,544","137,468,063","134,952,674","115,260,564","113,929,327","112,389,002","110,754,260","109,329,952","106,742,484","105,701,426","103,089,758","101,598,000","85,400,000","84,500,000","83,752,000","82,896,000","69,432,000","68,984,000"
