name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992
	CashFlowFromContinuingInvestingActivities,"-63,237,000","-75,123,000","-62,793,000","-63,512,000","-41,071,000","-32,575,000","-38,799,000","-56,498,000","-46,274,000","-38,952,000","-55,034,000","-49,438,000","-49,120,000","-27,386,000","-28,435,000","-35,555,000","-26,232,000","-55,323,000","-61,582,000","-7,086,000","-17,763,000","-14,086,000","-19,908,000","-22,257,000","-58,984,000","-95,200,000","-63,000,000","-53,700,000","-77,600,000","-36,300,000","-34,700,000","-16,400,000","-2,500,000"
		NetPPEPurchaseAndSale,"-67,559,000","-73,163,000","-78,391,000","-68,559,000","-35,652,000","-37,711,000","-42,028,000","-52,593,000","-55,554,000","-38,972,000","-48,655,000","-50,750,000","-42,628,000","-29,319,000","-31,125,000","-33,538,000","-29,271,000","-31,148,000","-39,066,000","-17,485,000","-17,224,000","-15,299,000","-18,120,000","-24,747,000","-59,437,000","-81,200,000","-70,900,000","-44,500,000","-28,800,000","-32,700,000","-18,600,000","-7,200,000","-2,200,000"
			PurchaseOfPPE,"-71,016,000","-76,620,000","-78,391,000","-68,559,000","-35,652,000","-37,711,000","-42,028,000","-52,593,000","-55,554,000","-38,972,000","-48,655,000","-50,750,000","-42,628,000","-29,319,000","-31,125,000","-33,538,000","-29,271,000","-31,148,000","-39,352,000","-17,546,000","-20,950,000","-16,315,000","-18,806,000","-31,479,000","-59,437,000","-81,200,000","-70,900,000","-44,500,000","-28,800,000","-32,700,000","-18,600,000","-7,300,000","-2,200,000"
			SaleOfPPE,,"3,457,000","0","0",,,,,,,,,,,,,,,"286,000","61,000","3,726,000","1,016,000","686,000","6,732,000",,,,,,,,"100,000",
		NetBusinessPurchaseAndSale,"-4,118,000","-5,613,000","12,369,000","-699,000","0","13,495,000","7,707,000","-21,000","3,492,000","-922,000","-4,373,000","0","-5,267,000","0","1,397,000","366,000","1,962,000","-24,351,000","-30,643,000","-4,475,000",,"-150,000","-781,000","-1,306,000","-6,623,000",,,,,,,,
			PurchaseOfBusiness,,"-5,613,000","-1,219,000","-699,000","0","0","0","-21,000","-13,352,000","-922,000","-4,773,000","0","-6,175,000","0","0","-464,000","-183,000","-24,983,000",,,,,,,,,,,,,,,
			SaleOfBusiness,"1,495,000","0","13,588,000","0","0","13,495,000","7,707,000","0","16,844,000","0","400,000","0","908,000","0","1,397,000","830,000","2,145,000","632,000",,,,,,,,,,,,,,,
		NetInvestmentPurchaseAndSale,,,"13,588,000","0","-5,435,000","-10,248,000","-4,658,000",,,,,"973,000","-1,261,000","-3,592,000","3,918,000","8,496,000","844,000","144,000","4,969,000","13,315,000","-1,035,000","237,000","-4,318,000","1,973,000","15,070,000","23,700,000","10,200,000","5,300,000","-38,400,000","-2,800,000","-13,700,000","-8,300,000",
			PurchaseOfInvestment,,,,,"-16,589,000","-15,864,000","-10,463,000",,,,,"-6,095,000","-4,903,000","-3,721,000","-3,186,000","-12,822,000","-2,100,000","-6,844,000","-2,014,000","-8,565,000","-6,049,000","-738,000","-4,318,000","-3,424,000",,"-22,900,000","-34,100,000","-41,400,000","-65,000,000","-15,200,000","-64,900,000","-24,200,000",
			SaleOfInvestment,,,"13,588,000","0","11,154,000","5,616,000","5,805,000",,,,,"7,068,000","3,642,000","129,000","3,918,000","8,496,000","2,944,000","6,988,000","6,983,000","21,880,000","5,014,000","975,000",,"5,397,000","15,070,000","46,600,000","44,300,000","46,700,000","26,600,000","12,400,000","51,200,000","15,900,000",
		NetOtherInvestingChanges,"8,440,000","3,653,000","3,229,000","5,746,000","-5,419,000","-8,359,000","-4,478,000","-3,884,000","5,788,000","942,000","-2,006,000","1,312,000","-1,225,000","1,933,000","-2,625,000","-10,879,000","233,000","32,000","3,158,000","1,559,000","496,000","1,126,000","3,311,000","1,823,000","-7,994,000","-37,700,000","-2,300,000","-14,500,000","-10,400,000","-800,000","-2,400,000","-900,000","-300,000"
	CashFromDiscontinuedInvestingActivities,,,,,,,,,,,,,,,,,"0","0","8,020,000",,,,,,,,,,,,,,
FinancingCashFlow,"-96,884,000","-124,076,000","-76,240,000","-180,526,000","-43,461,000","-34,574,000","-48,097,000","-72,060,000","-109,030,000","-130,278,000","-60,923,000","-54,715,000","-57,929,000","-102,601,000","-43,218,000","-53,054,000","-44,129,000","-10,617,000","-41,327,000","-69,404,000","-16,977,000","-77,816,000","-84,024,000","-62,383,000","-14,990,000","-20,500,000","15,900,000","6,500,000","51,900,000","31,400,000","36,100,000","10,300,000","-1,600,000"
	CashFlowFromContinuingFinancingActivities,"-96,884,000","-124,076,000","-76,240,000","-180,526,000","-43,461,000","-34,574,000","-48,097,000","-72,060,000","-109,030,000","-130,278,000","-60,923,000","-54,715,000","-57,929,000","-102,601,000","-43,218,000","-53,054,000","-44,129,000","-10,617,000","-41,327,000","-69,404,000","-16,977,000","-77,816,000","-84,024,000","-62,383,000","-14,990,000","-20,500,000","15,900,000","6,500,000","51,900,000","31,400,000","36,100,000","10,300,000","-1,600,000"
		NetIssuancePaymentsOfDebt,"-34,453,000","150,179,000","109,584,000","135,434,000","-20,000,000","-255,026,000","143,585,000","169,425,000","44,575,000","25,549,000","72,551,000","69,642,000","36,769,000","-47,511,000","0","-31,575,000","-12,125,000","45,675,000","41,925,000","-37,475,000","31,279,000","-78,835,000","34,775,000","-41,315,000","138,284,000","-7,300,000","1,300,000","500,000","49,200,000","-500,000","-400,000","-1,200,000","-300,000"
			NetLongTermDebtIssuance,"-9,948,000","-8,821,000","-5,416,000","55,434,000","-20,000,000","-15,000,000","-20,000,000","395,000,000","0","25,549,000","72,551,000","69,642,000","36,769,000","-47,511,000","0","-24,500,000",,,,,,,,,,,,,,,,,
				LongTermDebtIssuance,,"0","0","400,000,000","0","0","0","400,000,000","0","25,549,000","72,551,000","69,642,000","36,769,000",,,,,,,,,,,,,,,,,,,,
				LongTermDebtPayments,"-9,948,000","-8,821,000","-5,416,000","-344,566,000","-20,000,000","-15,000,000","-20,000,000","-5,000,000","0","0",,,,"-47,511,000",,,,,,,,,,,,,,,,,,,
			NetShortTermDebtIssuance,"-24,505,000","159,000,000","115,000,000","80,000,000","0","-240,026,000","163,585,000","-225,575,000","44,575,000","25,549,000","72,551,000","69,642,000","36,769,000","0","0","-7,075,000","-12,125,000","45,675,000",,,,,,,,,,,,,,,
				ShortTermDebtIssuance,"-24,505,000","159,000,000","115,000,000","80,000,000",,,"163,585,000","-225,575,000","44,575,000","25,549,000","72,551,000","69,642,000","36,769,000",,,,,"45,675,000",,,,,,,,,,,,,,,
				ShortTermDebtPayments,,,,,"0","-240,026,000",,"-225,575,000",,,,,,"0","0","-7,075,000","-12,125,000",,,,,,,,,,,,,,,,
		NetCommonStockIssuance,"0","-210,348,000","-125,000,000","-72,499,000","-2,701,000","0","-158,049,000","-209,586,000","-122,381,000","-119,793,000","-117,400,000","-118,569,000","-106,095,000","-65,323,000","-46,936,000","-28,477,000","-37,697,000","-72,871,000","-91,078,000","-32,229,000","-50,725,000","703,000","-119,284,000","-20,944,000","-154,068,000","-17,200,000","11,700,000","3,500,000","2,700,000","30,000,000","34,300,000","17,600,000",
			CommonStockIssuance,,,,,,,,,,,,,,,,,,"12,219,000","15,214,000","43,096,000","18,186,000","6,619,000","9,132,000","8,410,000","2,162,000","14,500,000","11,700,000","3,500,000","2,700,000","30,000,000","35,000,000","18,000,000",
			CommonStockPayments,"0","-210,348,000","-125,000,000","-72,499,000","-2,701,000","0","-158,049,000","-209,586,000","-122,381,000","-119,793,000","-117,400,000","-118,569,000","-106,095,000","-65,323,000","-46,936,000","-28,477,000","-37,697,000","-72,871,000","-106,292,000","-75,325,000","-68,911,000","-5,916,000","-128,416,000","-29,354,000","-156,230,000","-31,700,000",,,,,"-700,000","-400,000",
		NetPreferredStockIssuance,,"0","0","-188,647,000","0","252,530,000","0","0",,,,,,,,,,,,,,,,,,,,,,,,,
			PreferredStockIssuance,,,,"0","0","252,530,000","0","0",,,,,,,,,,,,,,,,,,,,,,,,,
			PreferredStockPayments,,"0","0","-188,647,000","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,
		CashDividendsPaid,"-60,178,000","-58,451,000","-54,767,000","-46,750,000","-43,011,000","-38,572,000","-28,985,000","-30,720,000","-27,896,000","-24,844,000","-21,735,000","-10,797,000","0","0",,,,,,,,,,,,,,,,,,"-6,100,000","-1,200,000"
			CommonStockDividendPaid,"-60,178,000","-58,451,000","-54,767,000","-40,356,000","-29,362,000","-28,552,000","-28,985,000","-30,720,000","-27,896,000","-24,844,000","-21,735,000","-10,797,000","0","0",,,,,,,,,,,,,,,,,,,
			PreferredStockDividendPaid,,"0","0","-6,394,000","-13,649,000","-10,020,000","0","0",,,,,,,,,,,,,,,,,,,,,,,,,
		ProceedsFromStockOptionExercised,"2,503,000","2,252,000","4,036,000","11,969,000","30,622,000","16,010,000","2,699,000","6,260,000","7,060,000","5,197,000","5,837,000","6,865,000","12,264,000","14,042,000","6,410,000","9,830,000","5,394,000","15,544,000",,,,,,,,,,,,,,,
		NetOtherFinancingCharges,"-4,756,000","-7,708,000","-10,093,000","-20,033,000","-8,371,000","-9,516,000","-7,347,000","-7,439,000","-10,388,000","-16,387,000","-176,000","-1,856,000","-867,000","-3,809,000","-2,692,000","-2,832,000","299,000","1,035,000","7,826,000","300,000","2,469,000","316,000","485,000","-124,000","794,000","4,000,000","2,900,000","2,500,000","0","1,900,000","2,200,000","0","-100,000"
EndCashPosition,"24,928,000","40,587,000","47,373,000","70,610,000","130,204,000","27,911,000","33,258,000","22,345,000","15,563,000","21,006,000","20,122,000","13,670,000","16,396,000","18,942,000","47,829,000","26,839,000","10,987,000","8,877,000","12,979,000","22,098,000","14,698,000","7,071,000","9,499,000","17,609,000","6,141,000","3,700,000","33,800,000","18,800,000","0","0","0","0","0"
	ChangesInCash,"-18,844,000","-6,144,000","-21,225,000","-59,363,000","101,907,000","-5,400,000","5,558,000","6,417,000","-5,047,000","1,233,000","6,675,000","-2,793,000","-2,670,000","-28,979,000","20,928,000","15,217,000","2,702,000","-4,349,000","-9,288,000","7,795,000","7,042,000","-7,061,000","-8,381,000","11,748,000","2,744,000","-30,100,000","14,900,000","-5,300,000","4,100,000","7,100,000","11,900,000","300,000","100,000"
	EffectOfExchangeRateChanges,"-623,000","-642,000","-2,012,000","-231,000","386,000","53,000","-191,000","365,000","-396,000","-349,000","-223,000","67,000","124,000","92,000","62,000","176,000","-592,000","247,000","169,000","-395,000","331,000","387,000","271,000","-280,000","-301,000",,,,,,,,
	BeginningCashPosition,"43,772,000","47,373,000","70,610,000","130,204,000","27,911,000","33,258,000","27,891,000","15,563,000","21,006,000","20,122,000","13,670,000","16,396,000","18,942,000","47,829,000","26,839,000","11,446,000","8,877,000","12,979,000","22,098,000","14,698,000","7,325,000","13,745,000","17,609,000","6,141,000","3,698,000","33,800,000","18,800,000","24,000,000","19,900,000","12,800,000","800,000","500,000","300,000"
	OtherCashAdjustmentOutsideChangeinCash,,,,,,,,,,,,,,,,"1,087,000",,,,,,,,,,,"100,000","100,000","-24,000,000","-19,900,000","-12,700,000","-800,000","-400,000"
CapitalExpenditure,"-71,016,000","-76,620,000","-78,391,000","-68,559,000","-35,652,000","-37,711,000","-42,028,000","-52,593,000","-55,554,000","-38,972,000","-48,655,000","-50,750,000","-42,628,000","-29,319,000","-31,125,000","-33,538,000","-29,271,000","-31,148,000","-39,352,000","-17,546,000","-20,950,000","-16,315,000","-18,806,000","-31,479,000","-59,437,000","-81,200,000","-70,900,000","-44,500,000","-28,800,000","-32,700,000","-18,600,000","-7,300,000","-2,200,000"
IssuanceOfCapitalStock,,,,"0","0","252,530,000","0","0",,,,,,,,,,"12,219,000","15,214,000","43,096,000","18,186,000","6,619,000","9,132,000","8,410,000","2,162,000","14,500,000","11,700,000","3,500,000","2,700,000","30,000,000","35,000,000","18,000,000",
IssuanceOfDebt,"-24,505,000","159,000,000","115,000,000","480,000,000","0","0","163,585,000","400,000,000","44,575,000","25,549,000","72,551,000","69,642,000","36,769,000",,,,,"45,675,000",,,,,,,,,,,,,,,
RepaymentOfDebt,"-9,948,000","-8,821,000","-5,416,000","-344,566,000","-20,000,000","-15,000,000","-20,000,000","-230,575,000","0","0",,,,"-47,511,000","0","-7,075,000","-12,125,000",,,,,,,,,,,,,,,,
RepurchaseOfCapitalStock,"0","-210,348,000","-125,000,000","-261,146,000","-2,701,000","0","-158,049,000","-209,586,000","-122,381,000","-119,793,000","-117,400,000","-118,569,000","-106,095,000","-65,323,000","-46,936,000","-28,477,000","-37,697,000","-72,871,000","-106,292,000","-75,325,000","-68,911,000","-5,916,000","-128,416,000","-29,354,000","-156,230,000","-31,700,000",,,,,"-700,000","-400,000",
FreeCashFlow,"70,261,000","116,435,000","39,417,000","116,116,000","150,787,000","24,038,000","50,426,000","82,382,000","94,703,000","131,491,000","73,977,000","50,610,000","61,751,000","71,689,000","61,456,000","70,288,000","43,792,000","30,443,000","46,249,000","66,739,000","20,832,000","68,526,000","76,745,000","64,909,000","17,281,000","4,400,000","-8,900,000","-2,600,000","1,000,000","-20,700,000","-8,100,000","-900,000","2,000,000"
ForeignSales,,,,,,,,,,,,,,,,,"38,717,000",,"23,209,000","18,389,000","32,837,000","34,005,000",,,,,,,,,,,
