name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012
TotalRevenue,"11,391,000,000","11,528,000,000","10,821,000,000","9,570,000,000","3,628,000,000","2,528,000,000","2,056,000,000","1,480,798,000","900,465,000","719,784,000","361,823,000","247,186,000","254,740,000"
	OperatingRevenue,"10,082,000,000","10,185,000,000","9,550,000,000","8,518,000,000","3,274,000,000","2,409,000,000","1,984,000,000","1,430,611,000","855,694,000","758,464,000","397,074,000","279,869,000","285,812,000"
CostOfRevenue,"5,411,000,000","5,395,000,000","5,401,000,000","4,647,000,000","1,846,000,000","1,289,000,000","1,131,000,000","813,668,000","546,806,000","446,783,000","225,498,000","146,076,000","148,438,000"
GrossProfit,"5,980,000,000","6,133,000,000","5,420,000,000","4,923,000,000","1,782,000,000","1,239,000,000","925,000,000","667,130,000","353,659,000","273,001,000","136,325,000","101,110,000","106,302,000"
OperatingExpense,"3,559,000,000","3,579,000,000","3,559,000,000","3,217,000,000","1,680,000,000","791,000,000","584,000,000","460,841,000","254,939,000","201,487,000","113,980,000","78,484,000","81,311,000"
	SellingGeneralAndAdministration,"1,969,000,000","2,012,000,000","2,068,000,000","1,782,000,000","902,000,000","503,000,000","381,000,000","324,211,000","171,610,000","128,097,000","80,720,000","61,453,000","63,660,000"
		GeneralAndAdministrativeExpense,"1,969,000,000","2,012,000,000","2,068,000,000","1,782,000,000","902,000,000","503,000,000","381,000,000","241,037,000","130,720,000","96,870,000","58,738,000","43,713,000","44,936,000"
			OtherGandA,"1,969,000,000","2,012,000,000","2,068,000,000","1,782,000,000","902,000,000","503,000,000","381,000,000","241,037,000","130,720,000","96,870,000","58,738,000","43,713,000","44,936,000"
		SellingAndMarketingExpense,,,,,,"129,373,000","106,161,000","83,174,000","40,890,000","31,227,000","21,982,000","17,740,000","18,724,000"
	DepreciationAmortizationDepletionIncomeStatement,"1,291,000,000","1,261,000,000","1,205,000,000","1,126,000,000","583,000,000","222,000,000","157,000,000","105,891,000","63,449,000","56,921,000","28,643,000","17,031,000","17,651,000"
		DepreciationAndAmortizationInIncomeStatement,"1,291,000,000","1,261,000,000","1,205,000,000","1,126,000,000","583,000,000","222,000,000","157,000,000","105,891,000","63,449,000","56,921,000","28,643,000","17,031,000","17,651,000"
	OtherOperatingExpenses,"299,000,000","306,000,000","286,000,000","309,000,000","195,000,000","66,000,000","46,000,000","30,739,000","19,880,000","16,469,000","4,617,000",,
OperatingIncome,"2,421,000,000","2,554,000,000","1,861,000,000","1,706,000,000","102,000,000","448,000,000","341,000,000","206,289,000","98,720,000","71,514,000","22,345,000","22,626,000","24,991,000"
NetNonOperatingInterestIncomeExpense,"-2,346,000,000","-2,342,000,000","-2,265,000,000","-2,295,000,000","-1,202,000,000","-286,000,000","-172,000,000","-99,769,000","-50,917,000","-61,558,000","-30,734,000","-15,665,000","-16,055,000"
	InterestIncomeNonOperating,"9,000,000","12,000,000","12,000,000","16,000,000",,,,,,"0","18,000","16,000","14,000"
