name,07/31/2023,07/31/2022,07/31/2021,07/31/2020,07/31/2019,07/31/2018,07/31/2017,07/31/2016
TotalAssets,"614,478,000","764,535,000","819,149,000","769,429,000","616,066,000","481,585,000","257,205,000","191,600,000"
	CurrentAssets,"425,461,000","477,252,000","521,804,000","466,310,000","482,404,000","417,006,000","197,762,000","148,272,000"
		CashCashEquivalentsAndShortTermInvestments,"257,598,000","212,984,000","231,331,000","286,492,000","314,208,000","297,516,000","110,608,000","91,488,000"
			CashAndCashEquivalents,"239,437,000","130,935,000","129,785,000","143,455,000","170,932,000","297,516,000","110,608,000","91,488,000"
				CashFinancial,,,,,,"297,516,000","110,608,000","91,488,000"
			OtherShortTermInvestments,"18,161,000","82,049,000","101,546,000","143,037,000","143,276,000","0",,
		Receivables,"673,000","27,561,000","27,667,000","22,279,000",,,,
			TaxesReceivable,"673,000","27,561,000","27,667,000","22,279,000",,,,
		Inventory,"137,176,000","197,251,000","212,294,000","124,816,000","118,216,000","85,092,000","67,592,000","44,808,000"
		PrepaidAssets,,"39,456,000","50,512,000","32,723,000","49,980,000","34,148,000","19,312,000","10,585,000"
		RestrictedCash,,,,,"0","250,000","250,000","1,391,000"
		OtherCurrentAssets,"30,014,000","39,456,000","50,512,000","32,723,000","49,980,000","34,148,000","19,312,000","10,585,000"
	TotalNonCurrentAssets,"189,017,000","287,283,000","297,345,000","303,119,000","133,662,000","64,579,000","59,443,000","43,328,000"
		NetPPE,"185,855,000","235,554,000","205,524,000","202,984,000","54,888,000","34,169,000","26,733,000","19,151,000"
			GrossPPE,"323,041,000","337,314,000","284,114,000","256,401,000","85,978,000","54,580,000","37,392,000","23,397,000"
				Properties,"0","0","0","0","0","0","0","0"
				BuildingsAndImprovements,"0","430,000","430,000","430,000","402,000","402,000","0",
				MachineryFurnitureEquipment,"165,561,000","147,885,000","111,747,000","79,813,000","56,228,000","37,731,000","21,081,000","12,224,000"
				OtherProperties,"106,098,000","132,179,000","118,565,000","132,615,000",,,,
				ConstructionInProgress,"0","2,573,000","9,254,000","5,973,000","1,381,000","356,000","1,618,000","4,199,000"
				Leases,"51,382,000","54,247,000","44,118,000","37,570,000","27,967,000","16,091,000","14,693,000","6,974,000"
			AccumulatedDepreciation,"-137,186,000","-101,760,000","-78,590,000","-53,417,000","-31,090,000","-20,411,000","-10,659,000","-4,246,000"
		InvestmentsAndAdvances,"0","17,713,000","59,035,000","95,097,000","53,372,000","0",,
			InvestmentinFinancialAssets,"0","17,713,000","59,035,000","95,097,000","53,372,000","0",,
				AvailableForSaleSecurities,,"17,713,000","59,035,000","95,097,000","53,372,000",,,
		NonCurrentAccountsReceivable,,"26,091,000","27,054,000","742,000",,,,
		NonCurrentDeferredAssets,,,,"333,000","22,175,000","14,107,000","19,991,000","13,201,000"
			NonCurrentDeferredTaxesAssets,,,,"333,000","22,175,000","14,107,000","19,991,000","13,201,000"
		OtherNonCurrentAssets,"3,162,000","7,925,000","5,732,000","4,296,000","3,227,000","16,303,000","12,719,000","10,976,000"
TotalLiabilitiesNetMinorityInterest,"367,168,000","441,884,000","358,300,000","368,392,000","220,066,000","166,513,000","153,122,000","99,431,000"
	CurrentLiabilities,"238,111,000","295,570,000","228,313,000","212,155,000","182,631,000","142,232,000","133,918,000","85,073,000"
		PayablesAndAccruedExpenses,"157,894,000","216,717,000","147,178,000","145,757,000","151,123,000","112,139,000","80,969,000","58,888,000"
			Payables,"109,053,000","156,884,000","89,240,000","98,203,000","105,389,000","91,415,000","52,754,000","39,234,000"
				AccountsPayable,"103,695,000","149,748,000","79,303,000","91,069,000","98,433,000","84,349,000","49,052,000","36,588,000"
				TotalTaxPayable,"5,358,000","7,136,000","9,937,000","7,134,000","6,956,000","7,066,000","3,702,000","2,646,000"
				OtherPayable,,,"5,804,000","5,892,000","7,550,000","4,567,000","4,814,000",
			CurrentAccruedExpenses,"48,841,000","59,833,000","57,938,000","47,554,000","45,734,000","20,724,000","28,215,000","19,654,000"
		CurrentProvisions,"6,591,000","10,314,000","11,704,000","5,023,000",,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,"13,627,000","11,319,000","13,645,000","11,987,000","9,494,000","10,680,000","9,632,000","7,673,000"
		CurrentDebtAndCapitalLeaseObligation,"29,343,000","29,014,000","25,702,000","24,333,000",,,,
			CurrentCapitalLeaseObligation,"29,343,000","29,014,000","25,702,000","24,333,000","0",,,
		CurrentDeferredLiabilities,"11,551,000","14,441,000","18,154,000","13,059,000","11,997,000","8,870,000","7,150,000","4,431,000"
			CurrentDeferredRevenue,"11,551,000","14,441,000","18,154,000","13,059,000","11,997,000","8,870,000","7,150,000","4,431,000"
		OtherCurrentLiabilities,"19,105,000","13,765,000","11,930,000","11,996,000","10,017,000","10,543,000","36,167,000","14,081,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"129,057,000","146,314,000","129,987,000","156,237,000","37,435,000","24,281,000","19,204,000","14,358,000"
		LongTermDebtAndCapitalLeaseObligation,"125,418,000","141,334,000","121,623,000","140,175,000","0",,,
			LongTermCapitalLeaseObligation,"125,418,000","141,334,000","121,623,000","140,175,000","0",,,
		NonCurrentDeferredLiabilities,,,,"0","24,439,000","15,288,000","11,781,000","9,541,000"
		OtherNonCurrentLiabilities,"3,639,000","4,980,000","8,364,000","16,062,000","12,996,000","8,993,000","7,423,000","4,817,000"
TotalEquityGrossMinorityInterest,"247,310,000","322,651,000","460,849,000","401,037,000","396,000,000","315,072,000","104,083,000","92,169,000"
	StockholdersEquity,"247,310,000","322,651,000","460,849,000","401,037,000","396,000,000","315,072,000","104,083,000","92,169,000"
		CapitalStock,"2,000","2,000","2,000","2,000","2,000","2,000","42,223,000","42,222,000"
			PreferredStock,,,,,,"0","42,222,000","42,222,000"
			CommonStock,"2,000","2,000","2,000","2,000","2,000","2,000","1,000","0"
		AdditionalPaidInCapital,"615,236,000","522,658,000","416,755,000","348,750,000","279,511,000","235,312,000","27,002,000","10,938,000"
		RetainedEarnings,"-338,413,000","-166,440,000","40,681,000","49,557,000","116,674,000","79,758,000","34,858,000","39,009,000"
		TreasuryStock,"30,042,000","30,042,000","0",,,,,
		GainsLossesNotAffectingRetainedEarnings,"527,000","-3,527,000","3,411,000","2,728,000","-187,000","0",,
			OtherEquityAdjustments,"527,000","-3,527,000","3,411,000","2,728,000","-187,000",,,
TotalCapitalization,"247,310,000","322,651,000","460,849,000","401,037,000","396,000,000","315,072,000","104,083,000","92,169,000"
PreferredStockEquity,,,,,,,"42,222,000","42,222,000"
CommonStockEquity,"247,310,000","322,651,000","460,849,000","401,037,000","396,000,000","315,072,000","61,861,000","49,947,000"
CapitalLeaseObligations,"154,761,000","170,348,000","147,325,000","164,508,000","0",,,
NetTangibleAssets,"247,310,000","322,651,000","460,849,000","401,037,000","396,000,000","315,072,000","104,083,000","92,169,000"
WorkingCapital,"187,350,000","181,682,000","293,491,000","254,155,000","299,773,000","274,774,000","63,844,000","63,199,000"
