name,ttm,08/31/2023,08/31/2022,08/31/2021,08/31/2020,08/31/2019,08/31/2018,08/31/2017,08/31/2016,08/31/2015,08/31/2014,08/31/2013,08/31/2012,08/31/2011,08/31/2010,08/31/2009,08/31/2008,08/31/2007,08/31/2006,08/31/2005,08/31/2004,08/31/2003,08/31/2002,08/31/2001,08/31/2000,08/31/1999,08/31/1998,08/31/1997,08/31/1996,08/31/1995,08/31/1994,08/31/1993,08/31/1992,08/31/1991,08/31/1990
OperatingCashFlow,"3,001,878,000","2,940,788,000","3,211,135,000","3,518,543,000","2,720,108,000","2,128,513,000","2,080,292,000","1,570,612,000","1,641,060,000","1,573,018,000","1,341,234,000","1,415,011,000","1,223,981,000","1,291,538,000","1,196,252,000","923,808,000","921,100,000","845,194,000","822,747,000","648,083,000","638,379,000","698,255,000","739,091,000","458,937,000","512,960,000","307,400,000","367,100,000","177,600,000","179,100,000","180,100,000","128,300,000","117,000,000","109,300,000","35,700,000","43,900,000"
	CashFlowFromContinuingOperatingActivities,"3,001,878,000","2,940,788,000","3,211,135,000","3,518,543,000","2,720,108,000","2,128,513,000","2,080,292,000","1,570,612,000","1,641,060,000","1,573,018,000","1,341,234,000","1,415,011,000","1,223,981,000","1,291,538,000","1,196,252,000","923,808,000","921,100,000","845,194,000","822,747,000","648,083,000","638,379,000","698,255,000","739,091,000","458,937,000","512,960,000","307,400,000","367,100,000","177,600,000","179,100,000","180,100,000","128,300,000","117,000,000","109,300,000","35,700,000","43,900,000"
		NetIncomeFromContinuingOperations,"2,625,060,000","2,528,426,000","2,429,604,000","2,170,314,000","1,732,972,000","1,617,221,000","1,337,536,000","1,280,869,000","1,241,007,000","1,160,241,000","1,069,744,000","1,016,480,000","930,373,000","848,974,000","738,311,000","657,049,000","641,606,000","595,672,000","569,275,000","571,019,000","566,202,000","517,604,000","428,148,000","175,526,000","267,590,000","244,800,000","227,900,000","195,000,000","167,200,000","138,800,000","116,400,000","86,900,000","63,300,000","44,000,000","23,300,000"
		OperatingGainsLosses,,,,,,,,,,,,,,,,,,"-1,913,000",,"51,619,000","-17,755,000","37,402,000","42,159,000","170,317,000","4,050,000",,"300,000",,"4,200,000",,"600,000",,,,"400,000"
		DepreciationAmortizationDepletion,"532,906,000","497,577,000","442,223,000","407,683,000","397,466,000","369,957,000","345,084,000","323,051,000","297,397,000","269,919,000","251,267,000","227,251,000","211,831,000","196,209,000","192,084,000","180,433,000","169,509,000","161,130,000","141,024,000","137,940,000","111,121,000","109,748,000","118,255,000","131,333,000","126,800,000","128,500,000","96,600,000","77,800,000","63,500,000","48,300,000","33,100,000","21,300,000","13,700,000","9,500,000","8,300,000"
			DepreciationAndAmortization,"532,906,000","497,577,000","442,223,000","407,683,000","397,466,000","369,957,000","345,084,000","323,051,000","297,397,000","269,919,000","251,267,000","227,251,000","211,831,000","196,209,000","192,084,000","180,433,000","169,509,000","161,130,000","141,024,000","137,940,000","111,121,000","109,748,000","118,255,000","131,333,000","126,800,000","128,500,000","96,600,000","77,800,000","63,500,000","48,300,000","33,100,000","21,300,000","13,700,000","9,500,000","8,300,000"
				Depreciation,,,,,,"369,957,000","345,084,000","323,051,000","297,397,000","269,919,000","251,267,000","227,251,000","211,831,000","196,209,000","192,084,000","180,433,000","169,509,000","159,411,000","139,465,000","135,597,000","106,891,000",,,"122,576,000","117,932,000",,,,,,,,,,
				AmortizationCashFlow,,,,,,,,,,,,,,"8,962,000",,,,"1,719,000","1,559,000","2,343,000","4,230,000",,,"8,757,000","8,868,000",,,,,,,,,,
					AmortizationOfIntangibles,,,,,,,,,,,,,,"8,962,000",,,,"1,719,000","1,559,000","2,343,000","4,230,000",,,"8,757,000","8,868,000",,,,,,,,,,
		DeferredTax,"-13,267,000","-25,707,000","185,594,000","-34,432,000","51,077,000","35,051,000","-124,261,000","74,902,000","45,019,000","35,971,000","-14,698,000","19,704,000","25,557,000","44,667,000","-9,023,000","46,318,000","67,474,000","24,844,000","36,306,000","-16,628,000","44,498,000","65,701,000","28,483,000","-46,981,000","39,338,000","42,900,000","20,200,000","-7,800,000","6,100,000","-7,200,000","-300,000","-6,600,000","-2,300,000","-4,000,000","-2,600,000"
			DeferredIncomeTax,"-13,267,000","-25,707,000","185,594,000","-34,432,000","51,077,000","35,051,000","-124,261,000","74,902,000","45,019,000","35,971,000","-14,698,000","19,704,000","25,557,000","44,667,000","-9,023,000","46,318,000","67,474,000","24,844,000","36,306,000","-16,628,000","44,498,000","65,701,000","28,483,000","-46,981,000","39,338,000","42,900,000","20,200,000","-7,800,000","6,100,000","-7,200,000","-300,000","-6,600,000","-2,300,000","-4,000,000","-2,600,000"
		AmortizationOfSecurities,,,,,,,,,,,,,,,"6,495,000","3,644,000","1,837,000",,,,,,,,,,,,,,,,,,
		AssetImpairmentCharge,,,,,,"0","193,162,000","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"102,012,000","93,087,000","70,612,000","56,112,000","44,835,000","43,255,000","43,674,000","38,244,000","39,825,000","40,995,000","39,390,000","37,307,000","33,363,000","26,625,000","19,120,000","19,135,000","18,388,000",,,,,,,,,,,,,,,,,,
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,,,"-63,731,000","-47,895,000","-23,771,000","-66,752,000","-63,041,000","-34,945,000","-22,251,000","-8,407,000","-10,142,000",,,,,,,,,,,,,,,,,,
		OtherNonCashItems,"-58,646,000","53,264,000","26,276,000","12,858,000","10,730,000","8,162,000","127,060,000","-9,392,000","-44,741,000","6,230,000","-10,054,000","8,239,000","8,066,000","8,962,000","6,495,000","3,644,000","1,837,000","1,939,000","6,762,000",,,,,,,"100,000","-20,800,000","-2,800,000","3,000,000","2,000,000","-100,000","700,000","600,000","800,000","1,000,000"
		ChangeInWorkingCapital,"-186,187,000","-205,859,000","56,826,000","906,008,000","483,028,000","54,867,000","158,037,000","-137,062,000","62,553,000","59,662,000","29,356,000","172,782,000","77,832,000","201,046,000","271,516,000","25,636,000","32,428,000","63,522,000","69,380,000","-95,867,000","-65,687,000","-32,200,000","122,046,000","28,742,000","75,182,000","-108,900,000","42,900,000","-84,600,000","-64,900,000","-1,800,000","-21,400,000","14,700,000","34,000,000","-14,600,000","13,500,000"
			ChangeInReceivables,"-111,541,000","-6,674,000","-125,732,000","-11,039,000","-58,564,000","-48,512,000","7,534,000","7,795,000","-41,447,000","-36,466,000","-27,963,000","-8,196,000","-21,276,000","-14,605,000","782,000","-56,823,000","-11,145,000","20,487,000","37,900,000","-42,485,000","-26,101,000","-27,468,000","-12,879,000","10,562,000","7,764,000","20,400,000","-15,300,000","-5,000,000","-7,600,000","-6,100,000","-1,200,000","-4,300,000","-2,600,000","-500,000","500,000"
				ChangesInAccountReceivables,"-111,541,000","-6,674,000","-125,732,000","-11,039,000","-58,564,000","-48,512,000","7,534,000","7,795,000","-41,447,000","-36,466,000","-27,963,000","-8,196,000","-21,276,000","-14,605,000","782,000","-56,823,000","-11,145,000",,,,,,,,,,,,,,,,,,
