name,ttm,03/31/2024,03/31/2023,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003
		NetIssuancePaymentsOfDebt,"-80,919,000","0","0","-506,280,000","488,753,000","-137,817,000","-190,000,000","98,000,000","156,851,000","384,798,000","131,278,000","94,529,000","-19,330,000","23,226,000","-4,281,000","-25,368,000","31,260,000","8,074,000","-2,134,000","-38,845,000","17,959,000","3,866,000"
			NetLongTermDebtIssuance,"-80,919,000","0","0","-506,280,000","488,753,000","-137,817,000","-190,000,000","98,000,000","156,851,000","384,798,000","131,278,000","94,529,000","-19,330,000","23,226,000","-4,281,000","-368,000","6,260,000","8,074,000",,,,"3,866,000"
				LongTermDebtIssuance,,,"0","0","1,288,753,000","25,000,000","505,000,000","763,000,000","1,327,601,000","650,000,000","250,000,000","100,000,000","50,000,000","60,644,000","5,262,000","7,649,000","13,214,000","11,841,000",,,,"10,395,000"
				LongTermDebtPayments,"-80,919,000","0","0","-506,280,000","-800,000,000","-162,817,000","-695,000,000","-665,000,000","-1,170,750,000","-265,202,000","-118,722,000","-5,471,000","-69,330,000","-37,418,000","-9,543,000","-8,017,000","-6,954,000","-3,767,000",,,,"-6,529,000"
			NetShortTermDebtIssuance,,,,,,,,,,,,,,"0","0","-25,000,000","25,000,000","0",,,,
				ShortTermDebtIssuance,,,,,,,,,,,,,,"30,000,000","0","0","40,000,000","14,000,000",,,,
				ShortTermDebtPayments,,,,,,,,,,,,,,"-30,000,000","0","-25,000,000","-15,000,000","-14,000,000",,,,
		NetCommonStockIssuance,"-115,000,000","-75,000,000","-125,000,000","0","0",,,,,,,,,,,,,"3,182,000","3,544,000","112,490,000","78,000",
			CommonStockIssuance,,,,,,,,,,,,,,,,,,"3,182,000","3,544,000","124,490,000","78,000",
			CommonStockPayments,"-115,000,000","-75,000,000","-125,000,000","0","0",,,,,,,,,,,,,,,"-12,000,000",,
