name,03/31/2024,03/31/2023,03/31/2022,03/31/2021,03/31/2020,03/31/2019,03/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
				InterestPayable,"46,398,000","60,504,000","52,278,000","56,711,000","20,952,000","23,250,000","25,483,000","16,317,000","19,899,000","16,918,000","16,443,000","16,444,000","16,860,000","17,360,000","10,451,000","14,733,000","15,030,000",,,,,,,,,,,,,,,,,,,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,"140,351,000","162,164,000","244,789,000","238,879,000","196,829,000","315,617,000","168,061,000","277,206,000","162,686,000","177,527,000","219,532,000","195,740,000","193,176,000","195,018,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"1,574,103,000","1,268,018,000","1,190,461,000","416,079,000","1,582,408,000","664,323,000","1,531,371,000","735,549,000","279,718,000","452,941,000","25,797,000","23,977,000","415,432,000","284,430,000","39,313,000","248,632,000","56,902,000","135,348,000","157,343,000","172,912,000","444,062,000","35,092,000","61,696,000","78,596,000","261,004,000","413,700,000","245,900,000","24,600,000","18,800,000","232,600,000","323,900,000","145,800,000","180,000,000","108,500,000","85,300,000","97,500,000","22,900,000","221,800,000","252,300,000","42,400,000"
			CurrentDebt,"1,264,659,000","935,796,000","836,513,000","12,084,000","1,229,830,000","664,323,000","1,531,371,000","735,549,000","279,718,000","452,941,000","25,797,000","23,977,000","415,432,000","284,430,000","39,313,000","248,632,000","56,902,000","135,348,000","157,343,000","172,912,000","444,062,000","35,092,000","61,696,000","78,596,000","261,004,000","413,700,000","245,900,000","24,600,000","18,800,000","232,600,000","323,900,000","145,800,000","180,000,000","108,500,000","85,300,000","97,500,000","22,900,000","221,800,000","252,300,000","42,400,000"
				CommercialPaper,"250,000,000","0","330,000,000","0","215,000,000","650,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				LineOfCredit,,,,"0","1,000,000,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				OtherCurrentBorrowings,"1,014,659,000","935,796,000","506,513,000","12,084,000","14,830,000","14,323,000","1,531,371,000","735,549,000","279,718,000","452,941,000","25,797,000","23,977,000","415,432,000","284,430,000",,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentCapitalLeaseObligation,"309,444,000","332,222,000","353,948,000","403,995,000","352,578,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,"77,886,000","81,150,000","85,765,000","60,832,000","8,779,000","5,485,000","33,590,000","38,885,000","34,498,000","29,491,000","31,773,000","40,975,000","34,825,000","35,353,000","162,460,000","130,757,000","28,521,000",,"5,119,000",,,,,,,,,,,,,,,,,,,,,
			CurrentDeferredTaxesLiabilities,,,,,,,,,,,"6,176,000","9,367,000","6,601,000","9,740,000","6,897,000","4,785,000","6,221,000",,"5,119,000",,,,,,,,,,,,,,,,,,,,,
