name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
TotalAssets,"2,793,376,000","2,525,665,000","2,511,952,000","2,325,161,000","1,983,565,000","1,469,276,000","1,330,623,000","1,179,971,000","1,032,706,000","943,142,000","877,644,000","791,254,000","740,670,000","702,801,000","662,073,000","622,663,000","546,029,000","452,588,000","312,593,000","275,854,000","148,193,000","128,527,000","96,428,000"
	CurrentAssets,"356,474,000","396,841,000","563,525,000","510,651,000","247,899,000","345,019,000","257,081,000","200,259,000","133,813,000","147,726,000","145,743,000","122,472,000","111,974,000","113,922,000","74,316,000","34,808,000","41,631,000","52,505,000","49,279,000","60,838,000","20,974,000","15,399,000",
		CashCashEquivalentsAndShortTermInvestments,"104,246,000","173,861,000","335,645,000","363,155,000","107,879,000","210,125,000","150,918,000","112,944,000","59,334,000","86,122,000","94,874,000","81,746,000","78,777,000","82,215,000","46,858,000","5,258,000","11,564,000","33,784,000","28,987,000","46,235,000","5,728,000","7,816,000",
			CashAndCashEquivalents,"104,246,000","173,861,000","335,645,000","363,155,000","107,879,000","210,125,000","150,918,000","112,944,000","59,334,000","86,122,000","94,874,000","81,746,000","78,777,000","82,215,000","46,858,000","5,258,000","11,564,000","33,784,000","28,987,000","46,235,000","5,728,000","7,816,000",
		Receivables,"175,474,000","150,264,000","161,358,000","98,418,000","99,305,000","92,114,000","76,496,000","56,127,000","45,421,000","34,023,000","25,391,000","16,416,000","11,480,000","12,563,000","12,312,000","9,922,000","18,303,000","8,299,000","9,613,000","6,139,000","10,473,000","4,258,000",
			AccountsReceivable,"175,474,000","150,264,000","161,358,000","98,418,000","99,305,000","92,114,000","76,496,000","56,127,000","45,421,000","34,023,000","25,391,000","16,416,000","11,480,000",,,"9,922,000","18,303,000","8,299,000","9,613,000","6,139,000",,,
				GrossAccountsReceivable,"175,509,000","150,314,000","161,375,000","98,429,000","99,317,000","92,148,000","76,539,000","56,160,000","45,427,000","34,033,000","25,395,000","16,438,000","11,519,000",,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-35,000","-50,000","-17,000","-11,000","-12,000","-34,000","-43,000","-33,000","-6,000","-10,000","-4,000","-22,000","-39,000",,,,,,,,,,
			OtherReceivables,,,,,"99,317,000","92,148,000","76,539,000","56,160,000","45,427,000","34,033,000","25,395,000","16,438,000","11,519,000",,,,,,,,,,
			ReceivablesAdjustmentsAllowances,,,,,"-12,000","-34,000","-43,000","-33,000","-6,000","-10,000","-4,000","-22,000","-39,000",,,,,,,,,,
		Inventory,"38,320,000","38,015,000","31,595,000","22,364,000","20,267,000","18,827,000","16,306,000","16,088,000","15,633,000","14,256,000","11,954,000","10,909,000","10,730,000","9,197,000","8,004,000","8,140,000","7,277,000","6,436,000","5,893,000","5,169,000","3,505,000","1,787,000",
		PrepaidAssets,"3,262,000","5,097,000","34,927,000","26,714,000","20,448,000","23,953,000","13,361,000","13,104,000","11,348,000","10,552,000","10,671,000","10,565,000","7,620,000","7,579,000","5,611,000","9,526,000","3,646,000","2,920,000","4,125,000","2,652,000","1,232,000","1,495,000",
		CurrentDeferredAssets,,,,,,,"0","1,996,000","2,077,000","2,773,000","2,853,000","2,836,000","3,367,000","2,368,000","1,531,000","1,962,000","841,000","1,066,000","621,000","499,000",,,
			CurrentDeferredTaxesAssets,,,,,,,"0","1,996,000","2,077,000","2,773,000","2,853,000","2,836,000","3,367,000","2,368,000","1,531,000","1,962,000","841,000","1,066,000","621,000","499,000",,,
		OtherCurrentAssets,"35,172,000","29,604,000","24,226,000",,,,,,,,,,,,,,,,"40,000","144,000","36,000","43,000",
	TotalNonCurrentAssets,"2,436,902,000","2,128,824,000","1,948,427,000","1,814,510,000","1,735,666,000","1,124,257,000","1,073,542,000","979,712,000","898,893,000","795,416,000","731,901,000","668,782,000","628,696,000","588,879,000","587,757,000","587,855,000","504,398,000","400,083,000","263,314,000","215,016,000","127,219,000","113,128,000",
		NetPPE,"2,159,356,000","1,894,225,000","1,740,854,000","1,619,248,000","1,556,364,000","956,676,000","912,147,000","830,054,000","751,288,000","649,637,000","586,212,000","531,654,000","497,217,000","458,983,000","456,281,000","456,132,000","390,378,000","305,731,000","210,382,000","162,991,000","123,051,000","110,151,000",
			GrossPPE,"3,231,349,000","2,856,105,000","2,610,229,000","2,382,948,000","2,235,352,000","1,559,127,000","1,439,857,000","1,287,156,000","1,147,174,000","996,859,000","890,748,000","800,706,000","729,977,000","657,034,000","619,270,000","584,252,000","485,900,000","374,824,000","260,630,000","199,304,000","123,051,000","110,151,000",
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,
				LandAndImprovements,"165,919,000","148,220,000","144,182,000","143,482,000","135,708,000","127,579,000","124,126,000","119,338,000","109,939,000","105,055,000","100,456,000","99,536,000","97,819,000","94,046,000","94,058,000","92,733,000","88,307,000","70,387,000","47,364,000","38,253,000",,,
				BuildingsAndImprovements,"1,369,400,000","1,206,930,000","1,092,776,000","1,003,014,000","922,036,000","835,490,000","757,293,000","668,519,000","588,095,000","519,905,000","457,282,000","418,412,000","375,756,000","346,792,000","326,110,000","295,513,000","242,171,000","179,853,000","124,970,000","94,260,000",,,
				MachineryFurnitureEquipment,"908,489,000","797,058,000","732,160,000","661,878,000","614,920,000","556,254,000","500,954,000","459,127,000","93,904,000","80,637,000","70,828,000","62,686,000","55,196,000","205,857,000","187,614,000","168,396,000","136,169,000","103,102,000","77,245,000","59,514,000",,,
				OtherProperties,"7,743,000","5,094,000","15,946,000","15,466,000","14,861,000","10,829,000","10,027,000","9,778,000","314,740,000","270,532,000","236,666,000","209,905,000","182,112,000","5,450,000","5,450,000","4,651,000","4,363,000","2,806,000","1,846,000","1,288,000",,,
				ConstructionInProgress,"93,527,000","73,639,000","50,809,000","32,362,000","51,924,000","28,975,000","47,457,000","30,394,000","40,496,000","20,730,000","25,516,000","10,167,000","19,094,000","4,889,000","6,038,000","22,959,000","14,890,000","18,676,000","9,205,000","5,989,000",,,
				Leases,"686,271,000","625,164,000","574,356,000","526,746,000","495,903,000",,,,,,,,,,,,,,,,,,
			AccumulatedDepreciation,"-1,071,993,000","-961,880,000","-869,375,000","-763,700,000","-678,988,000","-602,451,000","-527,710,000","-457,102,000","-395,886,000","-347,222,000","-304,536,000","-269,052,000","-232,760,000","-198,051,000","-162,989,000","-128,120,000","-95,522,000","-69,093,000","-50,248,000","-36,313,000",,,
		GoodwillAndOtherIntangibleAssets,"182,547,000","160,721,000","128,521,000","129,272,000","125,982,000","125,179,000","123,740,000","120,193,000","121,398,000","122,774,000","125,073,000","122,699,000","119,988,000","121,903,000","124,659,000","127,614,000","110,270,000","91,529,000","51,063,000","50,753,000","2,190,000","2,190,000",
			Goodwill,"169,684,000","148,732,000","127,001,000","127,001,000","124,748,000","123,220,000","121,040,000","116,571,000","116,571,000","116,571,000","117,197,000","113,435,000","110,946,000","111,785,000","113,465,000","114,807,000","101,856,000","86,649,000","51,063,000",,"2,190,000","2,190,000",
			OtherIntangibleAssets,"12,863,000","11,989,000","1,520,000","2,271,000","1,234,000","1,959,000","2,700,000","3,622,000","4,827,000","6,203,000","7,876,000","9,264,000","9,042,000","10,118,000","11,194,000","12,807,000","8,414,000","4,880,000","51,063,000","50,753,000",,,
		InvestmentProperties,,,,,"495,903,000",,,,,,,,,,,,,,,,,,
		InvestmentsAndAdvances,,,,,,,,,,,,,,"0","0","0",,,,,,,
		FinancialAssets,,,,,,,,,,,,,,"0","31,000",,,,,,,,
		OtherNonCurrentAssets,"94,999,000","73,878,000","79,052,000","65,990,000","53,320,000","42,402,000","37,655,000","29,465,000","26,207,000","23,005,000","20,616,000","14,429,000","11,491,000","7,993,000","6,786,000","4,109,000","3,750,000","2,823,000","1,869,000","1,272,000","1,978,000","787,000",
TotalLiabilitiesNetMinorityInterest,"1,635,865,000","1,498,003,000","1,438,468,000","1,382,110,000","1,052,396,000","508,568,000","479,232,000","421,729,000","355,524,000","328,186,000","283,784,000","260,517,000","244,848,000","203,419,000","239,123,000","259,866,000","176,264,000","132,209,000","80,367,000","101,944,000","104,606,000","95,690,000","75,238,000"
	CurrentLiabilities,"745,434,000","652,010,000","602,144,000","506,318,000","417,220,000","385,142,000","329,998,000","279,527,000","256,642,000","215,971,000","175,852,000","158,662,000","136,372,000","112,058,000","108,203,000","99,643,000","88,259,000","77,979,000","55,969,000","74,419,000","40,573,000","30,850,000",
		PayablesAndAccruedExpenses,"344,110,000","291,117,000","279,535,000","204,235,000","190,699,000","192,900,000","173,371,000","149,802,000","155,224,000","136,380,000","112,886,000","105,283,000","92,010,000","72,619,000","73,513,000","67,150,000","55,148,000","47,396,000","30,281,000","27,300,000","29,432,000","21,133,000",
			Payables,"174,508,000","141,258,000","128,694,000","94,587,000","92,086,000","104,595,000","97,015,000","83,905,000","81,784,000","73,203,000","55,838,000","58,762,000","50,660,000","26,864,000","34,076,000","32,175,000","23,716,000","18,794,000","17,415,000","12,093,000","23,140,000","14,762,000",
				AccountsPayable,"131,638,000","105,560,000","95,234,000","66,977,000","61,653,000","62,060,000","57,579,000","50,789,000","50,996,000","43,585,000","38,404,000","32,374,000","32,744,000","26,864,000","27,882,000","32,175,000","23,716,000","18,794,000","17,415,000","12,093,000","11,570,000","7,381,000",
				TotalTaxPayable,"42,870,000","35,698,000","33,460,000","27,610,000","30,433,000","24,631,000","24,491,000","19,698,000","18,869,000","19,175,000","17,434,000","13,253,000","12,381,000","0","6,194,000","0",,,,,,,
					IncomeTaxPayable,"112,000","434,000","85,000","2,859,000","0","0","2,494,000","0","90,000","1,583,000","0",,,"0","6,194,000","0",,,,,,,
				DividendsPayable,,,,,"0","17,904,000","14,945,000","13,418,000","11,919,000","10,443,000","0","13,135,000","5,535,000",,,,,,,,,,
				OtherPayable,,,,,,,,,,,,,,,,,,,,,"11,570,000","7,381,000",
			CurrentAccruedExpenses,"169,602,000","149,859,000","150,841,000","109,648,000","98,613,000","88,305,000","76,356,000","65,897,000","73,440,000","63,177,000","57,048,000","46,521,000","41,350,000","45,755,000","39,437,000","34,975,000","31,432,000","28,602,000","12,866,000","15,207,000","6,292,000","6,371,000",
		CurrentDebtAndCapitalLeaseObligation,"27,411,000","25,490,000","21,952,000","69,271,000","17,263,000",,"9,000","167,000","144,000","129,000","243,000","338,000","304,000","274,000","247,000","228,000","302,000","653,000","638,000","723,000","8,280,000","6,701,000",
			CurrentDebt,,,,"50,000,000",,,"9,000","167,000","144,000","129,000","243,000","338,000","304,000","274,000","247,000","228,000","302,000","653,000","638,000","723,000","8,059,000","6,415,000",
				OtherCurrentBorrowings,,,,"50,000,000",,,,,,,,,,,,,,,,,"8,059,000","6,415,000",
			CurrentCapitalLeaseObligation,"27,411,000","25,490,000","21,952,000","19,271,000","17,263,000","0",,,,,,,,,,,,,,,"221,000","286,000",
		CurrentDeferredLiabilities,"373,913,000","335,403,000","300,657,000","232,812,000","209,258,000","192,242,000","156,627,000","129,558,000","101,274,000","79,462,000","62,723,000","53,041,000","44,058,000","39,165,000","34,443,000","32,265,000","32,088,000","26,205,000","19,355,000","14,676,000",,,
			CurrentDeferredRevenue,"373,913,000","335,403,000","300,657,000","232,812,000","209,258,000","192,242,000","156,627,000","129,558,000","101,274,000","79,462,000","62,723,000","53,041,000","44,058,000","39,165,000","34,443,000","32,265,000","32,088,000","26,205,000","19,355,000","14,676,000",,,
		OtherCurrentLiabilities,,,,,,,,,,,,,,,,,"721,000","3,725,000","5,695,000","31,720,000","2,861,000","3,016,000",
	TotalNonCurrentLiabilitiesNetMinorityInterest,"890,431,000","845,993,000","836,324,000","875,792,000","635,176,000","123,426,000","149,234,000","142,202,000","98,882,000","112,215,000","107,932,000","101,855,000","108,476,000","91,361,000","130,920,000","160,223,000","88,005,000","54,230,000","24,398,000","27,525,000","64,033,000","64,840,000",
		LongTermDebtAndCapitalLeaseObligation,"743,476,000","727,874,000","722,892,000","762,171,000","538,710,000","0","51,981,000","52,381,000","25,550,000","50,693,000","50,990,000","51,264,000","61,601,000","51,906,000","101,179,000","132,482,000","66,482,000","35,362,000","6,881,000","13,531,000","57,168,000","60,189,000","35,092,000"
			LongTermDebt,,"50,000,000","100,000,000","190,000,000",,"2,081,000","51,981,000","52,381,000","25,550,000","50,693,000","50,990,000","51,264,000","61,601,000","51,906,000","101,179,000","132,482,000","66,482,000","34,787,000","6,255,000","12,760,000","56,254,000","59,094,000","35,092,000"
			LongTermCapitalLeaseObligation,"743,476,000","677,874,000","622,892,000","572,171,000","538,710,000","0",,,,,,,,,,,,"575,000","626,000","771,000","914,000","1,095,000",
