name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
		RetainedEarnings,"284,832,000","247,174,000","226,363,000","215,491,000","221,298,000","211,439,000","209,459,000","228,963,000","206,622,000","179,435,000","146,023,000","119,329,000","99,513,000","67,747,648","16,009,535","43,552,293","31,117,052","22,257,146","17,445,442","14,129,965","7,236,875","5,661,000","-787","-2,972"
		TreasuryStock,"7,695,000","7,695,000","5,261,000","5,261,000","4,261,000","2,953,000","2,907,000","2,907,000","1,000,000","1,000,000","1,000,000","1,000,000","0",,,,,,,,,,,
		GainsLossesNotAffectingRetainedEarnings,"3,593,000","8,438,000","36,198,000","28,716,000","7,803,000","12,959,000","28,487,000","9,657,000","28,791,000","46,297,000","42,109,000","35,851,000","34,317,000","15,957,500","11,187,733","11,127,505","5,989,463","2,468,800","1,332,684","3,060","-4,150",,,
			ForeignCurrencyTranslationAdjustments,,,,,,,,,,,,,,,,,,,"1,332,684","3,060",,,,
			OtherEquityAdjustments,"3,593,000","8,438,000","36,198,000","28,716,000","7,803,000","12,959,000","28,487,000","9,657,000","28,791,000","46,297,000","42,109,000","35,851,000","34,317,000",,,,,,"0",,,,,
	MinorityInterest,"23,958,000","15,764,000","16,407,000","16,693,000","20,250,000","18,950,000","6,681,000","5,412,000","8,252,000","8,912,000","45,071,000","38,846,000","43,028,000","35,966,773","27,138,357","23,222,566","23,166,270","23,112,667","21,751,043","17,571,838","18,686,712",,"0",
TotalCapitalization,"345,685,000","312,179,000","321,034,000","303,222,000","296,476,000","286,168,000","299,754,000","301,088,000","299,043,000","289,257,000","226,700,000","193,554,000","196,700,000","112,273,018","54,948,977","81,330,650","67,234,862","53,380,290","36,927,105","32,138,450","26,014,862","6,097,000","12,288,764","6,628"
CommonStockEquity,"344,464,000","311,651,000","321,034,000","303,222,000","289,309,000","285,877,000","299,448,000","300,480,000","299,043,000","289,257,000","226,700,000","193,554,000","173,129,000","112,273,018","54,715,036","81,330,650","67,234,862","53,380,290","36,927,105","32,138,450","26,014,862","6,097,000","12,288,764","6,628"
CapitalLeaseObligations,"255,000","481,000","150,000","271,000","387,000","0",,,,,,,,,,,,,,,,,,
NetTangibleAssets,"331,366,000","300,823,000","308,490,000","290,718,000","277,611,000","277,729,000","235,614,000","252,415,000","244,258,000","236,237,000","182,165,000","155,997,000","132,764,000","111,610,929","54,153,647","80,826,311","66,645,149","50,239,742","33,423,888","31,745,898","25,796,223","6,097,000","12,288,764","6,628"
WorkingCapital,"180,336,000","156,523,000","149,564,000","121,174,000","137,534,000","154,128,000","159,140,000","153,291,000","177,847,000","198,110,000","179,335,000","138,746,000","147,820,000","54,191,797","12,486,023","42,032,901","35,022,355","29,136,373","9,102,809","11,454,115","19,944,120","-13,330,000",,
InvestedCapital,"486,717,000","442,380,000","450,623,000","427,633,000","413,041,000","428,153,000","456,313,000","420,848,000","410,318,000","413,946,000","342,298,000","301,118,000","264,323,000","149,067,830","90,074,779","142,219,041","96,226,036","68,764,905","51,741,920","58,913,378","35,653,416","6,097,000","12,288,764","6,628"
TangibleBookValue,"331,366,000","300,823,000","308,490,000","290,718,000","277,611,000","277,729,000","235,614,000","252,415,000","244,258,000","236,237,000","182,165,000","155,997,000","132,764,000","111,610,929","54,153,647","80,826,311","66,645,149","50,239,742","33,423,888","31,745,898","25,796,223","6,097,000","12,288,764","6,628"
TotalDebt,"142,508,000","131,210,000","129,739,000","124,682,000","124,119,000","142,276,000","156,865,000","120,368,000","111,275,000","124,689,000","115,598,000","107,564,000","91,194,000","36,794,812","35,359,743","60,888,391","28,991,174","15,384,615","14,814,815","26,774,928","9,638,554",,,
NetDebt,"27,593,000","9,513,000",,"27,163,000","47,017,000","55,930,000","92,307,000","89,276,000","41,599,000","56,184,000","61,619,000","19,915,000","18,233,000",,"28,327,983","23,775,016","9,504,015",,"2,439,871","15,610,289",,,,
ShareIssued,"32,338,302","32,338,302","32,338,302","32,338,302","32,338,302","32,338,302","32,338,302","32,338,302","32,338,302","32,338,302","28,260,302","28,260,302","28,260,302","27,175,826","27,046,244","26,983,244","23,959,702","23,851,581","22,574,543","22,574,542","22,574,542","22,015,000","22,015,000","22,015,000"
OrdinarySharesNumber,"30,185,702","30,185,702","30,851,776","30,851,776","31,174,045","31,626,604","31,644,004","31,644,004","32,121,019","32,121,019","28,043,019","28,043,019","28,260,302","27,175,826","27,046,244","26,983,244","23,959,702","23,851,581","22,574,543","22,574,542","22,574,542","22,015,000","22,015,000","22,015,000"
TreasurySharesNumber,"2,152,600","2,152,600","1,486,526","1,486,526","1,164,257","711,698","694,298","694,298","217,283","217,283","217,283","217,283",,,,,,,,,,,,
