name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,04/30/1993,04/30/1992,04/30/1991,04/30/1990,04/30/1989,04/30/1988,04/30/1987,04/30/1986
			Goodwill,"773,727,000","773,088,000","775,278,000","751,049,000","755,911,000","747,884,000","743,334,000","741,410,000","770,781,000","822,562,000","842,544,000","876,201,000","870,431,000","883,644,000","881,019,000","853,775,000","468,778,000","521,055,000","518,328,000",,,,"17,922,000",,,,,,,,,,,,,,,,
			OtherIntangibleAssets,"1,219,129,000","1,248,800,000","1,280,791,000","1,224,960,000","1,247,212,000","1,294,153,000","1,321,585,000","1,322,531,000","1,339,587,000","1,351,307,000","1,305,780,000","1,301,537,000","1,304,288,000","1,358,574,000","1,392,883,000","1,411,473,000","45,318,000","70,923,000","75,696,000","118,264,000","64,153,000","98,980,000","5,472,000","6,070,000","6,696,000","262,900,000","269,200,000","57,300,000","284,900,000","202,800,000","182,900,000","186,600,000","185,100,000","177,200,000","182,000,000","186,400,000","191,000,000","200,600,000","205,700,000"
		InvestmentsAndAdvances,"348,109,000","363,365,000","349,577,000","312,795,000","302,555,000","274,137,000","285,091,000","180,585,000","58,369,000","74,054,000","83,197,000","113,283,000","119,271,000","107,223,000","107,020,000","133,052,000",,,,,,,,,,,,,,,,,,,,,,,
			LongTermEquityInvestment,,"33,921,000","39,870,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			InvestmentinFinancialAssets,,"12,107,000","10,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AvailableForSaleSecurities,,"12,107,000","10,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherInvestments,"348,109,000","363,365,000","299,707,000","312,795,000","302,555,000","274,137,000","285,091,000","180,585,000","58,369,000","74,054,000","83,197,000","113,283,000","119,271,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentNoteReceivables,,,,,,,,,,,,,,"12,612,000","39,295,000","34,608,000",,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,,,,,,,,,,,"43,621,000","52,013,000","67,542,000","77,164,000","56,959,000","502,713,000","4,050,000",,,,,,,,,,,,,,,,,,,,,,
			NonCurrentDeferredTaxesAssets,,,,,,,,,,,,,,,"475,538,000","475,243,000","4,050,000",,,,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentAssets,"178,577,000","170,962,000","139,130,000","120,057,000","100,461,000","96,907,000","79,516,000","49,917,000","95,470,000","86,404,000","43,621,000",,,,"-469,296,000","-441,211,000","261,293,000","88,217,000","116,322,000","175,509,000","99,599,000","83,797,000","94,265,000","86,204,000","45,827,000","316,400,000","346,100,000","239,500,000","56,700,000","54,000,000","58,800,000","126,900,000","69,800,000","74,900,000","82,600,000","39,600,000","55,200,000","50,200,000","54,800,000"
TotalLiabilitiesNetMinorityInterest,"4,873,047,000","5,033,624,000","4,664,986,000","4,490,410,000","4,478,170,000","3,643,586,000","3,523,735,000","3,411,578,000","3,355,806,000","2,420,023,000","2,433,554,000","2,317,344,000","2,293,060,000","2,569,480,000","2,639,077,000","2,262,175,000","1,004,735,000","1,071,582,000","2,370,493,000","753,146,000","754,760,000","634,641,000","536,012,000","785,114,000","545,150,000","1,008,300,000","960,900,000","791,300,000","1,065,300,000","882,200,000","874,200,000","844,400,000","754,000,000","798,600,000","793,100,000","812,000,000","755,300,000","759,500,000","788,600,000"
	CurrentLiabilities,"381,930,000","387,999,000","426,925,000","413,308,000","349,698,000","284,185,000","227,162,000","230,081,000","268,774,000","340,224,000","349,526,000","286,862,000","336,743,000","421,486,000","475,147,000","502,489,000","207,163,000","230,576,000","1,358,859,000","205,844,000","162,262,000","159,841,000","133,124,000","338,734,000","71,915,000","232,500,000","225,700,000","240,800,000","254,600,000","223,000,000","241,000,000","225,800,000","306,800,000","282,000,000","190,200,000","269,000,000","177,100,000","271,800,000","193,400,000"
		PayablesAndAccruedExpenses,"55,504,000","74,155,000","69,305,000","96,586,000","46,627,000","42,552,000","42,688,000","49,206,000","73,606,000","100,780,000","105,491,000","105,630,000","148,299,000","326,518,000","299,213,000","390,924,000","172,082,000","198,468,000","217,030,000","86,434,000","57,721,000","92,336,000","76,394,000","11,923,000","3,284,000","58,300,000","63,200,000","50,400,000","61,900,000","59,200,000","61,200,000","71,700,000","96,800,000","80,600,000","69,200,000",,,,
			Payables,"55,504,000","74,155,000","69,305,000","58,225,000","46,627,000","42,552,000","42,688,000","49,206,000","73,606,000","100,780,000","105,491,000","99,419,000","118,341,000","118,250,000","103,454,000","139,340,000","54,297,000","48,595,000","64,450,000","22,912,000","16,314,000","18,998,000","2,941,000","11,923,000","3,284,000","58,300,000","63,200,000","50,400,000","61,900,000","59,200,000","61,200,000","71,700,000","96,800,000","80,600,000","69,200,000",,,,
				AccountsPayable,"27,370,000","43,996,000","41,163,000","31,063,000","22,701,000","21,741,000","22,764,000","27,635,000","53,681,000","77,309,000","83,700,000","70,826,000","81,301,000","81,361,000","103,454,000","139,340,000","54,297,000","48,595,000","64,450,000","22,912,000","16,314,000","18,998,000","2,941,000","11,923,000","3,284,000","58,300,000","63,200,000","50,400,000","61,900,000","59,200,000","61,200,000","71,700,000","96,800,000","80,600,000","69,200,000",,,,
