name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,08/31/1992,08/31/1991,08/31/1990,08/31/1989
	ChangesInCash,"108,096,000","17,297,000","-14,147,000","11,772,000","13,147,000","20,662,000","-11,121,000","-60,121,000","73,865,000","12,301,000","-66,276,000","56,341,000","3,355,000","-32,296,000","-13,485,000","43,673,000","-47,521,000","49,428,000","1,700,000","2,661,000","-6,357,000","8,465,000","-875,000","697,000","-4,560,000","2,400,000","1,700,000","-500,000","-2,500,000","3,500,000","200,000","200,000","200,000","100,000","-100,000","-700,000","100,000"
	EffectOfExchangeRateChanges,"228,000","1,361,000","-1,250,000","-697,000","3,315,000","-231,000","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	BeginningCashPosition,"22,094,000","47,499,000","62,896,000","51,821,000","35,359,000","14,928,000","26,049,000","86,170,000","12,305,000","4,000","66,280,000","9,939,000","6,584,000","38,880,000","52,365,000","8,692,000","56,213,000","6,785,000","5,085,000","2,424,000","8,781,000","316,000","1,191,000","550,000","5,110,000","2,700,000","1,000,000","1,500,000","4,000,000","500,000","300,000","300,000","100,000","0","100,000","700,000","800,000"
	OtherCashAdjustmentOutsideChangeinCash,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,700,000","-1,000,000","-1,500,000","-4,000,000","-500,000","-500,000","-300,000","-100,000",,,"-900,000"
IncomeTaxPaidSupplementalData,"18,955,000","8,118,000","170,012,000","94,075,000","33,247,000","37,836,000","39,991,000","53,620,000","65,792,000","33,782,000","30,947,000","26,799,000","24,145,000","18,909,000","19,862,000","3,290,000","13,852,000",,,,,,,,,,,,,,,,,,,,
InterestPaidSupplementalData,"36,485,000","39,925,000","25,052,000","15,429,000","16,910,000","9,143,000","5,645,000","1,650,000","1,992,000","2,113,000","641,000","364,000","369,000","284,000","311,000","499,000","1,319,000",,,,,,,,,,,,,,,,,,,,
CapitalExpenditure,"-49,455,000","-62,209,000","-130,641,000","-98,534,000","-57,346,000","-58,202,000","-119,827,000","-87,221,000","-44,671,000","-28,989,000","-42,458,000","-32,595,000","-32,026,000","-24,317,000","-10,148,000","-3,107,000","-4,199,000","-8,770,000","-22,250,000","-26,092,000","-27,058,000","-5,073,000","-10,538,000","-8,194,000","-21,890,000","-13,400,000","-18,900,000","-42,200,000","-5,800,000","-1,900,000","-1,200,000","-7,900,000","-1,200,000","-2,300,000","-900,000","-1,100,000","-1,900,000"
IssuanceOfCapitalStock,,,,,,,,,,,,,,,,,"402,000","4,577,000","3,339,000","10,360,000","1,979,000","3,715,000",,,,"2,000,000","1,000,000","600,000","800,000","400,000","500,000","1,000,000",,,,,
IssuanceOfDebt,"100,948,000","248,900,000","1,128,400,000","1,887,392,000","543,991,000","955,387,000","1,387,013,000","28,130,000","81,458,000","664,629,000","425,330,000","135,452,000","52,227,000","130,500,000","0","5,775,000","14,600,000",,,,,,,,,,,,,,,,,,,,
RepaymentOfDebt,"-215,265,000","-525,921,000","-1,306,771,000","-1,302,604,000","-452,834,000","-628,891,000","-1,146,953,000","-28,130,000","-81,458,000","-630,279,000","-409,680,000","-135,452,000","-52,227,000","-130,500,000","0","-14,458,000","-33,179,000",,,,,,,,,,,,,,,,,,,,
RepurchaseOfCapitalStock,,"0","-24,054,000","0","0","0","-28,695,000","0","0",,,"0","0","-626,000","-1,041,000","0","-8,333,000",,,,,,,"-378,000","-13,472,000","-3,900,000","-2,100,000","-20,800,000","-2,800,000",,,,,,,,"-200,000"
FreeCashFlow,"389,491,000","465,020,000","471,873,000","-210,107,000","174,054,000","211,323,000","36,781,000","65,481,000","156,996,000","66,029,000","64,562,000","50,082,000","40,663,000","12,514,000","31,915,000","60,149,000","458,000","76,140,000","44,771,000","6,161,000","-18,046,000","26,468,000","1,662,000","19,965,000","-12,037,000","16,200,000","-900,000","-31,200,000","6,100,000","7,700,000","5,200,000","-1,800,000","2,600,000","500,000","4,100,000","4,100,000","-2,400,000"
