name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008
OperatingCashFlow,"19,381,000,000","20,930,000,000","16,043,000,000","15,188,000,000","16,670,000,000","15,021,000,000","15,256,000,000","17,328,000,000","16,607,000,000","11,769,000,000","10,061,000,000","12,630,000,000","10,605,000,000","8,166,000,000","6,780,000,000","-17,239,000,000","-12,065,000,000"
	CashFlowFromContinuingOperatingActivities,"19,381,000,000","20,930,000,000","16,042,000,000","15,188,000,000","16,670,000,000","15,021,000,000","15,256,000,000","17,338,000,000","16,993,000,000","12,610,000,000","10,061,000,000","12,630,000,000","10,605,000,000","8,166,000,000","6,780,000,000","-17,239,000,000","-12,065,000,000"
		NetIncomeFromContinuingOperations,"10,817,000,000","9,840,000,000","9,708,000,000","9,945,000,000","6,321,000,000","6,667,000,000","8,075,000,000","330,000,000","9,269,000,000","9,590,000,000","4,018,000,000","5,331,000,000","6,136,000,000","9,287,000,000","6,503,000,000","105,217,000,000","-31,051,000,000"
		OperatingGainsLosses,"165,000,000","684,000,000","-824,000,000","-2,139,000,000","-38,000,000","16,000,000","-1,253,000,000","-1,014,000,000","-555,000,000","744,000,000","373,000,000","1,108,000,000","3,420,000,000","-2,665,000,000","-464,000,000","-128,561,000,000","3,795,000,000"
			NetForeignCurrencyExchangeGainLoss,"53,000,000","349,000,000","172,000,000","-17,000,000","203,000,000","-85,000,000","168,000,000","52,000,000","229,000,000","806,000,000","437,000,000","350,000,000","117,000,000","55,000,000","210,000,000","1,832,000,000",
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,"-57,000,000",,"-137,000,000",,
			EarningsLossesFromEquityInvestments,"-49,000,000","245,000,000","193,000,000","-517,000,000","524,000,000","585,000,000","-141,000,000","-132,000,000","-15,000,000","-145,000,000","-301,000,000","-92,000,000","-179,000,000","-1,947,000,000","-753,000,000","539,000,000",
			PensionAndEmployeeBenefitExpense,"161,000,000","90,000,000","-1,189,000,000","-1,605,000,000","-765,000,000","-484,000,000","-1,280,000,000","-934,000,000","-769,000,000","83,000,000","439,000,000","638,000,000","3,232,000,000","-755,000,000","412,000,000","-1,500,000,000","3,795,000,000"
		DepreciationAmortizationDepletion,"12,426,000,000","11,888,000,000","11,290,000,000","12,051,000,000","12,815,000,000","14,118,000,000","13,669,000,000","12,261,000,000","9,819,000,000","7,487,000,000","7,238,000,000","8,041,000,000","38,762,000,000","7,427,000,000","6,930,000,000","11,384,000,000","10,203,000,000"
			DepreciationAndAmortization,"12,426,000,000","11,888,000,000","11,290,000,000","12,051,000,000","12,815,000,000","14,118,000,000","13,669,000,000","12,261,000,000","9,819,000,000","7,487,000,000","7,238,000,000","8,041,000,000","38,762,000,000","7,427,000,000","6,930,000,000","11,384,000,000","10,203,000,000"
