name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007
OperatingCashFlow,"11,532,000,000","13,256,000,000","14,724,000,000","11,497,000,000","5,943,000,000","2,405,000,000","2,098,000,000","-61,000,000","-123,829,000","-524,499,000","-57,337,000","264,804,000","-263,815,000","-128,034,000","-127,817,000","-80,825,000","-52,412,000","-53,469,000"
	CashFlowFromContinuingOperatingActivities,"11,532,000,000","13,256,000,000","14,724,000,000","11,497,000,000","5,943,000,000","2,405,000,000","2,098,000,000","-61,000,000","-123,829,000","-524,499,000","-57,337,000","264,804,000","-263,815,000","-128,034,000","-127,817,000","-80,825,000","-52,412,000","-53,469,000"
		NetIncomeFromContinuingOperations,"12,459,000,000","14,974,000,000","12,587,000,000","5,644,000,000","862,000,000","-775,000,000","-1,063,000,000","-2,241,000,000","-773,046,000","-888,663,000","-294,040,000","-74,014,000","-396,213,000","-254,411,000","-154,328,000","-55,740,000","-82,782,000","-78,157,000"
		OperatingGainsLosses,"49,000,000","-144,000,000","221,000,000","-82,000,000","114,000,000","-48,000,000","160,000,000","158,000,000","5,450,000","93,488,000","12,287,000","-22,394,000","2,151,000","2,750,000","5,030,000","-1,083,000","-1,245,000","2,421,000"
			GainLossOnSaleOfPPE,,"0","140,000,000","-27,000,000","0","0","162,000,000","106,000,000","34,633,000","37,723,000","14,178,000","1,796,000","154,000","345,000","8,000","385,000","0","2,421,000"
			NetForeignCurrencyExchangeGainLoss,"49,000,000","-144,000,000","81,000,000","-55,000,000","114,000,000","-48,000,000","-2,000,000","52,000,000","-29,183,000","55,765,000","-1,891,000","-13,498,000","143,000","0",,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,"-10,692,000","1,854,000","2,750,000","5,022,000",,,
		DepreciationAmortizationDepletion,"4,991,000,000","4,667,000,000","3,747,000,000","2,911,000,000","2,322,000,000","2,154,000,000","1,901,000,000","1,636,000,000","947,099,000","422,590,000","231,931,000","106,083,000","28,825,000","16,919,000","10,623,000","6,940,000","4,157,000","2,895,000"
			DepreciationAndAmortization,"4,991,000,000","4,667,000,000","3,747,000,000","2,911,000,000","2,322,000,000","2,154,000,000","1,901,000,000","1,636,000,000","947,099,000","422,590,000","231,931,000","106,083,000","28,825,000","16,919,000","10,623,000","6,940,000","4,157,000","2,895,000"
				Depreciation,"4,991,000,000","4,667,000,000","3,747,000,000","2,911,000,000","2,322,000,000","2,154,000,000",,,,,,,,,,,,
		DeferredTax,"-6,013,000,000","-6,349,000,000","-196,000,000","-149,000,000",,,,,,,,,,,,,,
			DeferredIncomeTax,"-6,013,000,000","-6,349,000,000","-196,000,000","-149,000,000",,,,,,,,,,,,,,
		AssetImpairmentCharge,"392,000,000","463,000,000","177,000,000","140,000,000","202,000,000","193,000,000","85,000,000","132,000,000","65,520,000","44,940,000","15,609,000","14,476,000","4,929,000","1,828,000","951,000","1,353,000","4,297,000",
		UnrealizedGainLossOnInvestmentSecurities,,,,,,,,,,,,,,"2,750,000",,"1,128,000",,
		StockBasedCompensation,"1,912,000,000","1,812,000,000","1,560,000,000","2,121,000,000","1,734,000,000","898,000,000","749,000,000","467,000,000","334,225,000","197,999,000","156,496,000","80,737,000","50,145,000","29,419,000","21,156,000","1,434,000","437,000","198,000"
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,,,,,,,"0","0","-74,000","0","0",
		OtherNonCashItems,"85,000,000","81,000,000","340,000,000","245,000,000","525,000,000","332,000,000","208,000,000","284,000,000","-9,216,000","98,436,000","77,205,000","10,958,000","1,406,000","233,000","5,022,000","2,686,000","6,492,000","-36,000"
		ChangeInWorkingCapital,"-2,343,000,000","-2,248,000,000","-3,712,000,000","667,000,000","184,000,000","-349,000,000","58,000,000","-497,000,000","-693,861,000","-493,289,000","-256,825,000","148,958,000","44,942,000","75,228,000","-11,175,000","-37,543,000","16,232,000","19,210,000"
			ChangeInReceivables,"-367,000,000","-586,000,000","-1,124,000,000","-130,000,000","-652,000,000","-367,000,000","-497,000,000","-25,000,000","-216,565,000","46,267,000","-183,658,000","-21,705,000","-17,303,000","-2,829,000","-3,222,000","-168,000","-3,261,000","-59,000"
				ChangesInAccountReceivables,"-367,000,000","-586,000,000","-1,124,000,000","-130,000,000","-652,000,000","-367,000,000","-497,000,000","-25,000,000","-216,565,000","46,267,000","-183,658,000","-21,705,000","-17,303,000","-2,829,000","-3,222,000","-168,000","-3,261,000","-59,000"
			ChangeInInventory,"7,000,000","-1,195,000,000","-6,465,000,000","-1,709,000,000","-422,000,000","-429,000,000","-1,023,000,000","-179,000,000","-632,867,000","-369,364,000","-1,050,264,000","-460,561,000","-194,726,000","-13,638,000","-28,513,000","-7,925,000","-18,839,000","-2,108,000"
			ChangeInPrepaidAssets,"-2,651,000,000","-2,652,000,000","-3,713,000,000","-1,540,000,000","-251,000,000","-288,000,000","-82,000,000","-72,000,000","56,806,000","-29,595,000","-60,637,000","-17,533,000","1,121,000","-248,000","-4,977,000","-2,042,000","750,000","-1,884,000"
			ChangeInPayablesAndAccruedExpense,"305,000,000","2,605,000,000","8,029,000,000","5,367,000,000","2,102,000,000","646,000,000","1,797,000,000","388,000,000","750,640,000","263,345,000","414,856,000","87,413,000","199,547,000","30,511,000","13,133,000","4,289,000","11,448,000","8,095,000"
				ChangeInPayable,,"2,605,000,000","8,029,000,000","5,367,000,000",,,,,,,"252,781,000","-243,000","189,944,000","19,891,000","-212,000","902,000","8,815,000","523,000"
					ChangeInAccountPayable,,"2,605,000,000","8,029,000,000","5,367,000,000",,,,,,,"252,781,000","-243,000","189,944,000","19,891,000","-212,000","902,000","8,815,000","523,000"
				ChangeInAccruedExpense,,,,,,,,,,,"162,075,000","66,567,000","9,603,000","10,620,000","13,345,000","3,387,000","2,633,000","7,572,000"
			ChangeInOtherCurrentAssets,"-614,000,000","-1,952,000,000","-1,570,000,000","-2,114,000,000","-1,416,000,000","-649,000,000","-422,000,000","-1,538,000,000","-1,832,836,000","-1,204,496,000","-4,493,000","-434,000","-482,000","-288,000","-463,000",,,
			ChangeInOtherCurrentLiabilities,,,"1,904,000,000","476,000,000","495,000,000","-5,000,000","-25,000,000","290,000,000","458,991,000","465,992,000","311,460,000","269,326,000","10,255,000","2,641,000","3,515,000","-31,988,000","20,857,000","15,230,000"
			ChangeInOtherWorkingCapital,"977,000,000","1,532,000,000","1,131,000,000","793,000,000","328,000,000","743,000,000","310,000,000","639,000,000","721,970,000","334,562,000","315,911,000","292,452,000","46,530,000","59,079,000","9,352,000","-31,697,000","26,134,000","-64,000"
InvestingCashFlow,"-17,875,000,000","-15,584,000,000","-11,973,000,000","-7,868,000,000","-3,132,000,000","-1,436,000,000","-2,337,000,000","-4,196,000,000","-1,081,085,000","-1,673,551,000","-990,444,000","-249,417,000","-206,930,000","-162,258,000","-180,297,000","-14,244,000","-11,590,000","-9,762,000"
	CashFlowFromContinuingInvestingActivities,"-17,875,000,000","-15,584,000,000","-11,973,000,000","-7,868,000,000","-3,132,000,000","-1,436,000,000","-2,337,000,000","-4,196,000,000","-1,081,085,000","-1,673,551,000","-990,444,000","-249,417,000","-206,930,000","-162,258,000","-180,297,000","-14,244,000","-11,590,000","-9,762,000"
		NetPPEPurchaseAndSale,"-9,815,000,000","-8,899,000,000","-7,163,000,000","-6,514,000,000","-3,232,000,000","-1,432,000,000","-2,319,000,000","-4,081,000,000","-1,440,471,000","-1,634,850,000","-969,885,000","-264,224,000","-239,228,000","-184,226,000","-105,413,000","-11,884,000","-10,630,000","-9,802,000"
			PurchaseOfPPE,"-9,815,000,000","-8,899,000,000","-7,163,000,000","-6,514,000,000","-3,232,000,000","-1,432,000,000","-2,319,000,000","-4,081,000,000","-1,440,471,000","-1,634,850,000","-969,885,000","-264,224,000","-239,228,000","-184,226,000","-105,413,000","-11,884,000","-10,630,000","-9,802,000"
		NetIntangiblesPurchaseAndSale,,"0","927,000,000","-1,228,000,000","-10,000,000","-5,000,000","0","0",,,,,,,,,,
			PurchaseOfIntangibles,,"0","-9,000,000","-1,500,000,000","-10,000,000","-5,000,000","0","0",,,,,,,,,,
			SaleOfIntangibles,,"0","936,000,000","272,000,000","0","0",,,,,,,,,,,,
