name,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2002,01/31/2001,01/31/2000,01/31/1999,01/31/1998,01/31/1997,01/31/1996,01/31/1995,01/31/1994,01/31/1993,01/31/1992,01/31/1991,01/31/1990,01/31/1989,01/31/1988,01/31/1987,01/31/1986
		PrepaidAssets,,,"36,905,000","40,356,000","39,458,000","36,574,000","26,659,000","26,394,000","23,618,000","31,408,000","21,993,000","26,020,000","24,071,000","27,342,000",,,,,,,,,,,,,,,
		RestrictedCash,"1,976,000","1,834,000","1,834,000","1,861,000","2,149,000","1,948,000","2,356,000","3,300,000","3,300,000","3,300,000","3,300,000","3,300,000",,,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,"3,438,000","0",,"15,905,000","10,973,000",,,,,,,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,,"3,438,000","0",,"15,905,000","10,973,000",,,,,,,,,,,,,,,
		OtherCurrentAssets,"45,951,000","44,894,000","36,905,000","40,356,000","39,458,000","36,574,000","26,659,000","26,394,000","23,618,000","31,408,000","21,993,000","26,020,000",,,"33,049,000","46,893,000","36,200,000","28,100,000","32,000,000","19,600,000","17,400,000","5,500,000","6,500,000","5,400,000","5,400,000","4,000,000","3,400,000","1,400,000","700,000"
	TotalNonCurrentAssets,"401,219,000","525,422,000","529,685,000","549,678,000","568,251,000","522,530,000","517,382,000","506,991,000","664,976,000","762,397,000","743,026,000","754,540,000","196,536,000","185,944,000","166,788,000","161,616,000","134,400,000","106,000,000","101,400,000","99,400,000","81,500,000","74,200,000","74,500,000","77,600,000","67,200,000","47,500,000","28,700,000","26,800,000","19,800,000"
		NetPPE,"141,471,000","157,963,000","161,283,000","180,763,000","196,330,000","149,894,000","136,501,000","122,836,000","109,831,000","101,223,000","101,096,000","109,721,000","193,868,000","185,293,000","165,822,000","160,586,000","133,400,000","103,700,000","99,000,000","97,000,000","79,700,000","74,300,000","74,500,000","77,600,000","67,200,000","47,500,000","28,700,000","26,800,000","19,800,000"
			GrossPPE,"486,636,000","466,097,000","438,610,000","434,285,000","414,503,000","345,947,000","329,688,000","308,791,000","287,361,000","266,893,000","258,764,000","250,900,000","344,210,000","317,579,000","283,139,000","262,156,000","217,600,000","176,600,000","159,100,000","146,400,000","120,000,000","110,200,000","106,500,000","102,400,000","85,600,000","61,000,000","38,600,000","34,100,000","24,600,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,
				LandAndImprovements,"3,450,000","3,440,000","3,468,000","3,475,000","3,459,000","3,459,000","3,533,000","3,466,000","3,509,000","3,529,000","3,563,000","103,173,000","117,785,000","104,815,000",,,,,,,,,,,,,,,
