name,ttm,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,02/29/2012,02/28/2011,02/28/2010,02/28/2009,02/29/2008,02/28/2007,02/28/2006,02/28/2005,02/29/2004,02/28/2003,02/28/2002,02/28/2001,02/29/2000,02/28/1999,02/28/1998,02/28/1997,02/29/1996,02/28/1995,02/28/1994,02/28/1993,02/29/1992,02/28/1991,02/28/1990
	CashFlowFromContinuingInvestingActivities,"-752,000,000","-781,000,000","-962,000,000","-1,372,000,000","-788,000,000","-895,000,000","508,000,000","-1,002,000,000","-877,000,000","-526,000,000","-1,712,000,000","-517,000,000","-724,000,000","-569,000,000","-540,000,000","-3,427,000,000","1,464,000,000","-780,000,000","-754,000,000","-1,422,000,000","-1,376,000,000","-910,000,000","-924,000,000","-1,029,000,000","-400,114,000","-249,567,000","-22,299,000","-20,400,000","-158,500,000","-192,000,000","-63,500,000","-76,000,000","-24,800,000","-20,000,000","-8,000,000"
		NetPPEPurchaseAndSale,"-735,000,000","-795,000,000","-930,000,000","-737,000,000","-713,000,000","-743,000,000","-819,000,000","-688,000,000","-580,000,000","-649,000,000","-561,000,000","-547,000,000","-766,000,000","-744,000,000","-615,000,000","-1,303,000,000","-797,000,000","-733,000,000","-648,000,000","-502,000,000","-545,000,000","-725,000,000","-581,000,000","-657,000,000","-361,024,000","-165,698,000","-72,063,000","-87,600,000","-126,200,000","-118,100,000","-56,900,000","-74,900,000","-25,200,000","-19,900,000","-8,200,000"
			PurchaseOfPPE,"-735,000,000","-795,000,000","-930,000,000","-737,000,000","-713,000,000","-743,000,000","-819,000,000","-688,000,000","-580,000,000","-649,000,000","-561,000,000","-547,000,000","-766,000,000","-744,000,000","-615,000,000","-1,303,000,000","-797,000,000","-733,000,000","-648,000,000","-502,000,000","-545,000,000","-725,000,000","-581,000,000","-657,000,000","-361,024,000","-165,698,000","-72,063,000","-87,600,000","-126,200,000","-118,100,000","-101,400,000","-74,900,000","-25,300,000","-20,300,000","-9,700,000"
			SaleOfPPE,,,,,,,,"2,000,000","56,000,000","0","0",,,,,,,,,,,,,,,,,,,,"44,500,000",,"100,000","400,000","1,500,000"
		NetBusinessPurchaseAndSale,"0","14,000,000","0","-468,000,000","0","-145,000,000","-787,000,000","0","0","-51,000,000","39,000,000","206,000,000","-174,000,000","21,000,000","-7,000,000","-2,170,000,000","-89,000,000","-421,000,000",,,"-3,000,000","-3,000,000","-368,000,000","-326,000,000",,,,,,,,,,,
			PurchaseOfBusiness,,"0","0","-468,000,000","0","-145,000,000","-787,000,000","0","0","-51,000,000","0","0","-174,000,000","0","-7,000,000","-2,170,000,000",,,,,,,,,,,,,,,,,,,
			SaleOfBusiness,"0","14,000,000","0","0",,,,,"0","103,000,000","39,000,000","206,000,000","0","21,000,000","0",,,,,,,,,,,,,,,,,,,,
		NetInvestmentPurchaseAndSale,,"-2,000,000","-39,000,000","-167,000,000","-74,000,000","-8,000,000","2,098,000,000","-307,000,000","-356,000,000","146,000,000","-1,224,000,000","-180,000,000","178,000,000","160,000,000","80,000,000","68,000,000","2,434,000,000","369,000,000","-132,000,000","-787,000,000","-814,000,000","-234,000,000",,,,,,,,,,,,,
			PurchaseOfInvestment,,"-9,000,000","-46,000,000","-233,000,000","-620,000,000","-330,000,000","0","-4,325,000,000","-3,045,000,000","-2,281,000,000","-2,804,000,000","-230,000,000","-112,000,000","-267,000,000","-16,000,000","-178,000,000","-8,501,000,000","-4,541,000,000","-4,319,000,000","-8,517,000,000","-2,989,000,000","-1,844,000,000",,,,,,,,,,,,,
			SaleOfInvestment,,"7,000,000","7,000,000","66,000,000","546,000,000","322,000,000","2,098,000,000","4,018,000,000","2,689,000,000","2,427,000,000","1,580,000,000","50,000,000","290,000,000","427,000,000","96,000,000","246,000,000","10,935,000,000","4,910,000,000","4,187,000,000","7,730,000,000","2,175,000,000","1,610,000,000",,,,,,,,,,,,,
		NetOtherInvestingChanges,"-17,000,000","2,000,000","7,000,000",,"-1,000,000","1,000,000","16,000,000","-7,000,000","59,000,000","28,000,000","34,000,000","4,000,000","38,000,000","-6,000,000","2,000,000","-22,000,000","-84,000,000","5,000,000","26,000,000","-133,000,000","-17,000,000","49,000,000","25,000,000","-46,000,000","-39,090,000","-83,869,000","49,764,000","67,200,000","-32,300,000","-73,900,000","-6,600,000","-1,100,000","400,000","-100,000","200,000"
	CashFromDiscontinuedInvestingActivities,,,,,,,,,,,,,,,,,,,,,"-1,000,000",,,,,,,,,,,,,,
FinancingCashFlow,"-1,141,000,000","-1,144,000,000","-1,806,000,000","-4,297,000,000","-876,000,000","-1,498,000,000","-2,018,000,000","-2,297,000,000","-1,418,000,000","-1,536,000,000","-223,000,000","319,000,000","-2,478,000,000","-1,357,000,000","-348,000,000","591,000,000","-3,378,000,000","-513,000,000","-619,000,000","-459,000,000","-87,000,000","30,000,000","769,000,000","218,000,000","-395,168,000","-147,214,000","2,175,000","10,600,000","700,000","314,200,000","242,400,000","1,400,000","104,300,000","1,600,000","-3,200,000"
	CashFlowFromContinuingFinancingActivities,"-1,141,000,000","-1,144,000,000","-1,806,000,000","-4,297,000,000","-876,000,000","-1,498,000,000","-2,018,000,000","-2,297,000,000","-1,418,000,000","-1,536,000,000","-223,000,000","319,000,000","-2,478,000,000","-1,357,000,000","-348,000,000","591,000,000","-3,378,000,000","-513,000,000","-619,000,000","-459,000,000","-87,000,000","30,000,000","769,000,000","218,000,000","-395,168,000","-147,214,000","2,175,000","10,600,000","700,000","314,200,000","242,400,000","1,400,000","104,300,000","1,600,000","-3,200,000"
		NetIssuancePaymentsOfDebt,,"-19,000,000","-19,000,000","-133,000,000","-24,000,000","-15,000,000","-48,000,000","-46,000,000","-394,000,000","-28,000,000","-24,000,000","381,000,000","509,000,000","-99,000,000","-210,000,000","894,000,000","133,000,000","12,000,000","-33,000,000","-371,000,000","-17,000,000","5,000,000","721,000,000","-17,000,000","-29,946,000","-165,396,000","-12,694,000","7,800,000","-2,400,000","81,800,000","149,600,000","33,400,000","13,300,000","-300,000","-3,300,000"
			NetLongTermDebtIssuance,,"-19,000,000","-19,000,000","-133,000,000","-24,000,000","-15,000,000","-48,000,000","-46,000,000","-394,000,000","-28,000,000","-24,000,000","381,000,000","509,000,000","-99,000,000","-210,000,000","894,000,000",,,,,,,,,,,,,,,,,,,
				LongTermDebtIssuance,,,"0","0","1,892,000,000","0","498,000,000","0","0","0","0","2,414,000,000","3,921,000,000","3,021,000,000","5,132,000,000","5,606,000,000",,,,,,,,,,,,,,,,,,,
				LongTermDebtPayments,,"-19,000,000","-19,000,000","-133,000,000","-1,916,000,000","-15,000,000","-546,000,000","-46,000,000","-394,000,000","-28,000,000","-24,000,000","-2,033,000,000","-3,412,000,000","-3,120,000,000","-5,342,000,000","-4,712,000,000",,,,,,,,,,,,,,,,,,,
		NetCommonStockIssuance,"-311,000,000","-321,000,000","-998,000,000","-3,473,000,000","-284,000,000","-955,000,000","-1,467,000,000","-1,841,000,000","-527,000,000","-1,008,000,000","50,000,000","171,000,000","-1,433,000,000","-1,014,000,000","138,000,000","83,000,000","-3,315,000,000","-382,000,000","-480,000,000","56,000,000","14,000,000","40,000,000","48,000,000","235,000,000","-365,222,000","18,182,000","14,869,000","2,700,000","3,100,000","232,400,000","86,500,000","-32,600,000","91,200,000",,"100,000"
			CommonStockIssuance,,"19,000,000","16,000,000","29,000,000","28,000,000","48,000,000","38,000,000","163,000,000","171,000,000","47,000,000","50,000,000","171,000,000","67,000,000","179,000,000","138,000,000","83,000,000","146,000,000","217,000,000","292,000,000","256,000,000","114,000,000","40,000,000","48,000,000","235,000,000","32,229,000","20,644,000","14,869,000","2,700,000","3,100,000","232,400,000","86,500,000","4,900,000","91,200,000",,"100,000"
			CommonStockPayments,"-330,000,000","-340,000,000","-1,014,000,000","-3,502,000,000","-312,000,000","-1,003,000,000","-1,505,000,000","-2,004,000,000","-698,000,000","-1,055,000,000","0","0","-1,500,000,000","-1,193,000,000","0",,"-3,461,000,000","-599,000,000","-772,000,000","-200,000,000","-100,000,000",,,,"-397,451,000","-2,462,000",,,,,,"-37,500,000",,,
		CashDividendsPaid,"-804,000,000","-801,000,000","-789,000,000","-688,000,000","-568,000,000","-527,000,000","-497,000,000","-409,000,000","-505,000,000","-499,000,000","-251,000,000","-233,000,000","-228,000,000","-237,000,000","-234,000,000","-223,000,000","-204,000,000","-174,000,000","-151,000,000","-137,000,000","-130,000,000",,,,,,,,,,,,,,
			CommonStockDividendPaid,"-804,000,000","-801,000,000","-789,000,000","-688,000,000","-568,000,000","-527,000,000","-497,000,000","-409,000,000","-505,000,000","-499,000,000","-251,000,000","-233,000,000","-228,000,000","-237,000,000","-234,000,000",,,,,,,,,,,,,,,,,,,,
