name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993
TotalRevenue,"16,283,836,000","15,812,250,000","14,409,860,000","13,327,563,000","11,604,493,000","10,149,985,000","9,536,428,000","8,977,726,000","8,593,096,000","7,966,674,000","7,216,081,000","6,649,237,000","6,182,184,000","5,788,816,000","5,397,525,000","4,847,062,000","3,576,553,000","2,522,319,000","2,283,222,000","2,045,318,000","1,721,241,000","1,511,816,000","1,312,490,000","1,092,112,000","890,421,000","754,100,000","616,300,000","316,400,000","259,200,000","201,500,000","167,100,000","137,200,000"
	OperatingRevenue,"16,218,927,000","15,812,250,000","14,409,860,000","13,327,563,000","11,604,493,000","10,149,985,000","9,536,428,000","8,977,726,000","8,593,096,000","7,966,674,000","7,216,081,000","6,649,237,000","6,182,184,000","5,788,816,000","5,397,525,000","4,847,062,000","3,576,553,000","2,522,319,000","2,283,222,000","2,045,318,000","1,721,241,000","1,511,816,000","1,312,490,000","1,092,112,000","890,421,000","754,100,000","616,300,000","316,400,000","259,200,000","201,500,000","167,100,000","137,200,000"
CostOfRevenue,"7,953,712,000","7,707,447,000","7,028,154,000","6,307,614,000","5,518,801,000","4,755,294,000","4,496,462,000","4,257,043,000","4,084,085,000","3,804,031,000","3,507,180,000","3,280,236,000","3,084,766,000","2,951,467,000","2,776,533,000","2,520,534,000","1,948,627,000","1,401,859,000","1,276,511,000","1,152,815,000","978,076,000","873,481,000","759,090,000","624,294,000","482,908,000","410,900,000","346,200,000","173,500,000","144,700,000","112,800,000","94,600,000","79,300,000"
GrossProfit,"8,330,124,000","8,104,803,000","7,381,706,000","7,019,949,000","6,085,692,000","5,394,691,000","5,039,966,000","4,720,683,000","4,509,011,000","4,162,643,000","3,708,901,000","3,369,001,000","3,097,418,000","2,837,349,000","2,620,992,000","2,326,528,000","1,627,926,000","1,120,460,000","1,006,711,000","892,503,000","743,165,000","638,335,000","553,400,000","467,818,000","407,513,000","343,200,000","270,100,000","142,900,000","114,500,000","88,700,000","72,500,000","57,900,000"
OperatingExpense,"5,098,387,000","4,918,427,000","4,427,215,000","4,102,781,000","3,666,356,000","3,473,965,000","3,224,782,000","2,995,283,000","2,809,805,000","2,648,622,000","2,438,527,000","2,265,516,000","2,120,025,000","1,973,381,000","1,887,316,000","1,788,909,000","1,292,309,000","815,309,000","724,396,000","639,979,000","552,707,000","473,060,000","415,099,000","353,987,000","317,484,000","266,300,000","213,200,000","105,800,000","85,700,000","66,700,000","55,300,000","45,300,000"
	SellingGeneralAndAdministration,"5,098,387,000","4,918,427,000","4,427,215,000","4,102,781,000","3,666,356,000","3,473,965,000","3,224,782,000","2,995,283,000","2,809,805,000","2,648,622,000","2,438,527,000","2,265,516,000","2,120,025,000","1,973,381,000","1,887,316,000","1,788,909,000","1,292,309,000","815,309,000","724,396,000","639,979,000","552,707,000","473,060,000","415,099,000","353,987,000","292,672,000","248,400,000","201,000,000","97,500,000","79,600,000","62,700,000","52,100,000","42,500,000"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,"24,812,000","17,900,000","12,200,000","8,300,000","6,100,000","4,000,000","3,200,000","2,800,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,"24,812,000","17,900,000","12,200,000","8,300,000","6,100,000","4,000,000","3,200,000","2,800,000"
	OtherOperatingExpenses,,,,,,,,,,,,,,"-2,798,000",,,,,,,,,,,,,,,,,,
OperatingIncome,"3,231,737,000","3,186,376,000","2,954,491,000","2,917,168,000","2,419,336,000","1,920,726,000","1,815,184,000","1,725,400,000","1,699,206,000","1,514,021,000","1,270,374,000","1,103,485,000","977,393,000","863,968,000","733,676,000","537,619,000","335,617,000","305,151,000","282,315,000","252,524,000","190,458,000","165,275,000","138,301,000","113,831,000","90,029,000","76,900,000","56,900,000","37,100,000","28,800,000","22,000,000","17,200,000","12,600,000"
NetNonOperatingInterestIncomeExpense,"-213,032,000","-196,768,000","-152,957,000","-142,797,000","-158,635,000","-137,430,000","-119,608,000","-89,002,000","-66,707,000","-54,789,000","-50,989,000","-47,082,000","-37,759,000","-25,920,000","-37,332,000","-43,633,000","-22,953,000",,,"-3,480,000","-3,799,000","-6,566,000",,,,,,,,,,
