name,ttm,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010,01/31/2009,01/31/2008,01/31/2007,01/31/2006,01/31/2005,01/31/2004,01/31/2003,01/31/2002,01/31/2001,01/31/2000,01/31/1999,01/31/1998,01/31/1997,01/31/1996,01/31/1995,01/31/1994,01/31/1993,01/31/1992,01/31/1991,01/31/1990,01/31/1989,01/31/1988,01/31/1987
TotalRevenue,"55,623,000,000","54,217,000,000","49,936,000,000","48,550,000,000","32,137,000,000","41,716,977,000","38,972,934,000","35,864,664,000","33,183,744,000","30,944,938,000","29,078,407,000","27,422,696,000","25,878,372,000","23,191,455,000","21,942,193,000","20,288,444,000","18,999,505,000","18,336,726,000","17,104,013,000","15,955,943,000","14,860,746,000","13,327,938,000","11,981,207,000","10,708,998,000","9,579,006,000","8,795,347,000","7,949,100,000","7,389,069,000","6,689,400,000","3,975,100,000","3,842,800,000","3,626,600,000","3,261,200,000","2,757,700,000","2,446,300,000","2,148,700,000","1,920,800,000","1,643,700,000","1,394,600,000"
	OperatingRevenue,"55,623,000,000","54,217,000,000","49,936,000,000","48,550,000,000","32,137,000,000","41,716,977,000","38,972,934,000","35,864,664,000","33,183,744,000","30,944,938,000","29,078,407,000","27,422,696,000","25,878,372,000","23,191,455,000","21,942,193,000","20,288,444,000","18,999,505,000","18,336,726,000","17,104,013,000","15,955,943,000","14,860,746,000","13,327,938,000","11,981,207,000","10,708,998,000","9,579,006,000","8,795,347,000","7,949,100,000","7,389,069,000","6,689,400,000","3,975,100,000","3,842,800,000","3,626,600,000","3,261,200,000","2,757,700,000","2,446,300,000","2,148,700,000","1,920,800,000","1,643,700,000","1,394,600,000"
CostOfRevenue,"38,786,000,000","37,951,000,000","36,149,000,000","34,714,000,000","24,534,000,000","29,845,780,000","27,831,177,000","25,502,167,000","23,565,754,000","22,034,523,000","20,776,522,000","19,605,037,000","18,521,400,000","16,854,249,000","16,040,461,000","14,968,429,000","14,429,185,000","13,841,695,000","12,969,996,000","12,214,671,000","11,357,391,000","10,101,279,000","9,079,579,000","8,122,922,000","7,012,343,000","6,419,007,000","5,820,900,000","5,551,700,000","5,072,000,000","3,064,000,000","2,850,600,000","2,655,200,000","2,405,000,000","2,060,800,000","1,827,100,000","1,602,300,000","1,757,000,000","1,495,200,000","1,270,100,000"
GrossProfit,"16,837,000,000","16,266,000,000","13,787,000,000","13,836,000,000","7,603,000,000","11,871,197,000","11,141,757,000","10,362,497,000","9,617,990,000","8,910,415,000","8,301,885,000","7,817,659,000","7,356,972,000","6,337,206,000","5,901,732,000","5,320,015,000","4,570,320,000","4,495,031,000","4,134,017,000","3,741,272,000","3,503,355,000","3,226,659,000","2,901,628,000","2,586,076,000","2,566,663,000","2,376,340,000","2,128,200,000","1,837,369,000","1,617,400,000","911,100,000","992,200,000","971,400,000","856,200,000","696,900,000","619,200,000","546,400,000","163,800,000","148,500,000","124,500,000"
OperatingExpense,"10,738,000,000","10,469,000,000","8,927,000,000","9,081,000,000","7,021,000,000","7,454,988,000","6,923,564,000","6,375,071,000","5,768,467,000","5,205,715,000","4,695,384,000","4,467,089,000","4,250,446,000","3,890,144,000","3,698,503,000","3,328,186,000","3,105,089,000","3,236,542,000","2,854,243,000","2,703,271,000","2,487,804,000","2,212,669,000","1,938,531,000","1,686,389,000","1,678,817,000","1,515,058,000","1,422,500,000","1,310,700,000","1,213,900,000","749,100,000","824,500,000","741,600,000","656,800,000","548,400,000","470,100,000","397,500,000","48,400,000","23,800,000","19,100,000"
	SellingGeneralAndAdministration,"10,738,000,000","10,469,000,000","8,927,000,000","9,081,000,000","7,021,000,000","7,454,988,000","6,923,564,000","6,375,071,000","5,768,467,000","5,205,715,000","4,695,384,000","4,467,089,000","4,250,446,000","3,890,144,000","3,710,053,000","3,328,944,000","3,135,589,000","3,236,542,000","2,854,243,000","2,703,271,000","2,487,804,000","2,212,669,000","1,938,531,000","1,686,389,000","1,503,036,000","1,354,665,000","1,286,000,000","1,185,800,000","1,087,100,000","669,900,000","748,000,000","674,100,000","593,900,000","491,600,000","421,600,000","355,600,000","12,000,000",,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,"175,781,000","160,393,000","136,500,000","124,900,000","126,800,000","79,200,000","76,500,000","67,500,000","62,900,000","56,800,000","48,500,000","41,900,000","36,400,000","23,800,000","19,100,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,"175,781,000","160,393,000","136,500,000","124,900,000","126,800,000","79,200,000","76,500,000","67,500,000","62,900,000","56,800,000","48,500,000","41,900,000","36,400,000","23,800,000","19,100,000"
	OtherOperatingExpenses,,,,,,,,,,,,,,,"-11,550,000","-758,000","-30,500,000",,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"6,099,000,000","5,797,000,000","4,860,000,000","4,755,000,000","582,000,000","4,416,209,000","4,218,193,000","3,987,426,000","3,849,523,000","3,704,700,000","3,606,501,000","3,350,570,000","3,106,526,000","2,447,062,000","2,203,229,000","1,991,829,000","1,465,231,000","1,258,489,000","1,279,774,000","1,038,001,000","1,015,551,000","1,013,990,000","963,097,000","899,687,000","887,846,000","861,282,000","705,700,000","526,669,000","403,500,000","162,000,000","167,700,000","229,800,000","199,400,000","148,500,000","149,100,000","148,900,000","115,400,000","124,700,000","105,400,000"
NetNonOperatingInterestIncomeExpense,"191,000,000","170,000,000","-6,000,000","-115,000,000","-181,000,000","-10,026,000","-8,860,000","-31,588,000","-43,534,000","-46,400,000","-39,787,000","-31,081,000","-29,175,000","-35,648,000","-39,137,000","-758,000","-14,291,000",,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"268,000,000","249,000,000","78,000,000","4,000,000","13,000,000","49,060,000","55,979,000","32,707,000","18,137,000","13,869,000","15,593,000","15,010,000","11,657,000","11,035,000","9,877,000","48,520,000","23,832,000",,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"77,000,000","79,000,000","84,000,000","119,000,000","194,000,000","59,086,000","64,839,000","64,295,000","61,671,000","60,269,000","55,380,000","46,091,000","40,832,000","46,683,000","49,014,000","49,278,000","38,123,000",,,,,,,,,,,,,,,,,,,,,,
