name,02/29/2024,02/28/2023,02/28/2022,02/28/2021,02/29/2020,02/28/2019,02/28/2018,02/28/2017,02/29/2016,02/28/2015,02/28/2014,02/28/2013,02/29/2012,02/28/2011,02/28/2010,02/28/2009
TotalAssets,"4,927,949,000","4,724,354,000","5,082,528,000","12,112,309,000","5,571,246,000","3,735,091,000","3,054,560,000","1,828,905,951","1,061,379,033","772,414,637","427,598,767","316,041,879","294,652,905","217,770,044","65,503,662","38,552,994"
	CurrentAssets,"3,699,174,000","3,468,407,000","3,629,376,000","8,156,835,000","2,495,781,000","1,745,716,000","1,662,006,000","871,121,005","515,859,574","539,432,534","300,376,622","226,438,543","210,235,030","205,449,129","55,904,694","32,022,546"
		CashCashEquivalentsAndShortTermInvestments,"3,303,349,000","3,171,534,000","2,708,724,000","5,937,508,000","2,219,323,000","1,515,564,000","1,498,910,000","699,673,401","478,805,103","492,152,804","269,930,571","209,591,344","199,269,686","173,631,370","52,670,637","30,033,319"
			CashAndCashEquivalents,"2,208,756,000","2,021,927,000","1,638,189,000","3,242,953,000","1,873,866,000","1,247,140,000","711,519,000","470,217,004","434,042,036","470,157,430","269,930,571","185,080,673","188,579,767","173,165,661","50,752,481","29,692,901"
			OtherShortTermInvestments,"1,094,593,000","1,149,607,000","1,070,535,000","2,694,555,000","345,457,000","268,424,000","787,391,000","229,456,397","44,763,067","21,995,374","0","24,510,671","10,689,919","465,709","1,918,156","340,418"
		Receivables,"80,688,000","82,140,000","74,672,000","158,986,000","138,272,000","103,393,000","58,055,000","103,187,198","7,593,622","18,680,156","12,825,220","3,232,861","1,313,165","396,180","0","92,112"
			AccountsReceivable,"52,739,000","44,825,000","25,567,000","25,907,000","42,654,000","50,222,000","16,459,000",,,,,,"943,111",,,
			LoansReceivable,"0","12,163,000","19,181,000","8,334,000","10,296,000","29,877,000","10,991,000","4,095,974","1,617,703","10,965,787","1,301,914","0",,,,
			AccruedInterestReceivable,"22,621,000","16,461,000","8,695,000","44,614,000","22,108,000","5,848,000","8,655,000","4,347,655","1,977,686","2,876,719","1,113,313","1,505,973","631,510","396,180","0",
			TaxesReceivable,"4,985,000","8,268,000","20,310,000","77,167,000","46,268,000","7,204,000","18,721,000","2,244,898","0","3,490,921","10,129,966","1,397,833","0",,,
			DuefromRelatedPartiesCurrent,"343,000","423,000","919,000","2,964,000","3,642,000","3,341,000","3,229,000","3,424,285","2,594,430","159,502","0",,,,,
			OtherReceivables,,,,,"13,304,000","6,901,000","13,617,051","89,074,386","1,403,803","1,187,227","280,027","329,055","681,655",,,
		Inventory,"68,328,000","39,002,000","21,830,000","38,675,000","25,832,000","7,750,000","5,272,000","2,823,039","600,441","544,085","181,759","410,167","223,611","117,827","121,819","1,063"
		PrepaidAssets,"70,086,000","40,223,000","60,435,000","251,379,000","79,717,000","104,090,000","89,654,000","58,308,868","24,432,695","21,615,866","12,865,324","7,878,808","7,124,410","4,350,749","2,280,941","1,414,923"
		RestrictedCash,"167,656,000","126,891,000","755,646,000","1,758,937,000","28,084,000","9,227,000","6,267,000","2,732,559","1,083,787","606,169","325,688","2,270,269","0",,,
		CurrentDeferredAssets,,,,,,,,"0","738,406","4,562,034","3,281,063","2,260,446","1,729,758","1,082,932","831,297","481,129"
			CurrentDeferredTaxesAssets,,,,,,,,"0","738,406","4,562,034","3,281,063","2,260,446","1,729,758","1,082,932","831,297","481,129"
		OtherCurrentAssets,"9,067,000","8,617,000","8,069,000","11,350,000","4,553,000","5,692,000","3,848,000","4,395,940","2,605,520","1,271,420","966,997","794,648","574,400","25,870,071",,
	TotalNonCurrentAssets,"1,228,775,000","1,255,947,000","1,453,152,000","3,955,474,000","3,075,465,000","1,989,375,000","1,392,554,000","957,784,946","545,519,459","232,982,103","127,222,145","89,603,336","84,417,875","12,320,915","9,598,968","6,530,448"
		NetPPE,"636,423,000","437,879,000","508,298,000","2,057,150,000","1,610,348,000","287,877,000","247,266,000","154,306,718","114,629,683","93,575,648","78,625,191","76,115,088","76,726,219","7,515,325","4,991,490","2,471,337"
			GrossPPE,"778,779,000","572,893,000","753,846,000","2,411,389,000","1,845,910,000","462,783,000","369,573,000","223,836,800","160,653,033","122,135,399","98,713,707","90,859,597","86,145,625","12,093,362","6,779,466","2,985,515"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
				LandAndImprovements,,,,,"0","209,865,000","0",,,,,,,,,
				BuildingsAndImprovements,"57,777,000","59,987,000","65,922,000","64,246,000","59,489,000","62,151,000","63,127,000","58,823,576","60,699,864","63,707,645","65,000,502","64,073,055","63,416,230",,,
				MachineryFurnitureEquipment,"118,544,000","103,599,000","193,655,000","295,713,000","210,176,000","152,734,000","118,860,000","68,780,417","47,861,324","33,639,318","20,799,450","15,990,044","12,533,173","6,741,774","3,380,216","1,705,330"
				OtherProperties,"231,104,000","149,002,000","227,072,000","1,545,735,000","1,243,692,000",,,,,,,,,,,
				ConstructionInProgress,"286,429,000","210,179,000","151,437,000","59,492,000","16,025,000","0",,,,,,,,,,
				Leases,"84,925,000","50,126,000","115,760,000","446,203,000","316,528,000","247,898,000","187,586,000","96,232,807","52,091,845","24,788,436","12,913,755","10,796,498","10,196,222","5,351,588","3,399,250","1,280,185"
			AccumulatedDepreciation,"-142,356,000","-135,014,000","-245,548,000","-354,239,000","-235,562,000","-174,906,000","-122,307,000","-69,530,082","-46,023,350","-28,559,751","-20,088,516","-14,744,509","-9,419,406","-4,578,037","-1,787,976","-514,178"
		GoodwillAndOtherIntangibleAssets,"191,037,000","194,363,000","219,404,000","737,156,000","642,751,000","698,869,000","334,887,000","305,129,493","102,216,938","16,017,581","10,045,417","2,279,638","732,348","1,319,368","2,152,962","2,988,615"
			Goodwill,,,"0","454,413,000","378,913,000","414,228,000","291,382,000","267,162,685","87,022,517","12,330,326","7,509,824","555,194","548,825","662,583","763,802","762,272"
			OtherIntangibleAssets,"191,037,000","194,363,000","219,404,000","282,743,000","263,838,000","284,641,000","43,505,000","37,966,808","15,194,421","3,687,255","2,535,593","1,724,444","183,523","656,785","1,389,160","2,226,343"
		InvestmentsAndAdvances,"264,772,000","360,587,000","396,752,000","659,975,000","564,343,000","843,211,000","597,606,000","347,732,444","274,356,960","97,359,075","27,137,239","5,491,073","0",,,
			InvestmentinFinancialAssets,"264,772,000","360,587,000","396,752,000","659,975,000","564,343,000","843,211,000",,,,,,,,,,
