name,ttm,04/30/2024,04/30/2023,04/30/2022,04/30/2021,04/30/2020,04/30/2019,04/30/2018,04/30/2017,04/30/2016
MarketCap,"256,576,672","10,820,879","82,062,634","158,219,684","406,407,201","86,452,614","204,520,879","337,333,164","483,522,316","443,679,464"
EnterpriseValue,"750,319,672","537,726,879","661,042,634","618,349,684","843,369,201","414,028,614","252,571,879","427,960,164","499,616,316","316,770,464"
PeRatio,,,,,,,"5.181",,"200.937","168.054"
ForwardPeRatio,,,,,,,,,"36.765",
PsRatio,"0.034","0.007","0.051","0.105","0.264","0.045","0.099","0.154","0.267","0.248"
PbRatio,"1.777","0.111","0.465","0.646","1.181","0.189","0.413","0.752","0.679","0.609"
EnterprisesValueRevenueRatio,"0.479","0.342","0.416","0.414","0.575","0.215","0.123","0.196","0.274","0.177"
EnterprisesValueEBITDARatio,"97.341","256.917","-27.252","-34.154","-6.867","25.324","2.433","3.374","8.707","5.162"
