name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996
TotalAssets,"527,854,000,000","462,675,000,000","420,549,000,000","321,195,000,000","225,248,000,000","162,648,000,000","131,310,000,000","83,402,000,000","64,747,000,000","54,505,000,000","40,159,000,000","32,555,000,000","25,278,000,000","18,797,000,000","13,813,000,000","8,314,000,000","6,485,000,000","4,363,000,000","3,696,000,000","3,248,000,000","2,162,033,000","1,990,449,000","1,637,547,000","2,135,169,000","2,465,850,000","648,460,000","149,844,000","8,300,000"
	CurrentAssets,"172,351,000,000","146,791,000,000","161,580,000,000","132,733,000,000","96,334,000,000","75,101,000,000","60,197,000,000","45,781,000,000","35,705,000,000","31,327,000,000","24,625,000,000","21,296,000,000","17,490,000,000","13,747,000,000","9,797,000,000","6,157,000,000","5,164,000,000","3,373,000,000","2,929,000,000","2,539,000,000","1,820,809,000","1,615,676,000","1,207,920,000","1,361,129,000","1,006,477,000","424,254,000","137,709,000","7,100,000"
		CashCashEquivalentsAndShortTermInvestments,"86,780,000,000","70,026,000,000","96,049,000,000","84,396,000,000","55,021,000,000","41,250,000,000","30,986,000,000","25,981,000,000","19,808,000,000","17,416,000,000","12,447,000,000","11,448,000,000","9,576,000,000","8,762,000,000","6,366,000,000","3,727,000,000","3,112,000,000","2,019,000,000","2,000,000,000","1,779,000,000","1,394,823,000","1,300,969,000","996,585,000","1,100,522,000","706,188,000","373,445,000","125,375,000","6,200,000"
			CashAndCashEquivalents,"73,387,000,000","53,888,000,000","36,220,000,000","42,122,000,000","36,092,000,000","31,750,000,000","20,522,000,000","19,334,000,000","15,890,000,000","14,557,000,000","8,658,000,000","8,084,000,000","5,269,000,000","3,777,000,000","3,444,000,000","2,769,000,000","2,539,000,000","1,022,000,000","1,013,000,000","1,303,000,000","1,102,273,000","738,254,000","540,282,000","822,435,000","133,309,000","25,561,000","1,876,000","6,200,000"
				CashFinancial,,,,,,,,,,,,,,,,,,,,"407,906,000","427,306,000","302,964,000","149,968,000","141,922,000","116,961,000","25,561,000","1,876,000",
				CashEquivalents,,,,,,,,,,,,,,,,,,,,"894,694,000","674,967,000","435,290,000","390,314,000","680,513,000","16,348,000",,,
			OtherShortTermInvestments,"13,393,000,000","16,138,000,000","59,829,000,000","42,274,000,000","18,929,000,000","9,500,000,000","10,464,000,000","6,647,000,000","3,918,000,000","2,859,000,000","3,789,000,000","3,364,000,000","4,307,000,000","4,985,000,000","2,922,000,000","958,000,000","573,000,000","997,000,000","987,000,000","476,000,000","292,550,000","562,715,000","456,303,000","278,087,000","572,879,000","347,884,000","123,499,000",
		Receivables,"52,253,000,000","42,360,000,000","32,891,000,000","24,542,000,000","20,816,000,000","16,677,000,000","13,164,000,000","8,339,000,000","5,654,000,000","5,612,000,000","4,767,000,000","3,817,000,000","2,571,000,000","1,587,000,000","988,000,000","1,654,000,000","1,410,000,000","399,000,000","274,000,000","199,000,000","131,473,000","112,282,000","67,613,000",,,,,
			AccountsReceivable,"52,253,000,000","42,360,000,000","32,891,000,000","24,542,000,000","20,816,000,000","16,677,000,000","13,164,000,000","8,339,000,000","5,654,000,000","5,612,000,000","4,767,000,000","3,817,000,000","2,571,000,000","1,587,000,000","988,000,000","1,654,000,000","1,410,000,000","399,000,000","274,000,000","199,000,000","131,473,000","112,282,000","67,613,000",,,,,
				GrossAccountsReceivable,"53,953,000,000","43,760,000,000","33,991,000,000","25,642,000,000","21,534,000,000","17,172,000,000","13,512,000,000","8,576,000,000","5,843,000,000","5,802,000,000","4,920,000,000","3,933,000,000","2,653,000,000","1,664,000,000","1,060,000,000","908,000,000","769,000,000","439,000,000","317,000,000","222,000,000",,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-1,700,000,000","-1,400,000,000","-1,100,000,000","-1,100,000,000","-718,000,000","-495,000,000","-348,000,000","-237,000,000","-189,000,000","-190,000,000","-153,000,000","-116,000,000","-82,000,000","-77,000,000","-72,000,000","-81,000,000","-64,000,000","-40,000,000","-43,000,000","-23,000,000",,,,,,,,
		Inventory,"33,318,000,000","34,405,000,000","32,640,000,000","23,795,000,000","20,497,000,000","17,174,000,000","16,047,000,000","11,461,000,000","10,243,000,000","8,299,000,000","7,411,000,000","6,031,000,000","4,992,000,000","3,202,000,000","2,171,000,000","1,399,000,000","1,200,000,000","877,000,000","566,000,000","480,000,000","293,917,000","202,425,000","143,722,000","174,563,000","220,646,000","29,501,000","8,971,000","600,000"
			FinishedGoods,,,"32,640,000,000","23,795,000,000","20,497,000,000","17,174,000,000","16,047,000,000","11,461,000,000","10,243,000,000","8,299,000,000","7,411,000,000","6,031,000,000","4,992,000,000","3,202,000,000","2,171,000,000","1,399,000,000","1,200,000,000","877,000,000","566,000,000","480,000,000","293,917,000","202,425,000","143,722,000","174,563,000","220,646,000","29,501,000","8,971,000",
